game_nr,message,targets,fixed indices,context condition,distractors,accuracy
11,"[3, 3, 2, 2, 3]",[0. 0. 0.],[0. 1. 1.],1,[2. 2. 0.],0.9959616661071777
45,"[3, 3, 2, 2, 3]",[1. 0. 2.],[1. 1. 1.],0,[0. 2. 0.],0.9999988079071045
151,"[3, 3, 2, 2, 3]",[2. 0. 0.],[0. 1. 0.],0,[2. 1. 3.],0.9953076243400574
180,"[3, 3, 2, 2, 3]",[1. 0. 2.],[1. 1. 1.],2,[1. 3. 2.],0.9999994039535522
269,"[3, 3, 2, 2, 3]",[1. 0. 2.],[1. 1. 1.],1,[2. 2. 2.],0.9999949932098389
369,"[3, 3, 2, 2, 3]",[3. 0. 0.],[0. 1. 0.],0,[2. 3. 2.],0.9999687671661377
445,"[3, 3, 2, 2, 3]",[1. 0. 2.],[1. 1. 1.],2,[1. 1. 2.],0.9975425004959106
25,"[3, 3, 3, 3, 4, 4]",[0. 0. 3.],[1. 1. 1.],0,[3. 1. 1.],0.984307587146759
496,"[3, 3, 4, 3, 4, 3]",[3. 0. 3.],[0. 1. 1.],0,[2. 3. 1.],0.9952947497367859
618,"[3, 4, 3, 3, 3]",[3. 0. 3.],[0. 1. 1.],0,[0. 1. 1.],0.9997523427009583
163,"[4, 1, 4, 1]",[2. 3. 3.],[1. 0. 0.],0,[3. 3. 3.],0.9589696526527405
365,"[4, 1, 4, 1]",[2. 1. 3.],[1. 0. 0.],0,[1. 0. 0.],0.9956986904144287
426,"[4, 1, 4, 1]",[2. 0. 0.],[1. 0. 1.],0,[3. 1. 3.],0.9658443331718445
88,"[4, 3, 4, 4, 4]",[0. 2. 3.],[0. 1. 1.],1,[2. 2. 2.],0.9843020439147949
