game_nr,message,targets,fixed indices,context condition,distractors,accuracy
137,"[1, 1, 3]",[1. 1. 1.],[0. 1. 1.],1,[0. 1. 0.],0.9942348003387451
739,"[1, 3, 1]",[3. 0. 1.],[0. 1. 1.],1,[3. 0. 2.],0.9091718792915344
108,"[1, 3, 1]",[2. 1. 1.],[0. 1. 1.],1,[2. 1. 2.],0.9718182682991028
560,"[4, 1, 1]",[3. 2. 1.],[1. 1. 1.],1,[1. 2. 3.],0.9740580320358276
498,"[4, 1, 1]",[3. 2. 1.],[1. 1. 1.],1,[3. 1. 3.],0.9712921977043152
473,"[4, 1, 1]",[3. 2. 1.],[1. 1. 1.],1,[3. 1. 3.],0.9689548015594482
462,"[4, 1, 1]",[0. 2. 1.],[1. 1. 1.],1,[2. 2. 3.],0.9728734493255615
451,"[4, 1, 1]",[2. 2. 1.],[0. 1. 1.],1,[2. 3. 1.],0.9612386226654053
410,"[4, 1, 1]",[0. 2. 1.],[1. 1. 1.],1,[3. 2. 3.],0.9950110912322998
397,"[4, 1, 1]",[3. 2. 1.],[0. 1. 1.],1,[2. 3. 1.],0.9285763502120972
339,"[4, 1, 1]",[2. 2. 1.],[0. 1. 1.],0,[1. 1. 3.],0.9961770176887512
21,"[4, 1, 1]",[0. 2. 1.],[1. 1. 1.],2,[0. 2. 3.],0.9684109091758728
301,"[4, 1, 1]",[2. 2. 1.],[0. 1. 1.],1,[2. 0. 1.],0.9888461828231812
265,"[4, 1, 1]",[3. 2. 1.],[1. 1. 1.],2,[3. 2. 0.],0.992368221282959
177,"[4, 1, 1]",[3. 2. 1.],[0. 1. 1.],0,[3. 1. 3.],0.9880759119987488
172,"[4, 1, 1]",[0. 2. 1.],[1. 1. 1.],0,[1. 0. 3.],0.9625372290611267
135,"[4, 1, 1]",[3. 2. 1.],[0. 1. 1.],1,[2. 2. 3.],0.9945478439331055
87,"[4, 1, 1]",[0. 2. 1.],[1. 1. 1.],1,[3. 2. 2.],0.9587739706039429
83,"[4, 1, 1]",[0. 2. 1.],[1. 1. 1.],0,[1. 0. 0.],0.9590617418289185
589,"[4, 1, 1]",[1. 2. 1.],[0. 1. 1.],1,[3. 1. 1.],0.9191234111785889
327,"[4, 1, 1]",[0. 2. 1.],[0. 1. 1.],1,[0. 0. 1.],0.9987991452217102
