game_nr,message,targets,fixed indices,context condition,distractors,accuracy
540,"[1, 1, 1, 1, 1, 1]",[2. 1. 3.],[1. 1. 0.],1,[0. 1. 0.],0.9882563948631287
393,"[1, 1, 1, 1, 1, 1]",[2. 0. 1.],[1. 0. 1.],1,[0. 3. 1.],0.9917663931846619
238,"[3, 1, 1, 1, 1]",[2. 1. 3.],[1. 1. 1.],2,[1. 1. 3.],0.9848103523254395
47,"[3, 1, 1, 1, 1]",[2. 1. 3.],[1. 1. 1.],0,[1. 2. 0.],0.9770208597183228
50,"[3, 1, 1, 1, 1]",[2. 3. 3.],[1. 1. 1.],2,[2. 3. 0.],0.98121577501297
64,"[3, 1, 1, 1, 1]",[2. 3. 3.],[1. 1. 1.],0,[0. 0. 1.],0.9721523523330688
94,"[3, 1, 1, 1, 1]",[2. 3. 3.],[1. 1. 1.],2,[3. 3. 3.],0.9968745112419128
145,"[3, 1, 1, 1, 1]",[2. 3. 3.],[1. 1. 1.],0,[1. 0. 1.],0.987060546875
171,"[3, 1, 1, 1, 1]",[2. 3. 3.],[1. 1. 1.],1,[2. 0. 1.],0.9774935841560364
175,"[3, 1, 1, 1, 1]",[2. 3. 3.],[1. 1. 1.],0,[3. 2. 2.],0.9776294231414795
302,"[3, 1, 1, 1, 1]",[2. 2. 3.],[1. 0. 1.],0,[0. 1. 0.],0.960900068283081
663,"[3, 3, 3, 3, 3, 3]",[1. 1. 3.],[0. 1. 1.],0,[3. 0. 0.],0.9866194128990173
652,"[3, 3, 3, 3, 3, 3]",[0. 1. 3.],[0. 1. 1.],0,[0. 2. 0.],0.9927061200141907
514,"[3, 3, 3, 3, 3, 3]",[1. 2. 3.],[1. 0. 1.],1,[1. 0. 0.],0.9870278835296631
338,"[3, 3, 3, 3, 3, 3]",[1. 1. 3.],[0. 1. 1.],1,[0. 1. 2.],0.9763213992118835
709,"[3, 3, 3, 3, 3, 3]",[0. 1. 3.],[0. 1. 1.],0,[3. 0. 0.],0.9905194044113159
671,"[3, 3, 3, 3, 3, 3]",[1. 1. 3.],[0. 1. 1.],0,[2. 3. 0.],0.987481415271759
155,"[3, 3, 3, 3, 3, 3]",[0. 0. 3.],[1. 0. 1.],0,[2. 1. 0.],0.9952717423439026
76,"[3, 3, 3, 3, 3, 3]",[0. 1. 3.],[1. 0. 1.],1,[0. 1. 1.],0.9791165590286255
53,"[3, 3, 3, 3, 3, 3]",[0. 0. 3.],[1. 0. 1.],0,[1. 3. 0.],0.9802160263061523
43,"[3, 3, 3, 3, 3, 3]",[0. 3. 3.],[1. 0. 1.],1,[0. 0. 0.],0.9925015568733215
365,"[4, 2, 1, 1, 1, 1]",[3. 0. 2.],[0. 1. 0.],0,[0. 3. 1.],0.9999701380729675
444,"[4, 2, 1, 1, 1, 1]",[3. 0. 0.],[0. 1. 0.],0,[2. 3. 2.],0.9903289675712585
133,"[4, 2, 1, 1, 1, 1]",[2. 0. 0.],[0. 1. 0.],0,[2. 1. 3.],0.9833374619483948
326,"[4, 2, 1, 1, 1, 1]",[3. 0. 2.],[0. 1. 0.],0,[2. 1. 3.],0.8984604477882385
27,"[4, 2, 1, 1, 1, 1]",[1. 0. 0.],[1. 1. 0.],1,[1. 1. 0.],0.9936776161193848
349,"[4, 3, 3, 1, 3, 1]",[0. 0. 3.],[1. 1. 1.],0,[3. 1. 1.],0.9779151082038879
