game_nr,message,targets,fixed indices,context condition,distractors,accuracy
71,[4],[3. 3. 1.],[1. 1. 1.],2,[3. 1. 1.],0.8708597421646118
185,[4],[3. 3. 1.],[1. 1. 1.],0,[2. 2. 2.],0.9157686233520508
224,[4],[3. 3. 1.],[1. 1. 1.],1,[1. 0. 1.],0.9457063674926758
475,[4],[3. 3. 1.],[1. 1. 1.],1,[0. 2. 1.],0.9366207122802734
565,"[4, 4]",[3. 3. 1.],[1. 1. 1.],0,[0. 2. 2.],0.9733369946479797
10,"[4, 4, 1, 4]",[1. 1. 1.],[0. 1. 1.],1,[3. 1. 2.],0.9773387908935547
60,"[4, 4, 1, 4]",[1. 1. 1.],[0. 1. 1.],1,[0. 1. 0.],0.9809167981147766
193,"[4, 4, 1, 4]",[2. 1. 1.],[0. 1. 1.],1,[2. 1. 2.],0.925010621547699
249,"[4, 4, 1, 4]",[3. 1. 1.],[0. 1. 1.],0,[3. 3. 0.],0.9715942144393921
346,"[4, 4, 1, 4]",[0. 1. 1.],[0. 1. 1.],0,[0. 3. 2.],0.9720101356506348
380,"[4, 4, 1, 4]",[3. 1. 1.],[0. 1. 1.],0,[0. 0. 2.],0.9632611274719238
526,"[4, 4, 1, 4]",[3. 1. 1.],[0. 1. 1.],0,[0. 2. 2.],0.9776151776313782
656,"[4, 4, 1, 4]",[1. 3. 1.],[1. 0. 1.],1,[1. 2. 2.],0.9628186225891113
440,"[4, 4, 4, 1]",[0. 0. 1.],[0. 1. 1.],0,[0. 3. 0.],0.9904759526252747
