game_nr,message,targets,fixed indices,context condition,distractors,accuracy
727,[1],[3. 2. 3.],[1. 1. 1.],2,[3. 3. 3.],0.8782318234443665
585,[1],[0. 3. 3.],[1. 1. 1.],1,[1. 3. 1.],0.9375901222229004
584,[1],[0. 2. 3.],[0. 1. 1.],0,[2. 0. 0.],0.940871000289917
581,[1],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 0.],0.9382597804069519
572,[1],[0. 0. 3.],[1. 0. 1.],0,[1. 3. 0.],0.930289089679718
279,[1],[0. 2. 3.],[1. 1. 1.],0,[2. 0. 1.],0.9190822243690491
280,[1],[3. 2. 3.],[0. 1. 1.],0,[1. 3. 2.],0.9189286828041077
565,[1],[3. 0. 3.],[0. 0. 1.],0,[3. 2. 0.],0.9247053861618042
341,[1],[0. 3. 3.],[1. 1. 1.],0,[2. 0. 1.],0.9282121658325195
197,[1],[0. 3. 3.],[1. 1. 1.],1,[3. 3. 2.],0.9375954866409302
368,[1],[0. 2. 3.],[1. 1. 1.],0,[3. 3. 0.],0.96604984998703
383,[1],[0. 2. 3.],[0. 1. 1.],1,[2. 2. 2.],0.9703859090805054
391,[1],[3. 1. 3.],[1. 0. 1.],1,[3. 0. 2.],0.9340319633483887
552,[1],[1. 1. 3.],[0. 0. 1.],0,[1. 1. 0.],0.9430221915245056
714,[1],[0. 3. 3.],[1. 1. 1.],0,[3. 2. 2.],0.96945720911026
420,[1],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 1.],0.8471570014953613
542,[1],[0. 2. 3.],[0. 1. 1.],1,[0. 2. 1.],0.9384155869483948
473,[1],[3. 3. 3.],[1. 0. 1.],1,[3. 2. 1.],0.9161668419837952
541,[1],[0. 2. 3.],[0. 0. 1.],0,[1. 0. 1.],0.9163739085197449
559,[1],[2. 2. 3.],[0. 1. 1.],1,[2. 2. 1.],0.9412827491760254
520,[1],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 1.],0.8770766258239746
193,[1],[1. 2. 3.],[0. 1. 1.],1,[2. 2. 0.],0.9375803470611572
587,[1],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 0.],0.9497427940368652
9,[1],[0. 2. 3.],[1. 1. 1.],2,[0. 2. 2.],0.947346031665802
15,[1],[0. 3. 3.],[1. 1. 1.],2,[3. 3. 3.],0.9486870169639587
18,[1],[0. 3. 3.],[1. 1. 1.],1,[2. 1. 3.],0.7940083742141724
32,[1],[0. 3. 3.],[1. 0. 1.],1,[0. 0. 2.],0.9386478066444397
33,[1],[2. 2. 3.],[0. 1. 1.],0,[1. 1. 2.],0.9312598705291748
39,[1],[0. 3. 3.],[0. 0. 1.],0,[1. 1. 0.],0.9397420883178711
192,[1],[2. 2. 3.],[0. 1. 1.],0,[2. 0. 2.],0.9391030073165894
72,[1],[0. 2. 3.],[1. 1. 1.],2,[2. 2. 3.],0.8812229037284851
54,[1],[0. 3. 3.],[1. 0. 1.],0,[2. 1. 1.],0.9424468278884888
685,[1],[0. 3. 3.],[1. 0. 1.],1,[0. 0. 0.],0.9076001048088074
90,[1],[3. 2. 3.],[1. 1. 1.],0,[0. 0. 1.],0.918718695640564
102,[1],[2. 2. 3.],[0. 1. 1.],0,[1. 0. 0.],0.9311996698379517
673,[1],[0. 2. 3.],[0. 1. 1.],1,[3. 2. 1.],0.9041257500648499
134,[1],[3. 2. 3.],[1. 1. 1.],2,[3. 0. 3.],0.9259703159332275
635,[1],[0. 3. 3.],[1. 1. 1.],0,[1. 2. 0.],0.898084819316864
