game_nr,message,targets,fixed indices,context condition,distractors,accuracy
31,"[4, 2, 4, 2, 2]",[1. 1. 1.],[1. 0. 1.],0,[3. 0. 3.],0.9904913306236267
201,"[4, 4]",[3. 3. 1.],[1. 1. 1.],1,[0. 2. 1.],0.9247599840164185
251,"[4, 4]",[3. 3. 1.],[1. 1. 1.],1,[1. 0. 1.],0.990202009677887
279,"[4, 4]",[1. 3. 1.],[0. 1. 1.],0,[3. 0. 0.],0.973351001739502
339,"[4, 4]",[3. 3. 1.],[0. 1. 1.],0,[1. 1. 0.],0.9693433046340942
452,"[4, 4]",[3. 3. 1.],[0. 1. 1.],0,[2. 1. 0.],0.9077102541923523
469,"[4, 4]",[3. 3. 1.],[1. 1. 1.],0,[2. 0. 3.],0.9814860820770264
472,"[4, 4]",[3. 3. 1.],[1. 1. 1.],0,[2. 2. 2.],0.9700095057487488
584,"[4, 4]",[3. 3. 1.],[1. 1. 1.],2,[3. 1. 1.],0.9393687844276428
672,"[4, 4]",[3. 3. 1.],[1. 1. 1.],2,[3. 3. 3.],0.950067937374115
54,"[4, 4, 4, 4]",[1. 0. 1.],[1. 1. 1.],2,[3. 0. 1.],0.9969430565834045
561,"[4, 4, 4, 4]",[1. 0. 1.],[1. 1. 1.],0,[3. 3. 0.],0.9999998211860657
