game_nr,message,targets,fixed indices,context condition,distractors,accuracy
303,"[1, 3, 3]",[3. 0. 1.],[0. 1. 0.],0,[3. 1. 2.],0.9874733090400696
408,"[1, 3, 3]",[2. 0. 1.],[0. 1. 1.],1,[3. 1. 1.],0.9941334128379822
464,"[1, 3, 3]",[0. 0. 1.],[0. 1. 0.],0,[2. 1. 1.],0.9664663672447205
592,"[1, 3, 3]",[3. 0. 2.],[0. 1. 0.],0,[2. 1. 3.],0.9197959899902344
635,"[1, 3, 3]",[1. 0. 2.],[0. 1. 0.],0,[1. 2. 1.],0.953888475894928
110,"[2, 3, 3, 2, 2]",[3. 0. 3.],[0. 1. 1.],0,[0. 1. 1.],0.9875773787498474
315,"[3, 2, 2, 3, 2, 2]",[0. 0. 3.],[0. 1. 1.],0,[1. 1. 1.],0.9817966818809509
314,"[3, 3, 3, 2, 3, 2, 3]",[2. 2. 3.],[1. 1. 1.],1,[3. 3. 3.],0.9690868854522705
256,"[3, 3, 3, 4, 3]",[2. 3. 3.],[1. 0. 0.],0,[3. 3. 3.],0.9961560964584351
369,"[3, 3, 3, 4, 3]",[2. 3. 1.],[1. 0. 1.],1,[2. 1. 2.],0.9766235947608948
