attributes,values,game_size,vocab_size_factor,n_epochs,batch_size,learning_rate,hidden_size,temp_update,temperature,train_loss,train_accuracy,test_loss,test_accuracy
3,4,10,3.0,60.0,32,0.0005,128,0.97,1.5,0.1241043210029602,0.9567264914512634,0.14259061217308044,0.9479866623878479
3,4,10,3.0,60.0,32,0.0005,128,0.99,1.5,0.07574006915092468,0.9728031158447266,0.11908817291259766,0.9535835981369019
3,4,10,3.0,60.0,32,0.0005,256,0.97,1.5,0.05722014978528023,0.9795420169830322,0.09439156949520111,0.9642348289489746
3,4,10,3.0,60.0,32,0.0005,256,0.99,1.5,0.03198005259037018,0.9914425015449524,0.08449964225292206,0.9791956543922424
3,4,10,3.0,60.0,32,0.001,128,0.97,1.5,0.05254683643579483,0.9815860390663147,0.07215756922960281,0.9757732152938843
3,4,10,3.0,60.0,32,0.001,128,0.99,1.5,0.08512909710407257,0.9661388397216797,0.12178907543420792,0.9471014142036438
3,4,10,3.0,60.0,32,0.001,256,0.97,1.5,0.07389436662197113,0.9747658371925354,0.1084056943655014,0.9708040952682495
3,4,10,3.0,60.0,32,0.001,256,0.99,1.5,0.01838652603328228,0.9936996698379517,0.08990883082151413,0.9866970777511597
3,4,10,3.0,60.0,64,0.0005,128,0.97,1.5,0.17999881505966187,0.9291175603866577,0.21302087604999542,0.9229167103767395
3,4,10,3.0,60.0,64,0.0005,128,0.99,1.5,0.10774371027946472,0.9622181057929993,0.12192433327436447,0.9612549543380737
3,4,10,3.0,60.0,64,0.0005,256,0.97,1.5,0.05982154607772827,0.9796103239059448,0.10925140231847763,0.9706711769104004
3,4,10,3.0,60.0,64,0.0005,256,0.99,1.5,0.027655411511659622,0.9915604591369629,0.08831566572189331,0.9798986911773682
3,4,10,3.0,60.0,64,0.001,128,0.97,1.5,0.055748600512742996,0.9793323278427124,0.08744894713163376,0.9692310094833374
3,4,10,3.0,60.0,64,0.001,128,0.99,1.5,0.11555451899766922,0.9558616876602173,0.16348469257354736,0.9457042813301086
3,4,10,3.0,60.0,64,0.001,256,0.97,1.5,0.6826803684234619,0.5547890067100525,0.6838052272796631,0.5576791763305664
3,4,10,3.0,60.0,64,0.001,256,0.99,1.5,0.012772893533110619,0.9964245557785034,0.07235508412122726,0.9888112545013428
3,4,10,3.0,60.0,128,0.0005,128,0.97,1.5,0.3121320307254791,0.8622012138366699,0.32670852541923523,0.868600606918335
3,4,10,3.0,60.0,128,0.0005,128,0.99,1.5,0.2056722790002823,0.9233208894729614,0.2802719175815582,0.9047674536705017
3,4,10,3.0,60.0,128,0.0005,256,0.97,1.5,0.07598395645618439,0.9736383557319641,0.09064185619354248,0.9743242859840393
3,4,10,3.0,60.0,128,0.0005,256,0.99,1.5,0.17597408592700958,0.929264485836029,0.21498632431030273,0.9181979298591614
3,4,10,3.0,60.0,128,0.001,128,0.97,1.5,0.09781672805547714,0.9653843641281128,0.10904794931411743,0.9582732319831848
3,4,10,3.0,60.0,128,0.001,128,0.99,1.5,0.09936316311359406,0.9663488864898682,0.12876233458518982,0.9467013478279114
3,4,10,3.0,60.0,128,0.001,256,0.97,1.5,0.6797991394996643,0.5579032301902771,0.6837053298950195,0.5328671932220459
3,4,10,3.0,60.0,128,0.001,256,0.99,1.5,0.47673705220222473,0.7860578298568726,0.481604665517807,0.7847733497619629
3,16,10,3.0,60.0,32,0.0005,128,0.97,1.5,0.13827571272850037,0.94925856590271,0.1679733395576477,0.935495138168335
3,16,10,3.0,60.0,32,0.0005,128,0.99,1.5,0.06760822236537933,0.9726077914237976,0.1513938009738922,0.9587628841400146
3,16,10,3.0,60.0,32,0.0005,256,0.97,1.5,0.21366269886493683,0.9116453528404236,0.298780232667923,0.9027761220932007
3,16,10,3.0,60.0,32,0.0005,256,0.99,1.5,0.07181122153997421,0.9723575115203857,0.1758541762828827,0.9475476741790771
3,16,10,3.0,60.0,32,0.001,128,0.97,1.5,0.028503626585006714,0.9930973052978516,0.054401569068431854,0.9852430820465088
3,16,10,3.0,60.0,32,0.001,128,0.99,1.5,0.01522744819521904,0.9969037175178528,0.08948887139558792,0.9736111760139465
3,16,10,3.0,60.0,32,0.001,256,0.97,1.5,0.0951913446187973,0.9740138053894043,0.1568039208650589,0.9600694179534912
3,16,10,3.0,60.0,32,0.001,256,0.99,1.5,0.057978082448244095,0.9776436686515808,0.20903852581977844,0.9379498362541199
3,16,10,3.0,60.0,64,0.0005,128,0.97,1.5,0.12295614182949066,0.957634449005127,0.16276799142360687,0.9462836980819702
3,16,10,3.0,60.0,64,0.0005,128,0.99,1.5,0.13486787676811218,0.9487075805664062,0.20295658707618713,0.9335145950317383
3,16,10,3.0,60.0,64,0.0005,256,0.97,1.5,0.09616906195878983,0.9640311598777771,0.17169690132141113,0.9391458630561829
3,16,10,3.0,60.0,64,0.0005,256,0.99,1.5,0.06635764986276627,0.9764949679374695,0.161040261387825,0.9569034576416016
3,16,10,3.0,60.0,64,0.001,128,0.97,1.5,0.09464319050312042,0.9632248282432556,0.10997427999973297,0.9572916030883789
3,16,10,3.0,60.0,64,0.001,128,0.99,1.5,0.09513977915048599,0.9642142653465271,0.16363804042339325,0.9466050267219543
3,16,10,3.0,60.0,64,0.001,256,0.97,1.5,0.09500245004892349,0.9674345850944519,0.11474376171827316,0.9571565389633179
3,16,10,3.0,60.0,64,0.001,256,0.99,1.5,0.03871060162782669,0.9872227907180786,0.08365964144468307,0.9756014347076416
3,16,10,3.0,60.0,128,0.0005,128,0.97,1.5,0.17833274602890015,0.9328722953796387,0.19678521156311035,0.9265625476837158
3,16,10,3.0,60.0,128,0.0005,128,0.99,1.5,0.22259695827960968,0.9118695259094238,0.27874094247817993,0.8798951506614685
3,16,10,3.0,60.0,128,0.0005,256,0.97,1.5,0.17455364763736725,0.9338683485984802,0.2311457097530365,0.8973957896232605
3,16,10,3.0,60.0,128,0.0005,256,0.99,1.5,0.12075076252222061,0.9578516483306885,0.18377867341041565,0.9397611021995544
3,16,10,3.0,60.0,128,0.001,128,0.97,1.5,0.1335708200931549,0.9529516696929932,0.1503424346446991,0.9500000476837158
3,16,10,3.0,60.0,128,0.001,128,0.99,1.5,0.12917087972164154,0.9547404646873474,0.19396430253982544,0.9296875
3,16,10,3.0,60.0,128,0.001,256,0.97,1.5,0.13444583117961884,0.9549698233604431,0.15486185252666473,0.9412558674812317
3,16,10,3.0,60.0,128,0.001,256,0.99,1.5,0.35948216915130615,0.8418161273002625,0.38487714529037476,0.8310021162033081
5,4,10,3.0,60.0,32,0.0005,128,0.97,1.5,0.10433811694383621,0.9633400440216064,0.1129515990614891,0.9598957896232605
5,4,10,3.0,60.0,32,0.0005,128,0.99,1.5,0.15979501605033875,0.9319661855697632,0.22060687839984894,0.9194244146347046
5,4,10,3.0,60.0,32,0.0005,256,0.97,1.5,0.08290213346481323,0.9671575427055359,0.11418024450540543,0.963074266910553
5,4,10,3.0,60.0,32,0.0005,256,0.99,1.5,0.011901048943400383,0.9965935349464417,0.0747915506362915,0.988092839717865
5,4,10,3.0,60.0,32,0.001,128,0.97,1.5,0.06977400183677673,0.9739919900894165,0.10334134101867676,0.9687063694000244
5,4,10,3.0,60.0,32,0.001,128,0.99,1.5,0.026674877852201462,0.9928491115570068,0.14590637385845184,0.9685511589050293
5,4,10,3.0,60.0,32,0.001,256,0.97,1.5,0.09519150853157043,0.9692266583442688,0.25458824634552,0.9303818941116333
5,4,10,3.0,60.0,32,0.001,256,0.99,1.5,0.07558201253414154,0.9728390574455261,0.16281603276729584,0.9541236758232117
5,4,10,3.0,60.0,64,0.0005,128,0.97,1.5,0.18757854402065277,0.9278147220611572,0.22362716495990753,0.912720799446106
5,4,10,3.0,60.0,64,0.0005,128,0.99,1.5,0.11676324903964996,0.9577480554580688,0.18484202027320862,0.9407216310501099
5,4,10,3.0,60.0,64,0.0005,256,0.97,1.5,0.23530349135398865,0.8995509147644043,0.2972877621650696,0.8798123002052307
5,4,10,3.0,60.0,64,0.0005,256,0.99,1.5,0.02401307411491871,0.9916777014732361,0.023752547800540924,0.9948399066925049
5,4,10,3.0,60.0,64,0.001,128,0.97,1.5,0.09572326391935349,0.9646921753883362,0.11417042464017868,0.9631118178367615
5,4,10,3.0,60.0,64,0.001,128,0.99,1.5,0.05998675525188446,0.9786749482154846,0.11815333366394043,0.967576801776886
5,4,10,3.0,60.0,64,0.001,256,0.97,1.5,0.10873159766197205,0.9635787606239319,0.19986359775066376,0.9390443563461304
5,4,10,3.0,60.0,64,0.001,256,0.99,1.5,0.6769621968269348,0.5664696097373962,0.6869353652000427,0.5651944279670715
5,4,10,3.0,60.0,128,0.0005,128,0.97,1.5,0.2577396631240845,0.8954596519470215,0.2881937623023987,0.8881945013999939
5,4,10,3.0,60.0,128,0.0005,128,0.99,1.5,0.14071562886238098,0.949806272983551,0.20014165341854095,0.9361111521720886
5,4,10,3.0,60.0,128,0.0005,256,0.97,1.5,0.12707151472568512,0.9489384889602661,0.15754517912864685,0.9333921074867249
