message,concepts
"(2, 2, 2, 2, 0)","[([2, '?', '?', 0], [1, 0, 0, 1]), ([0, '?', '?', 0], [1, 0, 0, 1]), ([1, '?', '?', 0], [1, 0, 0, 1]), (['?', '?', '?', 0], [0, 0, 0, 1]), ([3, '?', '?', 0], [1, 0, 0, 1]), ([3, '?', '?', 0], [1, 0, 0, 1]), ([1, '?', '?', 0], [1, 0, 0, 1]), ([0, '?', '?', 0], [1, 0, 0, 1]), ([2, '?', '?', 0], [1, 0, 0, 1]), ([3, '?', '?', 0], [1, 0, 0, 1]), ([0, '?', '?', 0], [1, 0, 0, 1]), ([0, '?', 0, 0], [1, 0, 1, 1]), (['?', '?', '?', 0], [0, 0, 0, 1]), ([2, '?', '?', 0], [1, 0, 0, 1]), ([1, '?', '?', 0], [1, 0, 0, 1]), (['?', '?', '?', 0], [0, 0, 0, 1]), ([1, '?', '?', 0], [1, 0, 0, 1]), ([0, '?', '?', 0], [1, 0, 0, 1]), ([1, '?', '?', 0], [1, 0, 0, 1]), ([3, '?', '?', 0], [1, 0, 0, 1]), ([2, '?', '?', 0], [1, 0, 0, 1]), (['?', '?', '?', 0], [0, 0, 0, 1]), (['?', '?', '?', 0], [0, 0, 0, 1]), ([2, '?', '?', 0], [1, 0, 0, 1]), (['?', '?', '?', 0], [0, 0, 0, 1]), ([2, '?', '?', 0], [1, 0, 0, 1]), ([1, '?', '?', 0], [1, 0, 0, 1]), ([0, '?', '?', 0], [1, 0, 0, 1]), ([0, '?', '?', 0], [1, 0, 0, 1]), ([1, '?', '?', 0], [1, 0, 0, 1]), (['?', '?', '?', 0], [0, 0, 0, 1]), ([2, '?', '?', 0], [1, 0, 0, 1]), ([3, '?', '?', 0], [1, 0, 0, 1]), ([1, '?', '?', 0], [1, 0, 0, 1]), (['?', '?', '?', 0], [0, 0, 0, 1])]"
"(3, 3, 3, 3, 0)","[(['?', '?', '?', 2], [0, 0, 0, 1]), ([3, '?', '?', 2], [1, 0, 0, 1]), ([3, '?', '?', 2], [1, 0, 0, 1]), ([2, '?', '?', 2], [1, 0, 0, 1]), ([0, '?', '?', 2], [1, 0, 0, 1]), ([3, '?', '?', 2], [1, 0, 0, 1]), ([2, '?', '?', 2], [1, 0, 0, 1]), (['?', '?', '?', 2], [0, 0, 0, 1]), ([3, '?', '?', 2], [1, 0, 0, 1]), ([3, '?', '?', 2], [1, 0, 0, 1]), ([1, '?', '?', 2], [1, 0, 0, 1]), ([0, '?', '?', 2], [1, 0, 0, 1]), (['?', '?', '?', 2], [0, 0, 0, 1]), ([0, '?', '?', 2], [1, 0, 0, 1]), ([2, '?', '?', 2], [1, 0, 0, 1]), ([1, '?', '?', 2], [1, 0, 0, 1]), (['?', '?', '?', 2], [0, 0, 0, 1]), (['?', '?', '?', 2], [0, 0, 0, 1]), (['?', '?', '?', 2], [0, 0, 0, 1]), ([3, '?', '?', 2], [1, 0, 0, 1]), ([0, '?', '?', 2], [1, 0, 0, 1]), ([0, '?', '?', 2], [1, 0, 0, 1]), ([3, '?', '?', 2], [1, 0, 0, 1]), (['?', '?', '?', 2], [0, 0, 0, 1]), ([0, '?', '?', 2], [1, 0, 0, 1]), ([0, '?', '?', 2], [1, 0, 0, 1]), ([2, '?', '?', 2], [1, 0, 0, 1]), ([1, '?', 3, 2], [1, 0, 1, 1]), ([1, '?', '?', 2], [1, 0, 0, 1]), ([1, '?', '?', 2], [1, 0, 0, 1]), ([0, '?', '?', 2], [1, 0, 0, 1]), ([0, '?', '?', 2], [1, 0, 0, 1]), ([3, '?', '?', 2], [1, 0, 0, 1]), ([1, '?', 0, 2], [1, 0, 1, 1]), ([3, '?', '?', 2], [1, 0, 0, 1]), ([2, '?', '?', 2], [1, 0, 0, 1]), ([1, '?', '?', 2], [1, 0, 0, 1]), ([1, '?', 0, 2], [1, 0, 1, 1]), ([0, '?', '?', 2], [1, 0, 0, 1]), ([3, '?', 0, 2], [1, 0, 1, 1])]"
"(3, 3, 6, 3, 0)","[([3, '?', 0, 2], [1, 0, 1, 1]), ([1, '?', 0, 2], [1, 0, 1, 1])]"
"(3, 3, 6, 6, 0)","[([1, '?', 0, 2], [1, 0, 1, 1])]"
"(3, 3, 7, 7, 0)","[([1, '?', 3, 2], [1, 0, 1, 1])]"
"(3, 3, 14, 14, 0)","[([1, 3, 2, 2], [1, 1, 1, 1])]"
"(3, 6, 3, 3, 0)","[([3, '?', 0, 2], [1, 0, 1, 1]), ([3, '?', 0, 2], [1, 0, 1, 1])]"
"(3, 14, 14, 14, 0)","[([1, 3, 2, 2], [1, 1, 1, 1]), ([1, 3, 3, 2], [1, 1, 1, 1]), ([1, 3, 0, 2], [1, 1, 1, 1]), ([1, 3, 2, 2], [1, 1, 1, 1]), ([3, 3, 2, 2], [1, 1, 1, 1]), ([3, 3, '?', 2], [1, 1, 0, 1]), (['?', 3, 2, 2], [0, 1, 1, 1]), ([1, 3, 2, 2], [1, 1, 1, 1]), ([1, 3, 2, 2], [1, 1, 1, 1]), ([1, 3, 3, 2], [1, 1, 1, 1]), ([1, 3, 3, 2], [1, 1, 1, 1]), (['?', 3, '?', 2], [0, 1, 0, 1]), ([1, 3, 2, 2], [1, 1, 1, 1])]"
