symbols,count,fixed attribute values
"(1,)",1,"(2, 14, 6)"
"(1, 14)",19,"(2, None, None)"
"(1, 18)",214,"(None, None, None)"
"(3,)",235,"(7, None, None)"
"(3, 38, 31)",1,"(9, 8, 14)"
"(3, 46, 31)",1,"(5, 8, 14)"
"(3, 47)",1,"(1, 9, 13)"
"(5,)",226,"(6, None, None)"
"(5, 30)",1,"(6, 7, 10)"
"(5, 38, 31)",1,"(9, 8, 13)"
"(8, 1)",65,"(2, None, None)"
"(8, 1, 51)",11,"(2, None, 5)"
"(8, 18, 47)",11,"(14, None, None)"
"(8, 25)",5,"('?', None, '?')"
"(8, 25, 1)",1,"('?', 1, '?')"
"(8, 25, 11)",14,"('?', None, 13)"
"(8, 25, 18)",1,"('?', 1, '?')"
"(8, 25, 27)",2,"('?', None, '?')"
"(8, 26)",2,"(15, 8, None)"
"(8, 42)",2,"('?', 8, 13)"
"(9,)",240,"(10, None, None)"
"(9, 3)",3,"(10, None, 14)"
"(9, 6)",2,"(10, None, 14)"
"(9, 18)",1,"(10, 0, 12)"
"(9, 42)",3,"(None, None, None)"
"(11, 8, 27)",1,"('?', 1, '?')"
"(12, 45)",302,"(3, None, None)"
"(16, 18, 27)",13,"('?', None, 12)"
"(16, 27, 14)",6,"(None, None, 12)"
"(16, 41)",3,"(12, None, 12)"
"(16, 41, 27)",1,"(12, 7, 12)"
"(17, 18, 47)",1,"(0, 9, 6)"
"(17, 27, 30)",1,"('?', 6, 1)"
"(17, 47)",41,"(0, None, None)"
"(17, 51, 47)",3,"('?', None, None)"
"(18,)",228,"(8, None, None)"
"(18, 11, 47)",2,"(14, None, 7)"
"(18, 14, 47)",1,"(14, 6, 7)"
"(18, 27)",43,"(None, None, None)"
"(18, 27, 4)",1,"('?', 1, 0)"
"(18, 27, 30)",1,"('?', 1, '?')"
"(18, 27, 38)",2,"('?', None, '?')"
"(18, 38)",233,"(13, None, None)"
"(18, 47)",300,"(None, None, None)"
"(18, 51)",12,"('?', None, None)"
"(18, 51, 14)",1,"('?', 6, 15)"
"(18, 51, 39)",1,"('?', 6, 15)"
"(25, 1, 14)",1,"('?', 6, 13)"
"(25, 18)",1,"('?', 1, '?')"
"(25, 18, 27)",4,"('?', None, '?')"
"(25, 27, 39)",5,"('?', None, '?')"
"(25, 39)",3,"('?', None, '?')"
"(25, 45, 1)",1,"('?', 0, '?')"
"(25, 51)",13,"('?', None, 6)"
"(25, 51, 38)",1,"('?', 2, 6)"
"(26,)",2,"(15, None, None)"
"(26, 18)",231,"(15, None, None)"
"(26, 18, 42)",2,"(15, 8, None)"
"(26, 39)",2,"(15, None, None)"
"(26, 42)",1,"(15, 8, 4)"
"(27,)",2,"('?', None, 2)"
"(27, 4)",21,"(None, None, 0)"
"(27, 14)",1,"(12, 14, 7)"
"(27, 18, 51)",6,"('?', None, '?')"
"(27, 30)",14,"('?', None, 1)"
"(27, 30, 14)",13,"('?', None, 10)"
"(27, 31)",1,"(4, 8, 11)"
"(27, 37)",1,"('?', 9, 0)"
"(27, 37, 31)",231,"(4, None, None)"
"(27, 39)",30,"(None, None, 7)"
"(27, 40, 51)",14,"('?', None, 4)"
"(27, 51)",28,"(None, None, 2)"
"(27, 51, 14)",2,"('?', None, '?')"
"(27, 51, 39)",3,"('?', None, '?')"
"(32,)",1,"('?', 3, '?')"
"(32, 3)",18,"(None, None, 14)"
"(32, 9)",5,"(10, None, 14)"
"(32, 9, 3)",3,"(10, None, 14)"
"(32, 41)",45,"(12, None, None)"
"(32, 41, 47)",3,"(12, None, None)"
"(32, 47)",2,"(0, None, 14)"
"(35,)",2,"(11, None, 11)"
"(35, 5, 23)",1,"(11, 3, 14)"
"(35, 23)",246,"(11, None, None)"
"(35, 38)",1,"(11, 5, 14)"
"(37, 31)",1,"('?', 12, '?')"
"(37, 38, 31)",3,"(9, None, None)"
"(37, 46, 31)",1,"(5, 4, 13)"
"(38, 31)",232,"(9, None, None)"
"(40, 26)",1,"(15, 5, 14)"
"(40, 27, 30)",8,"('?', None, 8)"
"(40, 30, 6)",13,"('?', None, 8)"
"(40, 51)",13,"('?', None, 5)"
"(41,)",157,"(12, None, None)"
"(41, 5)",1,"(12, 7, 15)"
"(41, 18, 27)",13,"(12, None, 9)"
"(41, 18, 47)",103,"(14, None, None)"
"(41, 18, 51)",1,"('?', 6, 15)"
"(41, 27)",5,"(12, None, None)"
"(41, 42, 47)",1,"(12, 8, 13)"
"(41, 47)",196,"(None, None, None)"
"(41, 51)",3,"('?', None, 3)"
"(42,)",29,"(None, 8, None)"
"(42, 5)",10,"(6, 8, None)"
"(42, 23)",1,"(11, 8, 4)"
"(42, 30)",1,"('?', 8, 1)"
"(42, 35)",1,"(11, 8, 4)"
"(42, 35, 23)",1,"(11, 8, 15)"
"(42, 35, 38)",1,"(11, 8, 9)"
"(42, 47)",1,"(12, 8, 13)"
"(46, 31)",228,"(5, None, None)"
"(47,)",232,"(1, None, None)"
"(51,)",14,"('?', None, 3)"
"(51, 5)",1,"(6, 7, 4)"
"(51, 45)",1,"('?', 13, '?')"
