message,n_concepts
"(2, 2, 2, 2, 0)",35
"(3, 3, 3, 3, 0)",40
"(3, 3, 6, 3, 0)",2
"(3, 3, 6, 6, 0)",1
"(3, 3, 7, 7, 0)",1
"(3, 3, 14, 14, 0)",1
"(3, 6, 3, 3, 0)",2
"(3, 14, 14, 14, 0)",13
"(4, 4, 4, 4, 0)",685
"(4, 4, 4, 7, 0)",7
"(4, 4, 4, 9, 0)",2
"(4, 4, 7, 4, 0)",3
"(4, 4, 9, 4, 0)",3
"(4, 4, 9, 9, 0)",1
"(4, 7, 4, 4, 0)",6
"(4, 7, 4, 7, 0)",1
"(4, 7, 7, 7, 0)",3
"(4, 9, 4, 4, 0)",7
"(4, 9, 9, 4, 0)",3
"(4, 10, 4, 4, 0)",1
"(5, 7, 7, 7, 0)",2
"(5, 7, 8, 8, 0)",1
"(5, 8, 8, 7, 0)",1
"(6, 2, 2, 2, 0)",3
"(6, 2, 6, 6, 0)",2
"(6, 3, 3, 6, 0)",1
"(6, 6, 2, 2, 0)",3
"(6, 6, 6, 2, 0)",3
"(6, 6, 6, 3, 0)",1
"(6, 6, 6, 6, 0)",74
"(6, 6, 6, 8, 0)",11
"(6, 6, 6, 11, 0)",2
"(6, 6, 6, 12, 0)",1
"(6, 6, 6, 14, 0)",1
"(6, 6, 6, 15, 0)",1
"(6, 6, 8, 6, 0)",3
"(6, 6, 8, 8, 0)",3
"(6, 6, 15, 15, 0)",1
"(6, 8, 6, 6, 0)",2
"(6, 8, 6, 8, 0)",2
"(6, 8, 8, 6, 0)",2
"(6, 8, 8, 8, 0)",13
"(6, 11, 6, 6, 0)",3
"(6, 14, 14, 14, 0)",1
"(6, 15, 6, 15, 0)",1
"(6, 15, 11, 11, 0)",1
"(6, 15, 15, 15, 0)",2
"(7, 2, 7, 7, 0)",1
"(7, 4, 4, 4, 0)",3
"(7, 4, 7, 7, 0)",2
"(7, 5, 7, 7, 0)",1
"(7, 7, 4, 4, 0)",2
"(7, 7, 4, 7, 0)",3
"(7, 7, 7, 4, 0)",2
"(7, 7, 7, 7, 0)",234
"(7, 7, 7, 8, 0)",5
"(7, 7, 7, 14, 0)",5
"(7, 7, 7, 15, 0)",1
"(7, 7, 8, 7, 0)",2
"(7, 7, 8, 8, 0)",1
"(7, 7, 11, 7, 0)",1
"(7, 7, 14, 7, 0)",1
"(7, 7, 14, 14, 0)",1
"(7, 7, 15, 7, 0)",1
"(7, 7, 15, 15, 0)",1
"(7, 8, 7, 7, 0)",3
"(7, 8, 7, 8, 0)",1
"(7, 8, 8, 7, 0)",1
"(7, 8, 8, 8, 0)",2
"(7, 12, 7, 7, 0)",1
"(7, 14, 14, 14, 0)",6
"(7, 15, 7, 7, 0)",4
"(8, 6, 6, 6, 0)",1
"(8, 6, 6, 8, 0)",3
"(8, 6, 8, 6, 0)",3
"(8, 6, 8, 8, 0)",6
"(8, 7, 5, 7, 0)",1
"(8, 7, 7, 5, 0)",2
"(8, 7, 7, 7, 0)",31
"(8, 7, 7, 8, 0)",2
"(8, 7, 8, 7, 0)",8
"(8, 7, 8, 8, 0)",4
"(8, 8, 6, 6, 0)",4
"(8, 8, 6, 8, 0)",9
"(8, 8, 7, 7, 0)",9
"(8, 8, 7, 8, 0)",8
"(8, 8, 8, 5, 0)",1
"(8, 8, 8, 6, 0)",8
"(8, 8, 8, 7, 0)",2
"(8, 8, 8, 8, 0)",338
"(8, 8, 8, 9, 0)",1
"(8, 8, 8, 10, 0)",10
"(8, 8, 9, 9, 0)",1
"(8, 8, 10, 8, 0)",4
"(8, 8, 10, 10, 0)",5
"(8, 8, 13, 10, 0)",1
"(8, 9, 9, 9, 0)",1
"(8, 10, 8, 8, 0)",2
"(8, 10, 8, 10, 0)",4
"(8, 10, 10, 8, 0)",4
"(8, 10, 10, 10, 0)",10
"(9, 2, 9, 9, 0)",1
"(9, 4, 4, 4, 0)",6
"(9, 4, 9, 9, 0)",1
"(9, 9, 9, 9, 0)",377
"(9, 9, 9, 14, 0)",2
"(9, 9, 9, 15, 0)",2
"(9, 9, 11, 9, 0)",1
"(9, 9, 14, 9, 0)",5
"(9, 9, 14, 14, 0)",3
"(9, 14, 9, 9, 0)",1
"(9, 14, 9, 14, 0)",1
"(9, 14, 14, 9, 0)",3
"(9, 14, 14, 14, 0)",5
"(9, 15, 9, 9, 0)",3
"(9, 15, 9, 15, 0)",2
"(9, 15, 15, 9, 0)",1
"(9, 15, 15, 15, 0)",2
"(10, 4, 4, 4, 0)",5
"(10, 8, 8, 8, 0)",2
"(10, 8, 8, 10, 0)",1
"(10, 8, 10, 8, 0)",1
"(10, 8, 10, 10, 0)",2
"(10, 10, 4, 4, 0)",5
"(10, 10, 8, 8, 0)",2
"(10, 10, 10, 5, 0)",1
"(10, 10, 10, 8, 0)",1
"(10, 10, 10, 10, 0)",315
"(10, 10, 10, 14, 0)",9
"(10, 10, 10, 15, 0)",2
"(10, 10, 12, 10, 0)",2
"(10, 10, 14, 14, 0)",15
"(10, 10, 15, 10, 0)",4
"(10, 10, 15, 15, 0)",1
"(10, 12, 10, 10, 0)",1
"(10, 14, 10, 14, 0)",1
"(10, 14, 14, 14, 0)",24
"(10, 15, 10, 10, 0)",4
"(10, 15, 10, 15, 0)",2
"(10, 15, 12, 10, 0)",1
"(10, 15, 15, 10, 0)",1
"(10, 15, 15, 15, 0)",5
"(11, 7, 7, 7, 0)",1
"(11, 9, 9, 9, 0)",1
"(11, 11, 6, 6, 0)",1
"(11, 11, 6, 11, 0)",1
"(11, 11, 11, 11, 0)",26
"(11, 11, 13, 11, 0)",1
"(11, 13, 13, 11, 0)",1
"(12, 2, 2, 2, 0)",8
"(12, 3, 3, 3, 0)",5
"(12, 3, 9, 9, 0)",1
"(12, 3, 10, 3, 0)",1
"(12, 3, 10, 10, 0)",1
"(12, 4, 4, 4, 0)",2
"(12, 6, 10, 10, 0)",1
"(12, 7, 7, 7, 0)",3
"(12, 9, 9, 9, 0)",5
"(12, 10, 3, 3, 0)",1
"(12, 10, 10, 0, 0)",1
"(12, 10, 10, 10, 0)",55
"(12, 10, 10, 12, 0)",1
