fixed attribute values,symbols
"(0, 0, 0, 6)","[{16, 26}]"
"(0, 0, 1, 0)","[{16, 21}]"
"(0, 0, 1, 3)","[{16, 20, 5}, {16, 20}, {16, 20, 23}]"
"(0, 0, 1, 7)","[{16, 23}, {16, 23}]"
"(0, 0, 2, 0)","[{17, 21, 6, 23}, {17, 21}, {21, 23}]"
"(0, 0, 3, 1)","[{4, 14, 15}]"
"(0, 0, 3, 7)","[{4, 15}]"
"(0, 0, 4, 3)","[{8, 23}]"
"(0, 0, 4, 4)","[{8, 20, 23}, {20, 23}, {20, 23}]"
"(0, 0, 5, 1)","[{16, 3, 4}, {16, 18, 4, 13}, {16, 4, 13, 22}]"
"(0, 0, 6, 5)","[{16, 11, 4, 22}]"
"(0, 0, '_', 2)","[{24, 23}, {24, 23}]"
"(0, 0, '_', 7)","[{16, 4}]"
"(0, 1, 0, 2)","[{24, 26}]"
"(0, 1, 2, 2)","[{24, 6}]"
"(0, 1, '_', 5)","[{2, 19, 4}]"
"(0, 1, '_', 7)","[{26, 3, 4}]"
"(0, 2, 0, 1)","[{26, 19}]"
"(0, 2, 1, 3)","[{16, 23}]"
"(0, 2, 1, '_')","[{16, 23}]"
"(0, 2, 4, 1)","[{8, 19}]"
"(0, 2, 6, 4)","[{9, 11, 20}]"
"(0, 2, '_', 1)","[{10, 19}]"
"(0, 3, 1, 6)","[{16, 2, 21}]"
"(0, 3, 2, 3)","[{5, 6, 23}]"
"(0, 3, 6, '_')","[{2, 11, 21}]"
"(0, 3, '_', 5)","[{2, 4, 23}]"
"(0, 4, 4, 3)","[{16, 8}]"
"(0, 4, 5, 1)","[{18, 3}]"
"(0, 5, '_', '_')","[{23, 5, 7}, {23, 5, 7}, {23, 5, 7}]"
"(0, 6, 0, 6)","[{25, 2, 14}]"
"(0, 6, 1, 0)","[{16, 25, 21, 23}, {16, 25, 21}]"
"(0, 6, 1, 1)","[{16, 25, 23}]"
"(0, 6, 1, 2)","[{16, 25, 24}]"
"(0, 6, 3, 0)","[{25, 21, 14, 23}]"
"(0, 6, 4, 2)","[{24, 25, 23}]"
"(0, 6, 4, 4)","[{20, 23}]"
"(0, 6, 5, 6)","[{16, 18}]"
"(0, 6, 7, '_')","[{25, 10, 14}]"
"(0, 6, '_', 1)","[{16, 25, 23}]"
"(0, 7, 0, 4)","[{26, 20}]"
"(0, 7, 0, 5)","[{26, 2, 20}, {26, 2}]"
"(0, 7, 3, 1)","[{20, 15}]"
"(0, 7, 6, 1)","[{9, 2, 11, 20}, {2, 11, 20, 22}]"
"(0, 7, 6, 6)","[{2, 11, 20}, {9, 11}]"
"(0, 7, '_', 1)","[{16, 2, 20}]"
"(0, '_', 1, 0)","[{16, 21}]"
"(0, '_', 1, '_')","[{16, 19}]"
"(0, '_', 3, 1)","[{4, 20, 15}]"
"(0, '_', 5, 3)","[{18, 5}]"
"(0, '_', 6, 2)","[{24, 11}]"
"(0, '_', '_', '_')","[{16, 1, 4, 7}, {4, 20}]"
"(1, 0, 0, 1)","[{26, 13}]"
"(1, 0, 0, 3)","[{26, 13}, {26, 13}]"
"(1, 1, 2, 2)","[{6, 23}, {13, 6, 23}, {13, 6, 23}]"
"(1, 1, 6, 2)","[{11, 13}, {11, 13}]"
"(1, 2, 0, 1)","[{26, 13}, {26, 13}]"
"(1, 2, 0, 2)","[{26, 13}]"
"(1, 5, 0, 2)","[{26, 13}]"
"(1, 6, 1, 2)","[{16, 13}, {16, 13}]"
"(1, 6, 2, 7)","[{13, 6}, {13, 6, 23}, {13, 6, 23}]"
"(1, 6, 3, 1)","[{11, 13, 22}, {11, 13, 22}]"
"(1, 6, 5, 7)","[{13, 22}]"
"(1, 6, 6, 1)","[{11, 13}]"
"(1, 6, 6, 7)","[{11, 13}, {11, 13}]"
"(1, 6, '_', 2)","[{13, 22}]"
"(1, 7, 7, 1)","[{10, 13}]"
"(1, '_', 0, 1)","[{26, 13}]"
"(1, '_', 0, 2)","[{26, 13}]"
"(1, '_', 0, '_')","[{26, 13}]"
"(1, '_', '_', '_')","[{13, 22}]"
"(2, 0, 2, 6)","[{16, 6, 23}]"
