message,symbols,fixed attribute values
"(3, 8, 8, 8, 9, 0)","{8, 9, 3}","(2, 3, 0, 2, 0)"
"(3, 9, 3, 3, 6, 0)","{9, 3, 6}","(0, '_', 0, 2, '_')"
"(3, 9, 3, 6, 6, 0)","{9, 3, 6}","(0, '_', 0, 2, '_')"
"(3, 9, 3, 9, 3, 0)","{9, 3}","(2, 3, 0, 2, 0)"
"(3, 9, 8, 3, 8, 0)","{8, 9, 3}","(1, 3, 0, 2, 0)"
"(3, 9, 8, 8, 8, 0)","{8, 9, 3}","('_', 3, 0, 2, 0)"
"(3, 9, 9, 8, 8, 0)","{8, 9, 3}","('_', 3, 0, 2, 0)"
"(3, 11, 8, 4, 8, 0)","{11, 8, 3, 4}","(1, '_', 0, 0, 3)"
"(3, 14, 1, 1, 1, 0)","{1, 3, 14}","(1, 0, 0, 1, 0)"
"(3, 14, 3, 2, 3, 0)","{2, 3, 14}","(1, 1, 0, 1, 1)"
"(3, 14, 3, 3, 3, 0)","{3, 14}","(0, '_', 0, 1, '_')"
"(3, 14, 3, 14, 3, 0)","{3, 14}","(0, 1, 0, 1, 2)"
"(3, 14, 6, 1, 1, 0)","{1, 3, 14, 6}","('_', 0, 0, 1, 2)"
"(3, 14, 6, 6, 1, 0)","{1, 3, 14, 6}","(0, 0, 0, 1, 1)"
"(3, 14, 6, 6, 6, 0)","{3, 14, 6}","(0, 0, 0, 1, 1)"
"(3, 14, 14, 6, 1, 0)","{1, 3, 14, 6}","('_', 0, 0, 1, 2)"
"(3, 14, 14, 14, 1, 0)","{1, 3, 14}","('_', 0, 0, 1, 2)"
"(3, 15, 3, 3, 3, 0)","{3, 15}","('_', 2, 0, '_', '_')"
"(3, 15, 3, 3, 4, 0)","{3, 4, 15}","(0, 2, 0, 0, 3)"
"(3, 15, 3, 3, 15, 0)","{3, 15}","(3, 2, 0, '_', 1)"
"(3, 15, 3, 5, 5, 0)","{3, 5, 15}","(2, 2, 0, 3, 3)"
"(3, 15, 3, 15, 3, 0)","{3, 15}","('_', 2, 0, '_', '_')"
"(3, 15, 3, 15, 4, 0)","{3, 4, 15}","(0, 2, 0, 0, 3)"
"(3, 15, 3, 15, 15, 0)","{3, 15}","('_', 2, 0, '_', '_')"
"(3, 15, 4, 3, 4, 0)","{3, 4, 15}","('_', 2, 0, 0, '_')"
"(3, 15, 4, 4, 3, 0)","{3, 4, 15}","(1, 2, 0, 0, 1)"
"(3, 15, 4, 4, 4, 0)","{3, 4, 15}","(1, 2, 0, 0, '_')"
"(3, 15, 4, 4, 15, 0)","{3, 4, 15}","(2, 2, 0, 0, '_')"
"(3, 15, 4, 15, 4, 0)","{3, 4, 15}","('_', 2, 0, 0, '_')"
"(3, 15, 4, 15, 15, 0)","{3, 4, 15}","(0, 2, 0, '_', 3)"
"(3, 15, 5, 5, 5, 0)","{3, 5, 15}","('_', 2, 0, 3, '_')"
"(3, 15, 5, 15, 5, 0)","{3, 5, 15}","(0, 2, 0, 3, 2)"
"(3, 15, 15, 3, 3, 0)","{3, 15}","(2, 2, 0, 2, 1)"
"(3, 15, 15, 3, 6, 0)","{3, 6, 15}","('_', 2, 0, 2, 2)"
"(3, 15, 15, 3, 15, 0)","{3, 15}","('_', 2, 0, '_', '_')"
"(3, 15, 15, 4, 15, 0)","{3, 4, 15}","(1, 2, 0, '_', '_')"
"(3, 15, 15, 5, 5, 0)","{3, 5, 15}","(2, 2, 0, 3, 2)"
"(3, 15, 15, 6, 3, 0)","{3, 6, 15}","(2, 2, 0, 2, 3)"
"(3, 15, 15, 15, 3, 0)","{3, 15}","('_', 2, 0, '_', '_')"
"(3, 15, 15, 15, 5, 0)","{3, 5, 15}","('_', 2, 0, 3, '_')"
"(3, 15, 15, 15, 6, 0)","{3, 6, 15}","(2, 2, 0, 2, 1)"
"(3, 15, 15, 15, 15, 0)","{3, 15}","('_', 2, 0, '_', '_')"
"(4, 2, 2, 2, 2, 0)","{2, 4}","('_', 1, '_', 1, '_')"
"(4, 2, 2, 2, 10, 0)","{2, 10, 4}","(1, 1, 3, 1, 3)"
"(4, 2, 2, 10, 2, 0)","{2, 10, 4}","(2, 1, 3, 1, '_')"
"(4, 2, 2, 10, 10, 0)","{2, 10, 4}","(1, 1, 3, 1, 2)"
"(4, 2, 3, 2, 2, 0)","{2, 3, 4}","(3, 1, 0, 1, 0)"
"(4, 2, 10, 2, 2, 0)","{2, 10, 4}","(2, 1, 3, 1, '_')"
"(4, 2, 10, 2, 10, 0)","{2, 10, 4}","(2, 1, 3, 1, 3)"
"(4, 2, 10, 10, 10, 0)","{2, 10, 4}","(0, 1, 3, 1, 3)"
"(4, 3, 2, 2, 3, 0)","{2, 3, 4}","(3, 1, 0, 1, 3)"
"(4, 3, 3, 3, 3, 0)","{3, 4}","('_', '_', 0, 1, 3)"
"(4, 3, 3, 3, 8, 0)","{8, 3, 4}","('_', 3, 0, 1, 1)"
"(4, 3, 3, 3, 15, 0)","{3, 4, 15}","(3, 2, 0, 1, 3)"
"(4, 3, 3, 15, 3, 0)","{3, 4, 15}","(0, 2, 0, 1, 3)"
"(4, 3, 8, 8, 8, 0)","{8, 3, 4}","(3, 3, 0, 1, 1)"
"(4, 3, 15, 3, 3, 0)","{3, 4, 15}","(3, 2, 0, 1, 1)"
"(4, 3, 15, 3, 15, 0)","{3, 4, 15}","(0, 2, 0, 1, '_')"
"(4, 3, 15, 15, 3, 0)","{3, 4, 15}","(3, 2, 0, 1, '_')"
"(4, 3, 15, 15, 15, 0)","{3, 4, 15}","(3, 2, 0, 1, '_')"
"(4, 4, 7, 15, 15, 0)","{4, 15, 7}","(3, 2, 2, 1, 0)"
"(4, 4, 15, 15, 6, 0)","{4, 6, 15}","(3, 2, '_', 1, 1)"
"(4, 4, 15, 15, 15, 0)","{4, 15}","('_', 2, '_', 1, '_')"
"(4, 7, 4, 7, 7, 0)","{4, 7}","('_', 2, 2, 1, '_')"
"(4, 7, 4, 7, 15, 0)","{4, 15, 7}","(3, 2, 2, 1, '_')"
"(4, 7, 4, 15, 15, 0)","{4, 15, 7}","('_', 2, 2, 1, '_')"
"(4, 7, 6, 6, 14, 0)","{4, 14, 6, 7}","('_', '_', 2, 1, 1)"
"(4, 7, 7, 7, 7, 0)","{4, 7}","('_', '_', 2, 1, '_')"
"(4, 7, 7, 7, 15, 0)","{4, 15, 7}","('_', 2, 2, 1, 0)"
"(4, 7, 7, 15, 7, 0)","{4, 15, 7}","('_', 2, 2, 1, 2)"
"(4, 7, 7, 15, 15, 0)","{4, 15, 7}","(1, 2, 2, 1, '_')"
"(4, 7, 14, 7, 7, 0)","{4, 14, 7}","(2, 2, 2, 1, '_')"
"(4, 7, 14, 15, 7, 0)","{4, 15, 14, 7}","(2, 2, 2, 1, 2)"
"(4, 7, 14, 15, 15, 0)","{4, 15, 14, 7}","('_', 2, 2, 1, '_')"
"(4, 7, 15, 7, 7, 0)","{4, 15, 7}","('_', 2, 2, 1, 2)"
"(4, 7, 15, 7, 15, 0)","{4, 15, 7}","(2, 2, 2, 1, 0)"
"(4, 7, 15, 15, 7, 0)","{4, 15, 7}","('_', 2, 2, 1, '_')"
"(4, 7, 15, 15, 15, 0)","{4, 15, 7}","('_', 2, 2, 1, 2)"
"(4, 8, 4, 4, 4, 0)","{8, 4}","(1, 2, 2, 0, '_')"
"(4, 8, 8, 6, 8, 0)","{8, 4, 6}","(0, 3, 0, 1, 0)"
"(4, 8, 8, 8, 8, 0)","{8, 4}","(3, 3, '_', 1, '_')"
"(4, 10, 4, 4, 4, 0)","{10, 4}","(0, 2, 3, 0, 0)"
"(4, 10, 10, 6, 6, 0)","{10, 4, 6}","('_', 2, 3, 1, '_')"
"(4, 10, 10, 6, 10, 0)","{10, 4, 6}","(1, 3, 3, 1, '_')"
"(4, 10, 10, 6, 12, 0)","{10, 4, 12, 6}","(0, '_', 3, 1, 0)"
"(4, 10, 10, 10, 5, 0)","{10, 4, 5}","(2, 2, 3, 1, 0)"
"(4, 10, 10, 10, 6, 0)","{10, 4, 6}","('_', '_', 3, 1, '_')"
"(4, 10, 10, 10, 10, 0)","{10, 4}","('_', '_', 3, 1, '_')"
"(4, 10, 15, 15, 15, 0)","{10, 4, 15}","('_', 2, 3, 1, '_')"
"(4, 12, 8, 8, 8, 0)","{8, 4, 12}","(2, 3, 1, 1, 2)"
"(4, 14, 2, 2, 2, 0)","{2, 4, 14}","('_', 1, '_', 1, '_')"
"(4, 14, 2, 10, 2, 0)","{2, 10, 4, 14}","(3, 1, 3, 1, 1)"
"(4, 14, 2, 10, 10, 0)","{2, 10, 4, 14}","(2, 1, 3, 1, 3)"
"(4, 14, 2, 13, 13, 0)","{2, 4, 13, 14}","(2, 1, '_', 1, 3)"
"(4, 14, 3, 3, 3, 0)","{3, 4, 14}","('_', '_', 0, 1, '_')"
"(4, 14, 3, 3, 6, 0)","{3, 4, 14, 6}","(3, 1, 0, 1, '_')"
"(4, 14, 3, 3, 8, 0)","{8, 3, 4, 14}","('_', 3, 0, 1, '_')"
"(4, 14, 3, 3, 14, 0)","{3, 4, 14}","(0, '_', 0, 1, 2)"
"(4, 14, 3, 8, 8, 0)","{8, 3, 4, 14}","(0, 3, 0, 1, '_')"
"(4, 14, 3, 15, 15, 0)","{3, 4, 14, 15}","('_', 2, 0, 1, 2)"
"(4, 14, 4, 15, 7, 0)","{4, 7, 14, 15}","(0, 2, 2, 1, 1)"
"(4, 14, 4, 15, 15, 0)","{4, 14, 15}","('_', 2, 2, 1, '_')"
"(4, 14, 6, 6, 6, 0)","{4, 14, 6}","(0, '_', '_', 1, 0)"
"(4, 14, 6, 6, 14, 0)","{4, 14, 6}","('_', '_', 3, 1, 0)"
"(4, 14, 6, 14, 14, 0)","{4, 14, 6}","(0, '_', '_', 1, 2)"
"(4, 14, 6, 15, 6, 0)","{4, 15, 14, 6}","(2, 2, 3, 1, 1)"
"(4, 14, 7, 6, 7, 0)","{4, 6, 14, 7}","(1, 2, 2, 1, 3)"
"(4, 14, 7, 6, 15, 0)","{4, 6, 7, 14, 15}","(1, 2, 2, 1, 0)"
"(4, 14, 7, 7, 2, 0)","{2, 4, 14, 7}","(2, 1, 2, 1, '_')"
"(4, 14, 7, 7, 7, 0)","{4, 14, 7}","('_', '_', 2, 1, '_')"
"(4, 14, 7, 7, 15, 0)","{4, 15, 14, 7}","(2, 2, 2, 1, '_')"
"(4, 14, 7, 8, 8, 0)","{8, 4, 14, 7}","(2, 3, '_', 1, '_')"
"(4, 14, 7, 14, 7, 0)","{4, 14, 7}","(3, '_', 2, 1, '_')"
"(4, 14, 7, 15, 7, 0)","{4, 15, 14, 7}","('_', 2, 2, 1, '_')"
"(4, 14, 7, 15, 15, 0)","{4, 15, 14, 7}","('_', 2, 2, 1, '_')"
"(4, 14, 8, 6, 7, 0)","{4, 6, 7, 8, 14}","(0, 3, '_', 1, 0)"
"(4, 14, 8, 8, 6, 0)","{8, 4, 14, 6}","('_', 3, '_', 1, 0)"
"(4, 14, 8, 8, 8, 0)","{8, 4, 14}","('_', 3, '_', 1, '_')"
"(4, 14, 8, 8, 11, 0)","{8, 11, 4, 14}","('_', 3, 0, 1, 2)"
"(4, 14, 10, 6, 6, 0)","{10, 4, 14, 6}","('_', '_', 3, 1, '_')"
"(4, 14, 10, 6, 10, 0)","{10, 4, 14, 6}","('_', '_', 3, 1, '_')"
"(4, 14, 10, 6, 12, 0)","{4, 6, 10, 12, 14}","(0, '_', 3, 1, 0)"
"(4, 14, 10, 6, 14, 0)","{10, 4, 14, 6}","(1, '_', 3, 1, 2)"
"(4, 14, 10, 6, 15, 0)","{4, 6, 10, 14, 15}","(2, 2, 3, 1, 1)"
"(4, 14, 10, 10, 2, 0)","{10, 2, 4, 14}","(1, 1, 3, 1, 3)"
"(4, 14, 10, 10, 5, 0)","{10, 4, 5, 14}","(1, 2, 3, 1, '_')"
"(4, 14, 10, 10, 6, 0)","{10, 4, 14, 6}","('_', '_', 3, 1, '_')"
"(4, 14, 10, 10, 10, 0)","{10, 4, 14}","('_', '_', 3, 1, '_')"
"(4, 14, 10, 10, 14, 0)","{10, 4, 14}","(1, '_', 3, 1, '_')"
"(4, 14, 10, 14, 6, 0)","{10, 4, 14, 6}","(0, '_', 3, 1, 2)"
"(4, 14, 10, 15, 6, 0)","{4, 6, 10, 14, 15}","(3, 2, 3, 1, 1)"
"(4, 14, 10, 15, 10, 0)","{10, 4, 14, 15}","(1, 2, 3, 1, '_')"
"(4, 14, 11, 11, 11, 0)","{11, 4, 14}","(3, '_', '_', 1, '_')"
"(4, 14, 13, 13, 14, 0)","{4, 13, 14}","(2, '_', '_', 1, 2)"
"(4, 14, 13, 14, 13, 0)","{4, 13, 14}","(2, '_', '_', 1, 3)"
"(4, 14, 13, 14, 14, 0)","{4, 13, 14}","(2, '_', '_', 1, 0)"
"(4, 14, 14, 3, 3, 0)","{3, 4, 14}","('_', '_', 0, 1, '_')"
"(4, 14, 14, 4, 6, 0)","{4, 14, 6}","(3, '_', '_', 1, 0)"
"(4, 14, 14, 6, 6, 0)","{4, 14, 6}","('_', '_', '_', 1, '_')"
"(4, 14, 14, 6, 7, 0)","{4, 7, 14, 6}","(0, '_', '_', 1, 2)"
"(4, 14, 14, 6, 10, 0)","{10, 4, 14, 6}","('_', '_', 3, 1, 2)"
"(4, 14, 14, 6, 12, 0)","{4, 12, 14, 6}","(2, '_', '_', 1, 0)"
"(4, 14, 14, 6, 14, 0)","{4, 14, 6}","('_', '_', '_', 1, '_')"
"(4, 14, 14, 7, 2, 0)","{2, 4, 14, 7}","(2, 1, 2, 1, 3)"
"(4, 14, 14, 7, 7, 0)","{4, 14, 7}","(3, '_', 2, 1, '_')"
"(4, 14, 14, 7, 14, 0)","{4, 14, 7}","(2, '_', 2, 1, 3)"
"(4, 14, 14, 8, 6, 0)","{8, 4, 14, 6}","(1, 3, '_', 1, 1)"
"(4, 14, 14, 8, 8, 0)","{8, 4, 14}","('_', 3, '_', 1, '_')"
"(4, 14, 14, 10, 10, 0)","{10, 4, 14}","('_', '_', '_', 1, '_')"
"(4, 14, 14, 10, 14, 0)","{10, 4, 14}","(2, '_', 3, 1, 1)"
"(4, 14, 14, 11, 13, 0)","{11, 4, 13, 14}","(3, '_', '_', 1, 3)"
"(4, 14, 14, 11, 14, 0)","{11, 4, 14}","(3, '_', '_', 1, 0)"
"(4, 14, 14, 12, 14, 0)","{4, 12, 14}","('_', 2, 1, 1, 2)"
"(4, 14, 14, 13, 6, 0)","{4, 13, 14, 6}","(2, '_', '_', 1, 2)"
"(4, 14, 14, 13, 13, 0)","{4, 13, 14}","(2, '_', '_', 1, '_')"
"(4, 14, 14, 14, 6, 0)","{4, 14, 6}","('_', '_', '_', 1, '_')"
"(4, 14, 14, 14, 7, 0)","{4, 14, 7}","(3, '_', 2, 1, '_')"
"(4, 14, 14, 14, 8, 0)","{8, 4, 14}","('_', 3, '_', 1, '_')"
"(4, 14, 14, 14, 10, 0)","{10, 4, 14}","(1, '_', '_', 1, '_')"
"(4, 14, 14, 14, 11, 0)","{11, 4, 14}","(3, '_', '_', 1, 2)"
"(4, 14, 14, 14, 13, 0)","{4, 13, 14}","(2, '_', '_', 1, '_')"
"(4, 14, 14, 14, 14, 0)","{4, 14}","('_', '_', '_', 1, '_')"
"(4, 14, 14, 14, 15, 0)","{4, 14, 15}","('_', 2, '_', 1, 2)"
"(4, 14, 14, 15, 6, 0)","{4, 6, 14, 15}","(3, 2, 2, 1, 1)"
"(4, 14, 14, 15, 10, 0)","{10, 4, 14, 15}","(1, 2, 3, 1, 0)"
"(4, 14, 14, 15, 14, 0)","{4, 14, 15}","('_', 2, '_', 1, '_')"
"(4, 14, 14, 15, 15, 0)","{4, 14, 15}","('_', 2, '_', 1, 3)"
"(4, 14, 15, 6, 6, 0)","{4, 6, 14, 15}","('_', 2, 2, 1, 1)"
"(4, 14, 15, 6, 14, 0)","{4, 6, 14, 15}","('_', 2, '_', 1, 1)"
"(4, 14, 15, 6, 15, 0)","{4, 6, 14, 15}","('_', 2, '_', 1, 1)"
"(4, 14, 15, 7, 7, 0)","{4, 7, 14, 15}","(2, 2, 2, 1, '_')"
"(4, 14, 15, 7, 15, 0)","{4, 7, 14, 15}","('_', 2, 2, 1, 2)"
"(4, 14, 15, 10, 6, 0)","{4, 6, 10, 14, 15}","(0, 2, 3, 1, 2)"
"(4, 14, 15, 10, 10, 0)","{10, 4, 14, 15}","(1, 2, 3, 1, '_')"
"(4, 14, 15, 14, 6, 0)","{4, 6, 14, 15}","('_', 2, '_', 1, 1)"
"(4, 14, 15, 14, 14, 0)","{4, 14, 15}","('_', 2, '_', 1, 1)"
"(4, 14, 15, 14, 15, 0)","{4, 14, 15}","('_', 2, '_', 1, '_')"
"(4, 14, 15, 15, 5, 0)","{4, 5, 14, 15}","(1, 2, 3, 1, 2)"
"(4, 14, 15, 15, 6, 0)","{4, 6, 14, 15}","(1, 2, '_', 1, 2)"
"(4, 14, 15, 15, 7, 0)","{4, 7, 14, 15}","('_', 2, 2, 1, '_')"
"(4, 14, 15, 15, 10, 0)","{10, 4, 14, 15}","(3, 2, 3, 1, '_')"
"(4, 14, 15, 15, 14, 0)","{4, 14, 15}","(1, 2, '_', 1, 2)"
"(4, 14, 15, 15, 15, 0)","{4, 14, 15}","('_', 2, '_', 1, '_')"
"(4, 15, 3, 15, 15, 0)","{3, 4, 15}","(3, 2, 0, 1, 0)"
"(4, 15, 4, 15, 15, 0)","{4, 15}","('_', 2, '_', 1, 0)"
"(4, 15, 10, 10, 6, 0)","{10, 4, 6, 15}","('_', 2, 3, 1, 3)"
"(4, 15, 10, 15, 15, 0)","{10, 4, 15}","(3, 2, 3, 1, 0)"
"(4, 15, 14, 15, 15, 0)","{4, 14, 15}","(0, 2, 0, 1, 2)"
"(4, 15, 15, 3, 15, 0)","{3, 4, 15}","(3, 2, 0, 1, 1)"
"(4, 15, 15, 14, 15, 0)","{4, 14, 15}","(2, 2, '_', 1, '_')"
"(4, 15, 15, 15, 6, 0)","{4, 6, 15}","(2, 2, '_', 1, 1)"
"(4, 15, 15, 15, 10, 0)","{10, 4, 15}","('_', 2, 3, 1, 0)"
"(4, 15, 15, 15, 12, 0)","{4, 12, 15}","(0, 2, 3, 1, 0)"
"(4, 15, 15, 15, 14, 0)","{4, 14, 15}","(1, 2, '_', 1, 2)"
"(4, 15, 15, 15, 15, 0)","{4, 15}","('_', 2, '_', 1, '_')"
"(5, 1, 1, 1, 1, 0)","{1, 5}","('_', 0, '_', 3, '_')"
"(5, 1, 1, 1, 5, 0)","{1, 5}","(1, 0, '_', 3, 2)"
"(5, 1, 5, 1, 1, 0)","{1, 5}","('_', 0, '_', 3, 3)"
"(5, 1, 5, 1, 5, 0)","{1, 5}","('_', 0, '_', 3, 1)"
"(5, 1, 5, 5, 5, 0)","{1, 5}","(0, 0, 3, 3, 2)"
"(5, 2, 5, 5, 2, 0)","{2, 5}","(0, 1, '_', 3, 2)"
"(5, 2, 5, 5, 5, 0)","{2, 5}","('_', 1, '_', 3, '_')"
"(5, 2, 5, 5, 7, 0)","{2, 5, 7}","(0, 1, 2, 3, '_')"
"(5, 2, 5, 7, 7, 0)","{2, 5, 7}","(0, 1, 2, 3, 0)"
"(5, 3, 3, 5, 3, 0)","{3, 5}","(3, 3, 0, 3, 1)"
"(5, 5, 1, 1, 1, 0)","{1, 5}","('_', 0, '_', 3, '_')"
"(5, 5, 1, 5, 1, 0)","{1, 5}","(0, 0, '_', 3, '_')"
"(5, 5, 2, 5, 5, 0)","{2, 5}","(0, 1, '_', 3, 2)"
"(5, 5, 5, 1, 1, 0)","{1, 5}","('_', 0, '_', 3, '_')"
"(5, 5, 5, 1, 5, 0)","{1, 5}","('_', 0, 3, 3, 0)"
"(5, 5, 5, 5, 1, 0)","{1, 5}","('_', 0, '_', 3, '_')"
"(5, 5, 5, 5, 5, 0)",{5},"('_', '_', '_', 3, '_')"
"(5, 5, 5, 5, 6, 0)","{5, 6}","(3, 1, 0, 3, '_')"
"(5, 5, 5, 5, 7, 0)","{5, 7}","(2, '_', 2, 3, '_')"
"(5, 5, 5, 6, 1, 0)","{1, 5, 6}","(3, 0, '_', 3, '_')"
"(5, 5, 5, 6, 5, 0)","{5, 6}","(1, 0, 0, 3, '_')"
"(5, 5, 5, 7, 5, 0)","{5, 7}","('_', '_', 2, '_', '_')"
"(5, 5, 5, 7, 7, 0)","{5, 7}","('_', 1, 2, 3, 0)"
"(5, 5, 5, 8, 5, 0)","{8, 5}","(1, 3, 1, 3, 1)"
"(5, 5, 5, 10, 5, 0)","{10, 5}","(2, 3, '_', 3, 3)"
"(5, 5, 5, 10, 10, 0)","{10, 5}","(0, 0, 3, 3, 2)"
"(5, 5, 6, 1, 1, 0)","{1, 5, 6}","('_', 0, '_', 3, '_')"
"(5, 5, 6, 5, 1, 0)","{1, 5, 6}","(2, 0, '_', 3, 3)"
"(5, 5, 6, 5, 5, 0)","{5, 6}","(1, '_', 0, 3, 3)"
"(5, 5, 6, 6, 1, 0)","{1, 5, 6}","('_', 0, 0, 3, '_')"
"(5, 5, 7, 5, 5, 0)","{5, 7}","('_', '_', 2, 3, '_')"
"(5, 5, 7, 5, 7, 0)","{5, 7}","('_', '_', 2, 3, '_')"
"(5, 5, 7, 15, 5, 0)","{15, 5, 7}","(0, 2, 2, 3, 2)"
"(5, 5, 10, 5, 5, 0)","{10, 5}","(3, 1, 3, 3, 3)"
"(5, 6, 1, 1, 1, 0)","{1, 5, 6}","('_', 0, '_', 3, '_')"
"(5, 6, 5, 1, 1, 0)","{1, 5, 6}","('_', 0, '_', 3, '_')"
"(5, 6, 5, 6, 1, 0)","{1, 5, 6}","(0, 0, 0, 3, 2)"
"(5, 6, 6, 1, 1, 0)","{1, 5, 6}","('_', 0, '_', 3, '_')"
"(5, 7, 5, 5, 5, 0)","{5, 7}","('_', '_', 2, 3, '_')"
"(5, 7, 5, 5, 7, 0)","{5, 7}","('_', 3, 2, 3, 0)"
"(5, 7, 5, 7, 5, 0)","{5, 7}","(3, '_', '_', 3, '_')"
"(5, 7, 5, 7, 7, 0)","{5, 7}","(0, 1, 2, 3, '_')"
"(5, 7, 7, 5, 5, 0)","{5, 7}","(2, 3, 2, 3, 1)"
"(5, 7, 7, 5, 7, 0)","{5, 7}","(2, 3, 2, 3, 3)"
"(5, 7, 7, 7, 5, 0)","{5, 7}","('_', 3, 2, 3, 1)"
"(5, 7, 7, 7, 7, 0)","{5, 7}","(3, 3, 2, 3, '_')"
"(5, 8, 5, 5, 5, 0)","{8, 5}","('_', 3, '_', 3, '_')"
"(5, 10, 5, 5, 5, 0)","{10, 5}","('_', '_', 3, 3, '_')"
"(5, 10, 5, 5, 10, 0)","{10, 5}","(0, 2, 3, 3, 2)"
"(5, 10, 5, 10, 5, 0)","{10, 5}","(2, '_', 3, 3, 3)"
"(5, 10, 5, 10, 10, 0)","{10, 5}","(2, '_', 3, 3, 0)"
"(5, 10, 10, 5, 5, 0)","{10, 5}","(0, 1, 3, 3, 3)"
"(5, 10, 10, 10, 5, 0)","{10, 5}","(3, '_', 3, 3, 3)"
"(5, 12, 1, 1, 1, 0)","{1, 12, 5}","(0, 0, 1, 3, 0)"
"(5, 12, 5, 5, 5, 0)","{12, 5}","('_', 3, 1, 3, '_')"
"(5, 15, 5, 5, 5, 0)","{5, 15}","('_', 2, '_', 3, '_')"
"(5, 15, 5, 15, 5, 0)","{5, 15}","(0, 2, 0, 3, 2)"
"(5, 15, 15, 5, 5, 0)","{5, 15}","(2, 2, 3, 3, 3)"
"(5, 15, 15, 15, 15, 0)","{5, 15}","('_', 2, 0, 3, 2)"
"(6, 1, 1, 1, 1, 0)","{1, 6}","(2, 0, 2, 3, 1)"
"(6, 3, 6, 6, 6, 0)","{3, 6}","(0, 0, 0, 2, '_')"
"(6, 5, 6, 1, 1, 0)","{1, 5, 6}","('_', 0, 0, 3, 2)"
"(6, 6, 1, 1, 1, 0)","{1, 6}","('_', 0, 0, 3, '_')"
"(6, 6, 1, 6, 1, 0)","{1, 6}","(2, 0, 0, 2, 0)"
"(6, 6, 6, 1, 1, 0)","{1, 6}","('_', 0, 0, '_', 1)"
"(6, 6, 6, 6, 6, 0)",{6},"('_', 0, 0, '_', '_')"
"(7, 1, 1, 1, 1, 0)","{1, 7}","(0, 0, 2, '_', '_')"
"(7, 1, 1, 1, 7, 0)","{1, 7}","(0, 0, 2, 2, 2)"
"(7, 1, 7, 7, 1, 0)","{1, 7}","(0, 0, 2, '_', 0)"
"(7, 2, 2, 2, 2, 0)","{2, 7}","('_', 1, 2, '_', '_')"
"(7, 2, 2, 2, 7, 0)","{2, 7}","('_', 1, 2, '_', '_')"
"(7, 2, 2, 7, 2, 0)","{2, 7}","(0, 1, 2, '_', 0)"
"(7, 2, 2, 7, 7, 0)","{2, 7}","('_', 1, 2, '_', 2)"
"(7, 2, 4, 7, 4, 0)","{2, 4, 7}","(3, 1, 2, '_', 0)"
"(7, 2, 7, 2, 2, 0)","{2, 7}","('_', 1, 2, 2, 2)"
"(7, 2, 7, 2, 7, 0)","{2, 7}","('_', 1, 2, 1, '_')"
"(7, 2, 7, 7, 7, 0)","{2, 7}","('_', 1, 2, '_', '_')"
"(7, 4, 4, 4, 4, 0)","{4, 7}","('_', '_', 2, 0, '_')"
"(7, 4, 4, 4, 8, 0)","{8, 4, 7}","('_', 2, 2, 0, '_')"
"(7, 4, 4, 8, 4, 0)","{8, 4, 7}","('_', 2, 2, 0, '_')"
"(7, 4, 7, 4, 4, 0)","{4, 7}","(0, '_', 2, 0, '_')"
"(7, 4, 7, 4, 7, 0)","{4, 7}","(0, 3, 2, '_', 2)"
"(7, 4, 7, 7, 7, 0)","{4, 7}","('_', 2, 2, '_', '_')"
"(7, 4, 7, 7, 15, 0)","{4, 15, 7}","('_', 2, 2, '_', '_')"
"(7, 4, 7, 15, 7, 0)","{4, 15, 7}","(1, 2, 2, 1, 2)"
"(7, 4, 7, 15, 15, 0)","{4, 15, 7}","(2, 2, 2, 1, 2)"
"(7, 4, 8, 4, 4, 0)","{8, 4, 7}","('_', '_', 2, 0, '_')"
"(7, 4, 12, 7, 4, 0)","{4, 12, 7}","(0, 2, 2, '_', 2)"
"(7, 4, 12, 7, 7, 0)","{4, 12, 7}","(0, 2, 2, '_', 2)"
"(7, 4, 12, 12, 12, 0)","{4, 12, 7}","(0, '_', '_', '_', 2)"
"(7, 4, 14, 6, 6, 0)","{4, 6, 14, 7}","(1, 2, 2, 1, 1)"
"(7, 4, 14, 7, 7, 0)","{4, 14, 7}","('_', '_', 2, 1, 1)"
"(7, 4, 15, 4, 4, 0)","{4, 15, 7}","(1, 2, 2, '_', 1)"
"(7, 4, 15, 7, 15, 0)","{4, 15, 7}","(1, 2, 2, '_', 2)"
"(7, 5, 5, 5, 5, 0)","{5, 7}","('_', '_', 2, 3, '_')"
"(7, 5, 5, 5, 7, 0)","{5, 7}","(1, '_', 2, 3, '_')"
"(7, 5, 5, 7, 5, 0)","{5, 7}","('_', 3, 2, 3, 3)"
"(7, 5, 7, 5, 5, 0)","{5, 7}","('_', '_', 2, 3, 0)"
"(7, 5, 7, 5, 7, 0)","{5, 7}","(1, 2, 2, 3, 3)"
"(7, 5, 7, 7, 5, 0)","{5, 7}","(3, '_', 2, 3, '_')"
"(7, 5, 7, 7, 7, 0)","{5, 7}","(1, 3, 2, 3, 0)"
"(7, 6, 7, 7, 7, 0)","{6, 7}","(0, '_', 2, 2, 1)"
"(7, 7, 1, 1, 1, 0)","{1, 7}","(1, 0, 2, 1, 2)"
"(7, 7, 1, 6, 1, 0)","{1, 6, 7}","(1, 0, 2, '_', '_')"
