message,symbols,fixed attribute values
"(1, 7, 1, 5, 5, 0)","{1, 5, 7}","(0, 0, 2, 3, '_')"
"(1, 7, 1, 7, 1, 0)","{1, 7}","(0, 0, 2, 1, 0)"
"(1, 7, 4, 4, 4, 0)","{1, 4, 7}","(0, 0, 2, 0, 2)"
"(1, 7, 5, 5, 5, 0)","{1, 5, 7}","(0, 0, 2, 3, 1)"
"(1, 7, 6, 1, 1, 0)","{1, 6, 7}","(2, 0, 2, 2, 0)"
"(1, 7, 7, 1, 7, 0)","{1, 7}","(0, 0, 2, 2, 0)"
"(1, 8, 1, 4, 4, 0)","{8, 1, 4}","(2, 0, 2, 0, 2)"
"(1, 8, 4, 1, 4, 0)","{8, 1, 4}","(3, 0, 2, 0, 0)"
"(1, 8, 4, 4, 4, 0)","{8, 1, 4}","('_', '_', '_', 0, '_')"
"(1, 9, 1, 1, 1, 0)","{1, 9}","('_', 0, '_', 2, '_')"
"(1, 9, 1, 1, 6, 0)","{1, 9, 6}","(0, 0, '_', 2, '_')"
"(1, 9, 1, 6, 1, 0)","{1, 9, 6}","('_', 0, '_', 2, '_')"
"(1, 9, 1, 9, 1, 0)","{1, 9}","(2, 0, 1, 2, 1)"
"(1, 9, 6, 1, 1, 0)","{1, 9, 6}","('_', 0, '_', 2, 2)"
"(1, 9, 6, 6, 1, 0)","{1, 9, 6}","('_', 0, '_', 2, '_')"
"(1, 9, 6, 6, 6, 0)","{1, 9, 6}","(0, 0, '_', 2, '_')"
"(1, 9, 9, 1, 1, 0)","{1, 9}","('_', 0, '_', 2, '_')"
"(1, 9, 9, 6, 6, 0)","{1, 9, 6}","(0, 0, '_', 2, 0)"
"(1, 10, 1, 1, 1, 0)","{1, 10}","('_', 0, 3, '_', '_')"
"(1, 10, 1, 6, 1, 0)","{1, 10, 6}","(2, 0, 3, 2, 3)"
"(1, 10, 6, 1, 1, 0)","{1, 10, 6}","(1, 0, 3, 2, '_')"
"(1, 10, 10, 1, 1, 0)","{1, 10}","(2, 0, 3, 1, 3)"
"(1, 12, 1, 1, 1, 0)","{1, 12}","(0, 0, 1, '_', 0)"
"(1, 13, 1, 1, 1, 0)","{1, 13}","(2, 0, 1, '_', '_')"
"(1, 14, 1, 1, 1, 0)","{1, 14}","('_', 0, 1, 1, 1)"
"(1, 14, 14, 1, 1, 0)","{1, 14}","(0, 0, 1, 1, 1)"
"(2, 2, 2, 2, 2, 0)",{2},"('_', 1, '_', '_', '_')"
"(2, 2, 2, 2, 3, 0)","{2, 3}","('_', 1, 0, '_', '_')"
"(2, 2, 2, 2, 4, 0)","{2, 4}","('_', 1, '_', 0, '_')"
"(2, 2, 2, 2, 7, 0)","{2, 7}","('_', 1, 2, '_', 2)"
"(2, 2, 2, 2, 9, 0)","{9, 2}","('_', 1, '_', 2, '_')"
"(2, 2, 2, 3, 2, 0)","{2, 3}","(2, 1, 0, '_', 0)"
"(2, 2, 2, 4, 2, 0)","{2, 4}","('_', 1, '_', 0, '_')"
"(2, 2, 2, 4, 4, 0)","{2, 4}","('_', 1, '_', 0, '_')"
"(2, 2, 2, 4, 7, 0)","{2, 4, 7}","('_', 1, 2, 0, 3)"
"(2, 2, 2, 4, 8, 0)","{8, 2, 4}","('_', 1, '_', 0, '_')"
"(2, 2, 2, 7, 2, 0)","{2, 7}","(2, 1, 2, '_', 3)"
"(2, 2, 2, 7, 7, 0)","{2, 7}","('_', 1, 2, 1, '_')"
"(2, 2, 2, 9, 2, 0)","{9, 2}","('_', 1, '_', 2, '_')"
"(2, 2, 2, 9, 7, 0)","{9, 2, 7}","(2, 1, 2, 2, '_')"
"(2, 2, 2, 9, 9, 0)","{9, 2}","('_', 1, '_', 2, '_')"
"(2, 2, 2, 10, 2, 0)","{2, 10}","('_', 1, 3, 1, 2)"
"(2, 2, 2, 10, 10, 0)","{2, 10}","(1, 1, 3, 1, 3)"
"(2, 2, 2, 11, 2, 0)","{2, 11}","(3, 1, 0, '_', 3)"
"(2, 2, 2, 11, 9, 0)","{9, 2, 11}","(0, 1, 0, '_', 0)"
"(2, 2, 3, 2, 2, 0)","{2, 3}","('_', 1, 0, '_', '_')"
"(2, 2, 3, 2, 3, 0)","{2, 3}","(2, 1, 0, '_', 3)"
"(2, 2, 3, 2, 11, 0)","{11, 2, 3}","(3, 1, 0, '_', 0)"
"(2, 2, 4, 2, 4, 0)","{2, 4}","('_', 1, '_', 0, '_')"
"(2, 2, 4, 4, 2, 0)","{2, 4}","('_', 1, 2, 0, 1)"
"(2, 2, 4, 4, 4, 0)","{2, 4}","('_', 1, '_', 0, '_')"
"(2, 2, 4, 4, 8, 0)","{8, 2, 4}","('_', 1, '_', 0, '_')"
"(2, 2, 4, 7, 4, 0)","{2, 4, 7}","('_', 1, 2, 0, '_')"
"(2, 2, 4, 8, 4, 0)","{8, 2, 4}","('_', 1, '_', 0, '_')"
