message,n_concepts
"(2, 6, 6, 4, 0)",1
"(2, 7, 2, 2, 0)",1
"(2, 7, 2, 7, 0)",2
"(2, 7, 2, 8, 0)",2
"(2, 7, 2, 12, 0)",2
"(2, 7, 7, 8, 0)",1
"(2, 7, 8, 2, 0)",2
"(2, 7, 8, 6, 0)",1
"(2, 7, 8, 7, 0)",2
"(2, 7, 8, 12, 0)",1
"(2, 7, 10, 7, 0)",1
"(2, 7, 11, 14, 0)",1
"(2, 7, 12, 2, 0)",1
"(2, 7, 12, 8, 0)",1
"(2, 7, 12, 12, 0)",1
"(2, 7, 13, 6, 0)",2
"(2, 7, 13, 13, 0)",1
"(2, 7, 14, 11, 0)",1
"(2, 8, 1, 1, 0)",1
"(2, 8, 1, 10, 0)",1
"(2, 8, 2, 1, 0)",1
"(2, 8, 2, 2, 0)",2
"(2, 8, 2, 4, 0)",1
"(2, 8, 2, 5, 0)",1
"(2, 8, 2, 8, 0)",3
"(2, 8, 2, 13, 0)",1
"(2, 8, 4, 8, 0)",1
"(2, 8, 5, 5, 0)",3
"(2, 8, 6, 8, 0)",1
"(2, 8, 7, 2, 0)",1
"(2, 8, 8, 2, 0)",1
"(2, 8, 8, 8, 0)",2
"(2, 8, 8, 12, 0)",1
"(2, 9, 1, 9, 0)",1
"(2, 9, 2, 8, 0)",1
"(2, 9, 4, 2, 0)",1
"(2, 9, 5, 9, 0)",1
"(2, 9, 6, 7, 0)",1
"(2, 9, 8, 8, 0)",3
"(2, 9, 9, 1, 0)",1
"(2, 9, 9, 2, 0)",1
"(2, 9, 9, 5, 0)",1
"(2, 9, 9, 7, 0)",1
"(2, 9, 9, 9, 0)",1
"(2, 9, 12, 2, 0)",1
"(2, 9, 12, 12, 0)",1
"(2, 9, 13, 4, 0)",1
"(2, 9, 13, 7, 0)",1
"(2, 9, 13, 13, 0)",1
"(2, 10, 1, 1, 0)",1
"(2, 10, 1, 10, 0)",1
"(2, 10, 1, 13, 0)",1
"(2, 10, 9, 1, 0)",1
"(2, 10, 9, 7, 0)",1
"(2, 10, 9, 10, 0)",1
"(2, 10, 9, 13, 0)",1
"(2, 10, 10, 7, 0)",2
"(2, 10, 10, 13, 0)",1
"(2, 10, 13, 13, 0)",1
"(2, 12, 2, 7, 0)",1
"(2, 12, 2, 8, 0)",1
"(2, 12, 2, 10, 0)",1
"(2, 12, 5, 5, 0)",1
"(2, 12, 5, 8, 0)",1
"(2, 12, 5, 14, 0)",1
"(2, 12, 6, 6, 0)",1
"(2, 12, 7, 1, 0)",1
"(2, 12, 7, 6, 0)",1
"(2, 12, 7, 8, 0)",1
"(2, 12, 8, 8, 0)",1
"(2, 12, 11, 14, 0)",1
"(2, 12, 12, 2, 0)",1
"(2, 12, 12, 9, 0)",1
"(2, 12, 12, 13, 0)",1
"(2, 12, 13, 13, 0)",1
"(2, 13, 1, 13, 0)",1
"(2, 13, 4, 6, 0)",1
"(2, 13, 4, 13, 0)",1
"(2, 13, 9, 4, 0)",1
"(2, 13, 9, 7, 0)",2
"(2, 13, 9, 13, 0)",3
"(2, 13, 12, 13, 0)",1
"(2, 13, 13, 4, 0)",1
"(2, 13, 13, 6, 0)",1
"(2, 13, 13, 7, 0)",1
"(2, 13, 13, 12, 0)",1
"(2, 13, 13, 13, 0)",2
"(2, 14, 2, 11, 0)",1
"(2, 14, 9, 14, 0)",1
"(3, 2, 2, 10, 0)",1
"(3, 2, 2, 13, 0)",1
"(3, 2, 3, 2, 0)",1
"(3, 2, 3, 5, 0)",1
"(3, 2, 5, 5, 0)",1
"(3, 2, 9, 14, 0)",1
"(3, 2, 10, 10, 0)",2
"(3, 2, 13, 6, 0)",1
"(3, 2, 14, 9, 0)",1
"(3, 2, 14, 14, 0)",1
"(3, 3, 2, 3, 0)",1
"(3, 3, 2, 9, 0)",2
"(3, 3, 2, 13, 0)",1
"(3, 3, 3, 2, 0)",1
"(3, 3, 3, 3, 0)",5
"(3, 3, 3, 4, 0)",2
"(3, 3, 3, 5, 0)",3
"(3, 3, 3, 6, 0)",2
"(3, 3, 3, 8, 0)",4
"(3, 3, 3, 13, 0)",1
"(3, 3, 3, 14, 0)",2
"(3, 3, 5, 3, 0)",3
"(3, 3, 5, 5, 0)",1
"(3, 3, 5, 8, 0)",2
"(3, 3, 5, 9, 0)",2
"(3, 3, 5, 15, 0)",1
"(3, 3, 6, 6, 0)",1
"(3, 3, 8, 3, 0)",1
"(3, 3, 8, 5, 0)",2
"(3, 3, 8, 7, 0)",1
"(3, 3, 9, 3, 0)",2
"(3, 3, 9, 9, 0)",1
"(3, 3, 9, 14, 0)",3
"(3, 3, 10, 9, 0)",1
"(3, 3, 11, 11, 0)",1
"(3, 3, 11, 14, 0)",1
"(3, 3, 12, 14, 0)",1
"(3, 3, 13, 6, 0)",1
"(3, 3, 13, 9, 0)",1
"(3, 3, 13, 13, 0)",2
"(3, 3, 14, 3, 0)",4
"(3, 3, 14, 9, 0)",3
"(3, 3, 14, 11, 0)",1
"(3, 3, 14, 14, 0)",1
"(3, 3, 15, 5, 0)",2
"(3, 3, 15, 6, 0)",2
"(3, 3, 15, 11, 0)",1
"(3, 3, 15, 13, 0)",1
"(3, 5, 2, 9, 0)",1
"(3, 5, 2, 13, 0)",1
"(3, 5, 3, 2, 0)",1
"(3, 5, 3, 5, 0)",2
"(3, 5, 3, 8, 0)",1
"(3, 5, 3, 9, 0)",1
"(3, 5, 5, 3, 0)",1
"(3, 5, 5, 5, 0)",2
"(3, 5, 5, 10, 0)",1
"(3, 5, 6, 13, 0)",1
"(3, 5, 7, 10, 0)",1
"(3, 5, 8, 10, 0)",1
"(3, 5, 9, 5, 0)",1
"(3, 5, 9, 9, 0)",1
"(3, 5, 9, 14, 0)",1
"(3, 5, 10, 9, 0)",1
"(3, 5, 10, 11, 0)",1
"(3, 5, 13, 6, 0)",1
"(3, 5, 13, 9, 0)",1
"(3, 5, 13, 13, 0)",1
"(3, 5, 14, 9, 0)",1
"(3, 5, 14, 14, 0)",1
"(3, 8, 2, 3, 0)",1
"(3, 8, 2, 10, 0)",1
"(3, 8, 5, 5, 0)",1
"(3, 8, 5, 8, 0)",1
"(3, 8, 5, 10, 0)",1
"(3, 8, 5, 13, 0)",1
"(3, 8, 10, 10, 0)",1
"(3, 8, 11, 14, 0)",1
"(3, 8, 13, 11, 0)",1
"(3, 8, 13, 13, 0)",2
"(3, 8, 14, 11, 0)",1
"(3, 9, 10, 14, 0)",1
"(3, 10, 7, 10, 0)",2
"(3, 10, 7, 13, 0)",1
"(3, 10, 9, 1, 0)",1
"(3, 10, 9, 7, 0)",1
"(3, 10, 9, 13, 0)",1
"(3, 10, 9, 14, 0)",1
"(3, 10, 10, 11, 0)",1
"(3, 10, 10, 14, 0)",1
"(3, 10, 11, 10, 0)",1
"(3, 10, 13, 1, 0)",1
"(3, 10, 13, 13, 0)",1
"(3, 10, 14, 14, 0)",1
"(3, 12, 14, 14, 0)",1
"(3, 13, 13, 1, 0)",1
"(3, 13, 13, 9, 0)",1
"(3, 13, 13, 12, 0)",1
"(3, 13, 13, 13, 0)",1
"(3, 14, 3, 14, 0)",1
"(3, 14, 14, 14, 0)",1
"(3, 15, 6, 13, 0)",1
"(3, 15, 10, 14, 0)",1
"(3, 15, 11, 10, 0)",1
"(3, 15, 11, 11, 0)",2
"(3, 15, 11, 14, 0)",2
"(3, 15, 15, 15, 0)",1
"(4, 1, 10, 9, 0)",1
"(4, 1, 10, 10, 0)",1
"(4, 2, 1, 10, 0)",1
