symbols,count,fixed attribute values
"(5,)",7,"{('?', 6, None)}"
"(6,)",71,"{(4, None, None)}"
"(8, 21)",3,"{('?', None, 1)}"
"(9,)",64,"{(3, None, None)}"
"(9, 12)",1,"{(3, 2, '?')}"
"(9, 18)",1,"{(3, 7, 7)}"
"(9, 21)",1,"{(3, 1, 5)}"
"(12,)",15,"{(None, 2, None)}"
"(12, 5)",5,"{('?', 4, None)}"
"(12, 13)",4,"{(0, 2, None)}"
"(12, 23)",1,"{(5, 2, 3)}"
"(13,)",64,"{(0, None, None)}"
"(13, 6)",1,"{(0, 3, 4)}"
"(13, 21)",1,"{(0, 3, 5)}"
"(13, 21, 7)",1,"{(0, '?', 7)}"
"(15,)",1,"{('?', '?', 6)}"
"(16,)",64,"{(1, None, None)}"
"(17,)",64,"{(6, None, None)}"
"(17, 5)",1,"{('?', 6, 6)}"
"(18,)",60,"{(7, None, None)}"
"(19, 21)",1,"{('?', '?', 2)}"
"(21,)",2,"{('?', '?', None)}"
"(21, 5)",13,"{(None, 1, None)}"
"(21, 7)",2,"{('?', 3, None)}"
"(21, 12, 5)",2,"{('?', '?', None)}"
"(21, 13)",1,"{('?', '?', 2)}"
"(21, 15)",2,"{('?', '?', 5), ('?', '?', 0)}"
"(23,)",62,"{(5, None, None)}"
"(24,)",10,"{('?', 5, None)}"
"(24, 8)",1,"{('?', 0, 1)}"
"(24, 13)",2,"{(0, 5, 0)}"
"(24, 16)",9,"{(None, 0, None), ('?', 0, 2)}"
"(24, 17)",1,"{('?', 7, '?')}"
"(24, 21)",13,"{('?', 3, None), (None, 7, None)}"
"(24, 21, 7)",7,"{('?', 3, None)}"
"(24, 21, 13)",1,"{(0, 7, 7)}"
"(26,)",62,"{(2, None, None)}"
