message,n_concepts
"(1, 1, 1, 0)",4
"(1, 1, 5, 0)",3
"(1, 1, 6, 0)",1
"(1, 1, 19, 0)",1
"(1, 1, 24, 0)",1
"(1, 1, 32, 0)",1
"(1, 1, 47, 0)",1
"(1, 2, 2, 0)",10
"(1, 2, 5, 0)",7
"(1, 2, 16, 0)",6
"(1, 2, 19, 0)",11
"(1, 3, 13, 0)",2
"(1, 3, 16, 0)",4
"(1, 5, 5, 0)",1
"(1, 6, 1, 0)",8
"(1, 6, 5, 0)",1
"(1, 6, 11, 0)",1
"(1, 6, 31, 0)",1
"(1, 12, 1, 0)",3
"(1, 12, 2, 0)",2
"(1, 12, 5, 0)",5
"(1, 12, 6, 0)",7
"(1, 12, 9, 0)",11
"(1, 12, 12, 0)",1
"(1, 13, 5, 0)",2
"(1, 13, 16, 0)",3
"(1, 16, 5, 0)",4
"(1, 16, 16, 0)",2
"(1, 16, 46, 0)",1
"(1, 19, 2, 0)",2
"(1, 19, 19, 0)",4
"(1, 24, 1, 0)",1
"(1, 29, 16, 0)",1
"(1, 40, 10, 0)",1
"(1, 46, 16, 0)",4
"(1, 47, 1, 0)",1
"(1, 47, 5, 0)",3
"(1, 51, 1, 0)",5
"(1, 51, 16, 0)",1
"(1, 51, 32, 0)",2
"(2, 2, 5, 0)",2
"(2, 5, 5, 0)",2
"(2, 5, 28, 0)",2
"(2, 19, 19, 0)",3
"(2, 19, 48, 0)",3
"(3, 2, 5, 0)",1
"(3, 3, 3, 0)",14
"(3, 3, 4, 0)",10
"(3, 3, 5, 0)",2
"(3, 3, 23, 0)",10
"(3, 3, 36, 0)",1
"(3, 3, 44, 0)",4
"(3, 4, 4, 0)",3
"(3, 4, 5, 0)",1
"(3, 4, 44, 0)",4
"(3, 5, 2, 0)",1
"(3, 5, 5, 0)",10
"(3, 5, 22, 0)",8
"(3, 5, 38, 0)",2
"(3, 5, 44, 0)",5
"(3, 5, 45, 0)",8
"(3, 23, 19, 0)",4
"(3, 23, 23, 0)",11
"(3, 23, 44, 0)",2
"(3, 23, 45, 0)",6
"(3, 30, 2, 0)",4
"(3, 30, 30, 0)",4
"(3, 30, 36, 0)",8
"(3, 36, 36, 0)",11
"(3, 44, 44, 0)",7
"(3, 44, 45, 0)",7
"(3, 45, 45, 0)",5
"(4, 4, 4, 0)",14
"(4, 4, 5, 0)",2
"(4, 4, 16, 0)",7
"(4, 4, 44, 0)",7
"(4, 5, 4, 0)",1
"(4, 5, 5, 0)",6
"(4, 5, 44, 0)",1
"(4, 44, 44, 0)",3
"(5, 2, 2, 0)",4
"(5, 2, 19, 0)",2
"(5, 2, 22, 0)",1
"(5, 2, 28, 0)",3
"(5, 2, 45, 0)",1
"(5, 4, 5, 0)",9
"(5, 4, 36, 0)",1
"(5, 5, 2, 0)",1
"(5, 5, 5, 0)",8
"(5, 5, 22, 0)",6
"(5, 5, 28, 0)",3
"(5, 5, 38, 0)",5
"(5, 5, 40, 0)",3
"(5, 5, 45, 0)",6
"(5, 16, 2, 0)",1
"(5, 16, 5, 0)",2
"(5, 19, 16, 0)",1
"(5, 19, 23, 0)",6
"(5, 19, 36, 0)",18
"(5, 19, 40, 0)",5
"(5, 19, 47, 0)",2
"(5, 19, 48, 0)",3
"(5, 20, 44, 0)",1
"(5, 22, 2, 0)",13
"(5, 22, 5, 0)",23
"(5, 22, 19, 0)",21
"(5, 22, 22, 0)",19
"(5, 22, 36, 0)",5
"(5, 22, 40, 0)",9
"(5, 22, 41, 0)",1
"(5, 22, 42, 0)",1
"(5, 22, 44, 0)",1
"(5, 22, 45, 0)",11
"(5, 23, 19, 0)",3
"(5, 23, 23, 0)",4
"(5, 23, 45, 0)",5
"(5, 28, 19, 0)",1
"(5, 30, 19, 0)",1
"(5, 36, 19, 0)",10
"(5, 36, 36, 0)",18
"(5, 36, 45, 0)",4
"(5, 40, 5, 0)",1
"(5, 40, 19, 0)",2
"(5, 40, 22, 0)",6
"(5, 40, 40, 0)",10
"(5, 42, 40, 0)",1
"(5, 44, 44, 0)",6
"(5, 44, 45, 0)",11
"(5, 45, 5, 0)",2
"(5, 45, 22, 0)",19
"(5, 45, 45, 0)",9
"(5, 46, 45, 0)",1
"(5, 47, 19, 0)",1
"(6, 6, 5, 0)",1
"(6, 6, 6, 0)",5
"(6, 6, 14, 0)",6
"(6, 6, 47, 0)",7
"(6, 12, 5, 0)",3
"(6, 12, 6, 0)",11
"(6, 12, 12, 0)",1
"(6, 12, 14, 0)",3
"(6, 12, 27, 0)",4
"(6, 12, 32, 0)",4
"(6, 12, 47, 0)",2
"(6, 13, 6, 0)",3
"(6, 13, 32, 0)",1
