fixed attribute values,symbols
"(0, 0, 0, 0)","[{8, 6}]"
"(0, 0, 0, 3)","[{8, 6}]"
"(0, 0, 1, 0)","[{9, 2}]"
"(0, 0, 1, 3)","[{8, 9}, {9, 11}]"
"(0, 0, 2, 1)","[{8, 5}]"
"(0, 0, 3, 1)","[{8, 5, 7}]"
"(0, 0, 3, 3)","[{8, 5, 7}, {8, 7}, {8, 7}]"
"(0, 0, 3, '_')","[{8, 7}, {8, 7}]"
"(0, 1, 1, 0)","[{9, 4}]"
"(0, 1, 1, '_')","[{9, 4}]"
"(0, 1, 3, '_')","[{4, 7}]"
"(0, 2, 0, 1)","[{6, 15}, {6, 15}]"
"(0, 2, 1, 3)","[{9, 15}, {9, 15}]"
"(0, 2, 1, '_')","[{9, 15}, {9, 15}, {9, 15}]"
"(0, 2, 2, 1)","[{10, 12}, {10, 12}, {10, 12}, {10, 15}]"
"(0, 2, 2, '_')","[{10, 15}, {10, 15}]"
"(0, 2, '_', 1)","[{12, 15}]"
"(0, 3, 0, 1)","[{6, 14}]"
"(0, 3, 1, 1)","[{9, 14}]"
"(0, 3, 1, '_')","[{9, 14}]"
"(0, 3, 2, 3)","[{10, 14}]"
"(0, 3, 3, '_')","[{14, 7}, {14, 7}, {14, 7}]"
"(0, '_', 0, 0)","[{2, 6}, {2, 6}]"
"(0, '_', 0, 1)","[{2, 10, 12}]"
"(0, '_', 0, 3)","[{6, 15}]"
"(0, '_', 1, 1)","[{9, 12}]"
"(0, '_', '_', '_')","[{2, 12}]"
"(1, 0, 0, '_')","[{8, 6}]"
"(1, 0, 2, 0)","[{8, 10}, {8, 10}]"
"(1, 0, 2, 3)","[{8, 10}]"
"(1, 0, 2, '_')","[{8, 10}, {8, 10}]"
"(1, 0, 3, 0)","[{8, 7}]"
"(1, 0, 3, 2)","[{5, 7}]"
"(1, 0, 3, '_')","[{8, 5, 7}]"
"(1, 2, 1, 3)","[{9, 15}]"
"(1, 2, 1, '_')","[{9, 15}]"
"(1, 2, 2, 0)","[{10, 15}]"
"(1, 2, 2, 1)","[{10, 12, 15}, {10, 12, 15}]"
"(1, 2, 2, '_')","[{10, 15}, {10, 15}]"
"(1, 2, 3, 2)","[{15, 7}]"
"(1, 2, '_', 1)","[{12, 15}]"
"(1, 3, 1, 1)","[{9, 3, 12}]"
"(1, 3, 1, 3)","[{9, 14}]"
"(1, 3, 2, 2)","[{3, 14}]"
"(1, 3, 2, '_')","[{10, 14}]"
"(1, 3, 3, 1)","[{14, 7}]"
"(1, 3, 3, '_')","[{14, 7}]"
"(1, 3, '_', 1)","[{10, 12, 14}, {10, 12, 14}, {12, 14}]"
"(1, '_', 0, 1)","[{12, 6}]"
"(1, '_', 0, 2)","[{3, 6}, {3, 6}, {3, 6}]"
"(1, '_', 0, 3)","[{11, 6, 15}, {11, 6}, {11, 6}]"
"(1, '_', 3, 1)","[{12, 7}]"
"(1, '_', 3, 2)","[{3, 7}]"
"(1, '_', 3, 3)","[{11, 7}, {11, 7}]"
"(1, '_', '_', 1)","[{10, 3, 12}, {10, 12}]"
"(1, '_', '_', '_')","[{3, 12}, {10, 3, 12}]"
"(2, 0, 0, 3)","[{8, 6}, {8, 6}]"
"(2, 0, 0, '_')","[{8, 6}]"
"(2, 0, 1, 0)","[{8, 9}]"
