message,symbols,fixed attribute values
"(2, 2, 3, 3, 0)","{2, 3}","(4, 4, 1, 1)"
"(2, 2, 3, 16, 0)","{16, 2, 3}","(5, 1, 1, 6)"
"(2, 2, 14, 3, 0)","{2, 3, 14}","(5, 1, '_', 6)"
"(2, 2, 14, 16, 0)","{16, 2, 14}","(3, 1, '_', 6)"
"(2, 2, 16, 3, 0)","{16, 2, 3}","(5, 1, 1, 6)"
"(2, 2, 16, 16, 0)","{16, 2}","(3, 1, '_', 6)"
"(2, 2, 20, 20, 0)","{2, 20}","('_', 7, '_', '_')"
"(2, 2, 21, 21, 0)","{2, 21}","('_', 3, 6, '_')"
"(2, 3, 3, 3, 0)","{2, 3}","('_', 4, '_', '_')"
"(2, 5, 5, 5, 0)","{2, 5}","('_', 4, '_', 3)"
"(2, 6, 23, 23, 0)","{2, 6, 23}","(5, 4, 2, 5)"
"(2, 7, 3, 3, 0)","{2, 3, 7}","('_', 4, '_', '_')"
"(2, 7, 3, 14, 0)","{2, 3, 14, 7}","(2, 4, 1, 5)"
"(2, 7, 3, 16, 0)","{16, 2, 3, 7}","('_', 4, '_', '_')"
"(2, 7, 3, 19, 0)","{19, 2, 3, 7}","(7, 4, '_', 5)"
"(2, 7, 7, 3, 0)","{2, 3, 7}","('_', 4, '_', '_')"
"(2, 7, 7, 7, 0)","{2, 7}","(2, 4, '_', 7)"
"(2, 7, 7, 13, 0)","{2, 13, 7}","(2, 4, 2, 5)"
"(2, 7, 7, 19, 0)","{2, 19, 7}","(2, 7, '_', 5)"
"(2, 7, 7, 23, 0)","{2, 23, 7}","(2, 4, 2, 5)"
"(2, 7, 16, 3, 0)","{16, 2, 3, 7}","(7, 4, 1, '_')"
"(2, 7, 16, 16, 0)","{16, 2, 7}","(5, 4, 2, 5)"
"(2, 7, 16, 23, 0)","{16, 2, 23, 7}","(2, 4, 2, 5)"
"(2, 7, 19, 3, 0)","{3, 2, 19, 7}","(4, 4, 1, 5)"
"(2, 7, 19, 19, 0)","{2, 19, 7}","('_', '_', '_', 5)"
"(2, 7, 19, 20, 0)","{2, 19, 20, 7}","(2, 7, 0, 5)"
"(2, 7, 20, 20, 0)","{2, 20, 7}","(2, 7, 0, 5)"
"(2, 7, 21, 3, 0)","{2, 3, 21, 7}","(3, 4, 0, 5)"
"(2, 10, 10, 10, 0)","{2, 10}","('_', '_', 7, '_')"
"(2, 10, 10, 16, 0)","{16, 2, 10}","(3, 0, 7, 6)"
"(2, 11, 3, 3, 0)","{3, 2, 11}","(7, 4, 6, 1)"
"(2, 11, 4, 7, 0)","{2, 11, 4, 7}","('_', 3, 6, 7)"
"(2, 11, 4, 11, 0)","{2, 11, 4}","(6, 3, 6, '_')"
"(2, 11, 11, 4, 0)","{2, 11, 4}","('_', 3, 6, 7)"
"(2, 11, 11, 9, 0)","{9, 2, 11}","(3, 3, 6, 1)"
"(2, 11, 11, 11, 0)","{2, 11}","('_', '_', 6, '_')"
"(2, 11, 11, 14, 0)","{2, 11, 14}","(2, '_', 6, 6)"
"(2, 11, 11, 16, 0)","{16, 2, 11}","('_', '_', 6, 6)"
"(2, 11, 11, 21, 0)","{2, 11, 21}","(3, 3, 6, 1)"
"(2, 11, 14, 11, 0)","{2, 11, 14}","(4, 3, 6, 6)"
"(2, 11, 14, 14, 0)","{2, 11, 14}","(2, 1, 6, 6)"
"(2, 11, 15, 11, 0)","{2, 11, 15}","(3, 3, 6, 1)"
"(2, 11, 16, 11, 0)","{16, 2, 11}","(2, 3, 6, 6)"
"(2, 11, 16, 16, 0)","{16, 2, 11}","('_', '_', 6, 6)"
"(2, 11, 20, 20, 0)","{2, 11, 20}","(7, 7, 6, 6)"
"(2, 11, 21, 11, 0)","{2, 11, 21}","('_', 3, 6, 7)"
