message,symbols,fixed attribute values
"(2, 11, 21, 21, 0)","{2, 11, 21}","(3, 3, 6, 1)"
"(2, 13, 13, 13, 0)","{2, 13}","('_', 3, 7, 7)"
"(2, 14, 3, 16, 0)","{16, 2, 3, 14}","(2, 1, '_', 6)"
"(2, 14, 5, 5, 0)","{2, 5, 14}","(3, 4, 3, 3)"
"(2, 14, 11, 16, 0)","{16, 2, 11, 14}","(6, 2, 6, 6)"
"(2, 14, 14, 10, 0)","{2, 10, 14}","(2, 1, 3, 6)"
"(2, 14, 14, 14, 0)","{2, 14}","('_', '_', '_', 6)"
"(2, 14, 14, 15, 0)","{2, 14, 15}","(5, 4, 3, 6)"
"(2, 14, 14, 16, 0)","{16, 2, 14}","('_', 2, '_', 6)"
"(2, 14, 15, 14, 0)","{2, 14, 15}","(4, 4, 3, 6)"
"(2, 14, 16, 14, 0)","{16, 2, 14}","(4, '_', 0, 6)"
"(2, 14, 16, 16, 0)","{16, 2, 14}","('_', '_', '_', 6)"
"(2, 14, 16, 26, 0)","{16, 2, 26, 14}","(5, 4, 0, 6)"
"(2, 14, 18, 16, 0)","{16, 2, 18, 14}","(5, '_', '_', 6)"
"(2, 14, 25, 14, 0)","{25, 2, 14}","(0, 6, 0, 6)"
"(2, 14, 26, 26, 0)","{2, 26, 14}","(4, 7, 0, 6)"
"(2, 15, 21, 21, 0)","{2, 21, 15}","(5, 3, 6, 1)"
"(2, 16, 3, 16, 0)","{16, 2, 3}","('_', 4, 1, 6)"
"(2, 16, 10, 10, 0)","{16, 2, 10}","(4, 0, 7, 6)"
"(2, 16, 11, 16, 0)","{16, 2, 11}","(2, 3, 6, 6)"
"(2, 16, 14, 14, 0)","{16, 2, 14}","(7, 6, 6, 6)"
"(2, 16, 15, 15, 0)","{16, 2, 15}","(2, 4, 3, '_')"
"(2, 16, 16, 3, 0)","{16, 2, 3}","(6, 5, 1, 6)"
"(2, 16, 16, 14, 0)","{16, 2, 14}","(4, '_', 6, 6)"
"(2, 16, 16, 16, 0)","{16, 2}","('_', '_', '_', 6)"
"(2, 16, 22, 16, 0)","{16, 2, 22}","(3, 3, 1, 6)"
"(2, 16, 23, 16, 0)","{16, 2, 23}","(3, 3, 2, 6)"
"(2, 18, 16, 16, 0)","{16, 2, 18}","(2, 0, 5, 6)"
"(2, 18, 18, 16, 0)","{16, 2, 18}","(4, 2, 5, 6)"
"(2, 18, 18, 18, 0)","{2, 18}","('_', 7, '_', 1)"
"(2, 18, 18, 19, 0)","{19, 2, 18}","(2, 4, 5, 5)"
"(2, 20, 20, 20, 0)","{2, 20}","('_', '_', '_', '_')"
"(2, 21, 14, 16, 0)","{16, 2, 21, 14}","(5, 3, '_', 6)"
"(2, 21, 16, 16, 0)","{16, 2, 21}","(0, 3, 1, 6)"
"(2, 21, 18, 18, 0)","{2, 18, 21}","(7, 3, 5, 1)"
"(2, 21, 18, 19, 0)","{19, 2, 18, 21}","('_', 3, 5, 5)"
"(2, 21, 19, 18, 0)","{18, 2, 19, 21}","(3, 3, 5, 5)"
"(2, 21, 19, 19, 0)","{2, 19, 21}","(3, 3, '_', 7)"
"(2, 21, 21, 11, 0)","{2, 11, 21}","(0, 3, 6, '_')"
"(2, 21, 21, 14, 0)","{2, 21, 14}","(2, 3, 0, 5)"
"(2, 21, 21, 17, 0)","{17, 2, 21}","(4, 3, '_', 1)"
"(2, 21, 21, 18, 0)","{2, 18, 21}","(2, 3, 5, 5)"
"(2, 21, 21, 19, 0)","{2, 19, 21}","(3, 3, '_', 5)"
"(2, 21, 21, 21, 0)","{2, 21}","('_', 3, '_', '_')"
"(2, 21, 21, 22, 0)","{2, 21, 22}","('_', 3, '_', '_')"
"(2, 21, 21, 23, 0)","{2, 21, 23}","(3, 3, '_', 5)"
"(2, 21, 22, 16, 0)","{16, 2, 21, 22}","(2, 3, 1, 6)"
"(2, 21, 22, 21, 0)","{2, 21, 22}","(5, 3, '_', '_')"
"(2, 21, 23, 7, 0)","{2, 7, 21, 23}","(6, 3, '_', 7)"
"(2, 21, 23, 23, 0)","{2, 21, 23}","(5, 3, '_', 7)"
"(2, 22, 2, 21, 0)","{2, 21, 22}","('_', 3, 1, '_')"
"(2, 22, 14, 16, 0)","{16, 2, 22, 14}","(7, 3, 1, 6)"
"(2, 22, 16, 16, 0)","{16, 2, 22}","(3, 3, 1, 6)"
"(2, 22, 16, 22, 0)","{16, 2, 22}","(5, 3, 1, 6)"
"(2, 22, 21, 21, 0)","{2, 21, 22}","('_', 3, 1, '_')"
"(2, 22, 21, 22, 0)","{2, 21, 22}","('_', 3, 1, '_')"
"(2, 22, 22, 2, 0)","{2, 22}","(5, 3, 1, '_')"
"(2, 22, 22, 16, 0)","{16, 2, 22}","(7, 3, 1, 6)"
"(2, 22, 22, 21, 0)","{2, 21, 22}","('_', 3, 1, '_')"
"(2, 22, 22, 22, 0)","{2, 22}","('_', 3, 1, '_')"
"(2, 23, 16, 16, 0)","{16, 2, 23}","(5, 3, 2, 6)"
"(2, 23, 20, 20, 0)","{2, 20, 23}","(4, 7, 2, 6)"
"(2, 23, 23, 8, 0)","{8, 2, 23}","(4, 3, 2, 6)"
"(2, 23, 23, 16, 0)","{16, 2, 23}","(3, 3, 2, 6)"
"(2, 23, 23, 23, 0)","{2, 23}","('_', 3, 2, 6)"
"(2, 24, 24, 24, 0)","{24, 2}","(3, 3, '_', 2)"
"(2, 26, 2, 20, 0)","{2, 26, 20}","(2, 7, 0, 6)"
"(2, 26, 14, 14, 0)","{2, 26, 14}","('_', 5, 0, 6)"
"(2, 26, 14, 26, 0)","{2, 26, 14}","(2, 1, 0, 6)"
"(2, 26, 15, 26, 0)","{2, 26, 15}","(3, 3, 0, 5)"
"(2, 26, 16, 26, 0)","{16, 2, 26}","(2, 2, 0, 6)"
"(2, 26, 19, 19, 0)","{19, 2, 26}","(3, 7, 0, 5)"
"(2, 26, 20, 20, 0)","{2, 26, 20}","(2, 7, 0, 6)"
"(2, 26, 26, 21, 0)","{2, 26, 21}","(6, 3, 0, 5)"
"(2, 26, 26, 26, 0)","{2, 26}","('_', 3, 0, 1)"
"(4, 2, 3, 3, 0)","{2, 3, 4}","('_', '_', '_', '_')"
"(4, 2, 3, 9, 0)","{9, 2, 3, 4}","(5, 1, 6, 1)"
"(4, 2, 7, 3, 0)","{2, 3, 4, 7}","('_', 1, '_', '_')"
"(4, 2, 7, 7, 0)","{2, 4, 7}","(6, 1, '_', 7)"
"(4, 2, 7, 19, 0)","{2, 19, 4, 7}","(3, 1, '_', 5)"
"(4, 2, 11, 3, 0)","{3, 2, 11, 4}","('_', 1, 6, 1)"
"(4, 2, 11, 11, 0)","{2, 11, 4}","('_', 1, 6, 7)"
"(4, 2, 18, 18, 0)","{2, 18, 4}","('_', 1, 5, 5)"
"(4, 2, 19, 19, 0)","{2, 19, 4}","(0, 1, '_', 5)"
"(4, 2, 20, 20, 0)","{2, 4, 20}","(3, 7, '_', 7)"
"(4, 2, 22, 3, 0)","{2, 3, 4, 22}","(7, 1, 6, '_')"
"(4, 2, 23, 23, 0)","{2, 4, 23}","(0, 3, '_', 5)"
"(4, 3, 3, 3, 0)","{3, 4}","('_', '_', '_', 1)"
"(4, 3, 3, 16, 0)","{16, 3, 4}","(0, 0, 5, 1)"
"(4, 3, 16, 16, 0)","{16, 3, 4}","(7, 0, '_', 1)"
"(4, 4, 16, 16, 0)","{16, 4}","(0, 0, '_', 7)"
"(4, 5, 5, 5, 0)","{4, 5}","('_', 0, '_', 3)"
"(4, 5, 20, 8, 0)","{8, 20, 4, 5}","(5, 0, 4, 3)"
"(4, 6, 23, 8, 0)","{8, 4, 6, 23}","('_', 0, 2, 5)"
"(4, 6, 23, 23, 0)","{4, 6, 23}","('_', 0, '_', 5)"
"(4, 7, 3, 3, 0)","{3, 4, 7}","('_', '_', '_', 1)"
"(4, 7, 7, 3, 0)","{3, 4, 7}","(3, '_', '_', 1)"
"(4, 7, 7, 7, 0)","{4, 7}","('_', '_', '_', 7)"
"(4, 7, 7, 19, 0)","{19, 4, 7}","(6, 5, '_', 5)"
"(4, 7, 13, 16, 0)","{16, 4, 13, 7}","(7, 0, 5, 7)"
"(4, 7, 14, 16, 0)","{16, 4, 14, 7}","(3, 0, 5, 7)"
"(4, 7, 16, 1, 0)","{16, 1, 4, 7}","(0, '_', '_', '_')"
"(4, 7, 16, 3, 0)","{16, 3, 4, 7}","(5, 0, '_', 1)"
"(4, 7, 16, 16, 0)","{16, 4, 7}","('_', 0, '_', '_')"
"(4, 7, 16, 19, 0)","{16, 19, 4, 7}","(6, 0, '_', 5)"
"(4, 7, 19, 14, 0)","{19, 4, 14, 7}","(2, 0, 3, 5)"
"(4, 7, 19, 16, 0)","{16, 19, 4, 7}","(2, 0, 5, 5)"
"(4, 7, 19, 19, 0)","{19, 4, 7}","('_', '_', '_', 5)"
"(4, 7, 23, 23, 0)","{4, 23, 7}","(3, 3, '_', 5)"
"(4, 8, 8, 8, 0)","{8, 4}","('_', '_', 4, '_')"
"(4, 8, 8, 23, 0)","{8, 4, 23}","(3, 0, 4, 0)"
"(4, 8, 16, 8, 0)","{8, 16, 4}","('_', 0, 4, '_')"
"(4, 8, 16, 16, 0)","{8, 16, 4}","('_', 0, '_', '_')"
"(4, 8, 23, 8, 0)","{8, 4, 23}","(3, 0, 4, 7)"
"(4, 11, 11, 11, 0)","{11, 4}","('_', 0, 6, '_')"
"(4, 11, 11, 13, 0)","{11, 4, 13}","(7, 0, 6, 1)"
"(4, 11, 11, 16, 0)","{16, 11, 4}","('_', 0, 6, '_')"
"(4, 11, 11, 19, 0)","{19, 11, 4}","('_', 0, 6, 5)"
"(4, 11, 16, 16, 0)","{16, 11, 4}","('_', 0, 6, 1)"
"(4, 11, 16, 22, 0)","{16, 11, 4, 22}","(7, 0, 6, 1)"
"(4, 11, 19, 19, 0)","{19, 11, 4}","(5, 0, 6, 5)"
"(4, 11, 22, 16, 0)","{16, 11, 4, 22}","(0, 0, 6, 5)"
"(4, 12, 16, 16, 0)","{16, 4, 12}","(6, 0, 5, 1)"
"(4, 15, 3, 16, 0)","{16, 3, 4, 15}","(4, 0, 3, 1)"
"(4, 15, 4, 15, 0)","{4, 15}","(0, 0, 3, 7)"
"(4, 15, 15, 14, 0)","{4, 14, 15}","(0, 0, 3, 1)"
"(4, 15, 15, 15, 0)","{4, 15}","('_', '_', 3, '_')"
"(4, 15, 20, 20, 0)","{4, 20, 15}","(0, '_', 3, 1)"
"(4, 16, 16, 8, 0)","{16, 8, 4}","('_', 0, 4, 3)"
"(4, 16, 16, 16, 0)","{16, 4}","('_', 0, '_', '_')"
"(4, 17, 16, 15, 0)","{16, 17, 4, 15}","(6, 0, 5, '_')"
"(4, 17, 16, 16, 0)","{16, 17, 4}","('_', 0, '_', '_')"
"(4, 17, 16, 21, 0)","{16, 17, 4, 21}","(5, 0, '_', 0)"
"(4, 17, 21, 16, 0)","{16, 17, 4, 21}","('_', 0, '_', 0)"
"(4, 17, 21, 21, 0)","{17, 4, 21}","('_', 0, '_', 0)"
"(4, 17, 21, 22, 0)","{17, 4, 21, 22}","(5, 0, '_', 0)"
"(4, 17, 21, 23, 0)","{17, 4, 21, 23}","(2, 0, 5, 0)"
"(4, 18, 3, 3, 0)","{18, 3, 4}","('_', '_', 5, 1)"
"(4, 18, 7, 3, 0)","{18, 3, 4, 7}","(2, '_', 5, 1)"
"(4, 18, 13, 3, 0)","{18, 3, 4, 13}","(7, '_', 5, 1)"
"(4, 18, 13, 13, 0)","{18, 4, 13}","(2, 0, 5, 7)"
"(4, 18, 13, 16, 0)","{16, 18, 4, 13}","('_', 0, 5, '_')"
"(4, 18, 14, 16, 0)","{16, 18, 4, 14}","(2, 0, 5, '_')"
"(4, 18, 16, 13, 0)","{16, 18, 4, 13}","(0, 0, 5, 1)"
"(4, 18, 16, 16, 0)","{16, 18, 4}","(3, 0, 5, '_')"
"(4, 18, 18, 3, 0)","{18, 3, 4}","('_', '_', 5, 1)"
"(4, 18, 18, 16, 0)","{16, 18, 4}","(7, 0, 5, '_')"
"(4, 18, 18, 18, 0)","{18, 4}","('_', '_', 5, '_')"
"(4, 18, 19, 19, 0)","{18, 19, 4}","(3, '_', 5, 5)"
"(4, 18, 22, 16, 0)","{16, 18, 4, 22}","(7, 0, 5, '_')"
"(4, 19, 19, 19, 0)","{19, 4}","('_', 2, '_', 5)"
"(4, 20, 20, 20, 0)","{4, 20}","(0, '_', '_', '_')"
"(4, 21, 21, 21, 0)","{4, 21}","(4, 0, '_', 0)"
"(4, 22, 13, 16, 0)","{16, 4, 13, 22}","(0, 0, 5, 1)"
"(4, 22, 16, 8, 0)","{16, 8, 4, 22}","(7, 0, 4, 3)"
"(4, 22, 16, 16, 0)","{16, 4, 22}","('_', 0, '_', '_')"
"(4, 23, 23, 23, 0)","{4, 23}","(3, 0, 2, 5)"
"(4, 26, 3, 3, 0)","{26, 3, 4}","(0, 1, '_', 7)"
"(4, 26, 3, 16, 0)","{16, 26, 3, 4}","(5, 0, '_', 1)"
"(4, 26, 16, 26, 0)","{16, 26, 4}","(5, 0, 0, 5)"
"(4, 26, 19, 26, 0)","{26, 19, 4}","(5, 0, 0, 5)"
"(4, 26, 26, 26, 0)","{26, 4}","('_', 0, '_', 5)"
"(5, 5, 3, 23, 0)","{3, 5, 23}","(4, 6, 2, 3)"
"(5, 5, 5, 5, 0)",{5},"('_', '_', '_', 3)"
"(5, 5, 5, 8, 0)","{8, 5}","('_', '_', 4, 3)"
"(5, 5, 5, 11, 0)","{11, 5}","(6, 0, 6, 3)"
"(5, 5, 5, 18, 0)","{18, 5}","(4, '_', 5, 3)"
"(5, 5, 5, 23, 0)","{5, 23}","('_', '_', 2, 3)"
"(5, 5, 5, 26, 0)","{26, 5}","(5, 3, 0, 3)"
"(5, 5, 6, 23, 0)","{5, 6, 23}","('_', 1, 2, 3)"
"(5, 5, 8, 8, 0)","{8, 5}","(6, 7, 4, 3)"
"(5, 5, 11, 11, 0)","{11, 5}","(6, 6, 6, 3)"
"(5, 5, 14, 5, 0)","{5, 14}","('_', 6, 0, 3)"
"(5, 5, 15, 15, 0)","{5, 15}","('_', 6, 3, 3)"
"(5, 5, 18, 5, 0)","{18, 5}","(0, '_', 5, 3)"
"(5, 5, 18, 18, 0)","{18, 5}","('_', '_', 5, 3)"
"(5, 5, 23, 5, 0)","{5, 23}","('_', 7, 2, 3)"
"(5, 5, 23, 6, 0)","{5, 6, 23}","(2, 6, 2, 3)"
"(5, 5, 23, 8, 0)","{8, 5, 23}","(7, '_', 4, 3)"
"(5, 5, 23, 23, 0)","{5, 23}","('_', '_', 2, 3)"
"(5, 5, 26, 5, 0)","{26, 5}","('_', 3, 0, 3)"
"(5, 6, 23, 5, 0)","{5, 6, 23}","(6, 3, 2, 3)"
"(5, 6, 23, 23, 0)","{5, 6, 23}","('_', 4, 2, 3)"
"(5, 7, 3, 3, 0)","{3, 5, 7}","('_', 5, '_', '_')"
"(5, 7, 3, 23, 0)","{3, 23, 5, 7}","(4, 5, 2, 5)"
"(5, 7, 5, 5, 0)","{5, 7}","(3, 4, 0, 3)"
"(5, 7, 7, 3, 0)","{3, 5, 7}","('_', 5, '_', '_')"
"(5, 7, 7, 7, 0)","{5, 7}","('_', 5, '_', '_')"
"(5, 7, 7, 15, 0)","{15, 5, 7}","(6, 5, '_', '_')"
"(5, 7, 7, 19, 0)","{19, 5, 7}","(7, 5, '_', 5)"
"(5, 7, 7, 20, 0)","{20, 5, 7}","(4, 5, '_', '_')"
"(5, 7, 7, 23, 0)","{23, 5, 7}","(0, 5, '_', '_')"
"(5, 7, 15, 14, 0)","{15, 5, 14, 7}","(2, 5, 3, '_')"
"(5, 7, 15, 15, 0)","{15, 5, 7}","(4, 5, 3, '_')"
"(5, 7, 19, 7, 0)","{19, 5, 7}","(6, 5, '_', 5)"
"(5, 7, 19, 19, 0)","{19, 5, 7}","(7, 5, '_', 5)"
"(5, 7, 23, 7, 0)","{23, 5, 7}","(0, 5, '_', '_')"
"(5, 7, 23, 23, 0)","{23, 5, 7}","(0, 5, '_', '_')"
"(5, 8, 8, 8, 0)","{8, 5}","('_', '_', 4, 3)"
"(5, 8, 8, 23, 0)","{8, 5, 23}","(7, '_', 4, 3)"
"(5, 8, 23, 8, 0)","{8, 5, 23}","(5, 0, 4, 3)"
"(5, 10, 10, 10, 0)","{10, 5}","(4, 5, 7, 3)"
"(5, 11, 5, 11, 0)","{11, 5}","('_', '_', 6, 3)"
"(5, 11, 11, 11, 0)","{11, 5}","('_', 5, 6, 1)"
"(5, 14, 5, 5, 0)","{5, 14}","(7, 6, 3, 3)"
"(5, 15, 15, 15, 0)","{5, 15}","('_', 5, 3, '_')"
"(5, 18, 18, 7, 0)","{18, 5, 7}","(5, 5, 5, 1)"
"(5, 18, 18, 18, 0)","{18, 5}","(7, 1, 5, 3)"
"(5, 21, 14, 7, 0)","{21, 5, 14, 7}","(6, 6, 3, 0)"
"(5, 21, 14, 14, 0)","{21, 5, 14}","(6, 6, 3, 0)"
"(5, 23, 5, 5, 0)","{5, 23}","(6, '_', 4, 3)"
"(5, 23, 8, 8, 0)","{8, 5, 23}","(2, '_', 4, 3)"
"(5, 23, 23, 23, 0)","{5, 23}","(3, 6, 4, 3)"
"(5, 25, 14, 14, 0)","{25, 5, 14}","(7, 6, '_', 3)"
"(5, 26, 5, 5, 0)","{26, 5}","(2, '_', 0, 3)"
"(5, 26, 5, 26, 0)","{26, 5}","(7, 7, 0, 3)"
"(6, 5, 5, 5, 0)","{5, 6}","('_', 3, 2, 3)"
"(6, 5, 6, 23, 0)","{5, 6, 23}","(0, 3, 2, 3)"
"(6, 5, 23, 6, 0)","{5, 6, 23}","(7, 4, 2, 3)"
"(6, 5, 23, 23, 0)","{5, 6, 23}","(7, 0, 2, 3)"
"(6, 6, 6, 23, 0)","{6, 23}","(1, 1, 2, 2)"
"(6, 6, 23, 13, 0)","{13, 6, 23}","(1, 1, 2, 2)"
"(6, 6, 23, 23, 0)","{6, 23}","('_', 3, 2, 3)"
"(6, 7, 3, 3, 0)","{3, 6, 7}","('_', '_', '_', 1)"
"(6, 7, 3, 23, 0)","{3, 23, 6, 7}","(6, 5, 2, '_')"
"(6, 7, 7, 3, 0)","{3, 6, 7}","(5, 4, 2, 1)"
"(6, 7, 13, 3, 0)","{3, 13, 6, 7}","(5, 4, 2, 1)"
"(6, 7, 23, 3, 0)","{3, 23, 6, 7}","(5, 5, 2, 1)"
"(6, 7, 23, 23, 0)","{23, 6, 7}","('_', 4, 2, '_')"
"(6, 13, 13, 13, 0)","{13, 6}","(1, 6, 2, 7)"
"(6, 13, 23, 13, 0)","{13, 6, 23}","(1, 1, 2, 2)"
"(6, 16, 16, 16, 0)","{16, 6}","('_', '_', 2, 6)"
"(6, 17, 21, 21, 0)","{17, 21, 6}","(6, 4, 2, 0)"
"(6, 17, 21, 23, 0)","{17, 21, 6, 23}","(0, 0, 2, 0)"
"(6, 21, 23, 23, 0)","{21, 6, 23}","(6, 0, 2, 0)"
"(6, 23, 3, 16, 0)","{16, 3, 6, 23}","(5, 5, 2, 6)"
"(6, 23, 3, 23, 0)","{3, 6, 23}","('_', 6, 2, 3)"
"(6, 23, 5, 5, 0)","{5, 6, 23}","(4, 3, 2, 3)"
"(6, 23, 6, 23, 0)","{6, 23}","('_', '_', 2, 3)"
"(6, 23, 7, 3, 0)","{3, 7, 6, 23}","('_', 4, 2, 5)"
"(6, 23, 7, 23, 0)","{7, 6, 23}","(4, 4, 2, 5)"
"(6, 23, 8, 8, 0)","{8, 6, 23}","(6, 0, 2, 6)"
"(6, 23, 8, 23, 0)","{8, 6, 23}","(3, 1, 2, '_')"
"(6, 23, 13, 13, 0)","{13, 6, 23}","(1, 6, 2, 7)"
"(6, 23, 13, 23, 0)","{13, 6, 23}","(1, 6, 2, 7)"
"(6, 23, 16, 16, 0)","{16, 6, 23}","('_', '_', 2, 6)"
"(6, 23, 16, 23, 0)","{16, 6, 23}","(2, 0, 2, 6)"
"(6, 23, 20, 20, 0)","{20, 6, 23}","(5, 7, 2, 6)"
"(6, 23, 20, 23, 0)","{20, 6, 23}","(7, 7, 2, 6)"
"(6, 23, 23, 3, 0)","{3, 6, 23}","(2, 6, 2, 6)"
"(6, 23, 23, 6, 0)","{6, 23}","('_', 0, 2, 2)"
"(6, 23, 23, 8, 0)","{8, 6, 23}","('_', '_', 2, '_')"
"(6, 23, 23, 16, 0)","{16, 6, 23}","('_', 5, 2, 6)"
"(6, 23, 23, 23, 0)","{6, 23}","('_', '_', 2, '_')"
"(6, 23, 23, 24, 0)","{24, 6, 23}","('_', '_', 2, '_')"
"(6, 23, 24, 23, 0)","{24, 6, 23}","('_', '_', 2, 2)"
"(6, 23, 24, 24, 0)","{24, 6, 23}","('_', '_', 2, 2)"
"(6, 24, 24, 24, 0)","{24, 6}","(0, 1, 2, 2)"
"(7, 3, 3, 3, 0)","{3, 7}","(7, '_', '_', '_')"
"(7, 7, 3, 3, 0)","{3, 7}","(4, '_', '_', '_')"
"(7, 7, 7, 3, 0)","{3, 7}","(5, '_', '_', '_')"
"(7, 7, 7, 7, 0)",{7},"(2, '_', '_', '_')"
"(8, 5, 8, 8, 0)","{8, 5}","(6, 4, 4, 3)"
"(8, 5, 8, 23, 0)","{8, 5, 23}","(3, 2, 4, 3)"
"(8, 8, 8, 8, 0)",{8},"('_', '_', '_', '_')"
"(8, 8, 8, 23, 0)","{8, 23}","('_', 4, 4, 3)"
"(8, 8, 8, 24, 0)","{8, 24}","(3, '_', 4, 2)"
"(8, 8, 23, 8, 0)","{8, 23}","(6, 2, 4, 1)"
"(8, 8, 23, 23, 0)","{8, 23}","(2, 5, 4, 3)"
"(8, 8, 23, 24, 0)","{8, 24, 23}","(2, 5, 4, 2)"
"(8, 8, 24, 8, 0)","{8, 24}","('_', '_', 4, 2)"
"(8, 8, 24, 24, 0)","{8, 24}","('_', '_', 4, 2)"
"(8, 10, 10, 10, 0)","{8, 10}","('_', '_', 7, '_')"
"(8, 23, 8, 8, 0)","{8, 23}","('_', 6, 4, 6)"
"(8, 23, 8, 24, 0)","{8, 24, 23}","(4, 2, 4, 2)"
"(8, 23, 23, 8, 0)","{8, 23}","(2, 6, 4, 6)"
"(8, 24, 8, 24, 0)","{8, 24}","(6, 4, 4, 2)"
"(8, 24, 23, 24, 0)","{8, 24, 23}","(4, '_', 4, 2)"
"(8, 24, 24, 24, 0)","{8, 24}","('_', '_', 4, 2)"
"(10, 5, 5, 10, 0)","{10, 5}","(5, 5, 7, 3)"
"(10, 5, 10, 5, 0)","{10, 5}","(5, 5, 7, 3)"
"(10, 10, 5, 5, 0)","{10, 5}","(4, 5, 7, 3)"
"(10, 10, 5, 10, 0)","{10, 5}","(5, 5, 7, 3)"
"(10, 10, 10, 5, 0)","{10, 5}","(4, 5, 7, 3)"
"(10, 10, 10, 10, 0)",{10},"('_', '_', 7, '_')"
"(10, 10, 10, 16, 0)","{16, 10}","('_', 0, 7, 3)"
"(11, 2, 9, 9, 0)","{9, 2, 11}","(4, 7, 6, 1)"
"(11, 2, 9, 14, 0)","{9, 2, 11, 14}","(2, 7, 6, 6)"
"(11, 2, 9, 20, 0)","{9, 2, 11, 20}","(0, 7, 6, 1)"
"(11, 2, 11, 3, 0)","{3, 2, 11}","(7, 1, 6, '_')"
"(11, 2, 11, 11, 0)","{2, 11}","('_', 1, 6, '_')"
"(11, 2, 11, 20, 0)","{2, 11, 20}","(7, 7, 6, '_')"
"(11, 2, 11, 22, 0)","{2, 11, 22}","(7, 1, 6, 5)"
"(11, 2, 14, 11, 0)","{2, 11, 14}","(3, 7, 6, 6)"
"(11, 2, 14, 14, 0)","{2, 11, 14}","(4, 1, 6, 6)"
"(11, 2, 14, 16, 0)","{16, 2, 11, 14}","(2, '_', 6, 6)"
"(11, 2, 16, 11, 0)","{16, 2, 11}","(3, 7, 6, 6)"
