symbols,count,fixed attribute values
"(9, 2, 11, 20)",4,"(None, 7, 6, None)"
"(9, 11)",7,"(None, None, 6, None)"
"(9, 11, 20)",3,"(None, None, 6, None)"
"(9, 20)",2,"(None, 2, 6, 4)"
"(10,)",331,"(None, None, 7, None)"
"(10, 5)",6,"(None, 5, 7, 3)"
"(10, 13)",1,"(1, 7, 7, 1)"
"(10, 19)",15,"(None, 2, None, None)"
"(10, 20)",4,"(None, None, 7, 4)"
"(10, 21)",11,"(None, None, 7, None)"
"(11,)",263,"(None, None, 6, None)"
"(11, 4)",32,"(None, None, 6, None)"
"(11, 4, 13)",1,"(7, 0, 6, 1)"
"(11, 4, 21)",1,"(6, 3, 6, 7)"
"(11, 5)",84,"(None, None, 6, None)"
"(11, 13)",6,"(1, None, 6, None)"
"(11, 13, 22)",2,"(1, 6, 3, 1)"
"(11, 14)",6,"(None, None, 6, None)"
"(11, 15)",1,"('?', 5, 6, 6)"
"(11, 20)",39,"(None, None, 6, None)"
"(11, 21)",1,"('?', 3, 6, 7)"
"(13,)",572,"(1, None, None, None)"
"(13, 6)",1,"(1, 6, 2, 7)"
"(13, 6, 23)",5,"(1, None, 2, None)"
"(13, 22)",33,"(1, None, None, None)"
"(14, 15)",30,"(None, None, 3, 6)"
"(15,)",309,"(None, None, 3, None)"
"(15, 5, 7)",5,"(None, 5, None, None)"
"(15, 5, 14, 7)",1,"(2, 5, 3, '?')"
"(16,)",226,"(None, None, 1, None)"
"(16, 1, 4, 7)",1,"(0, '?', '?', '?')"
"(16, 2)",180,"(None, None, None, 6)"
"(16, 2, 3)",36,"(None, None, 1, None)"
"(16, 2, 3, 7)",9,"(None, None, None, None)"
"(16, 2, 3, 14)",1,"(2, 1, '?', 6)"
"(16, 2, 3, 20)",5,"(None, 7, 1, None)"
"(16, 2, 3, 22)",1,"(6, 7, 1, 7)"
"(16, 2, 7)",5,"(None, None, None, None)"
"(16, 2, 10)",3,"(None, 0, 7, 6)"
"(16, 2, 11)",39,"(None, None, 6, 6)"
"(16, 2, 11, 14)",7,"(None, None, 6, 6)"
"(16, 2, 14)",109,"(None, None, None, 6)"
"(16, 2, 15)",1,"(2, 4, 3, '?')"
"(16, 2, 18)",3,"(None, None, 5, 6)"
"(16, 2, 18, 14)",1,"(5, '?', '?', 6)"
"(16, 2, 20)",8,"(None, 7, None, None)"
"(16, 2, 21)",2,"(None, 3, None, 6)"
"(16, 2, 21, 14)",2,"(5, 3, None, 6)"
"(16, 2, 21, 22)",2,"(None, 3, 1, 6)"
"(16, 2, 22)",13,"(None, None, 1, None)"
"(16, 2, 22, 14)",1,"(7, 3, 1, 6)"
"(16, 2, 23)",3,"(None, 3, 2, 6)"
"(16, 2, 23, 7)",1,"(2, 4, 2, 5)"
"(16, 2, 26)",1,"(2, 2, 0, 6)"
"(16, 2, 26, 14)",1,"(5, 4, 0, 6)"
"(16, 3)",89,"(None, None, 1, None)"
"(16, 3, 4)",2,"(None, 0, None, 1)"
"(16, 3, 4, 7)",2,"(None, 0, '?', 1)"
"(16, 3, 4, 15)",1,"(4, 0, 3, 1)"
"(16, 3, 5)",3,"(7, None, 1, 3)"
"(16, 3, 6, 23)",1,"(5, 5, 2, 6)"
"(16, 3, 7)",17,"(None, 4, 1, None)"
"(16, 4)",13,"(None, 0, None, None)"
"(16, 4, 7)",49,"(None, 0, None, None)"
"(16, 4, 12)",1,"(6, 0, 5, 1)"
"(16, 4, 13, 7)",2,"(None, 0, 5, None)"
"(16, 4, 13, 22)",2,"(None, 0, 5, 1)"
"(16, 4, 14, 7)",1,"(3, 0, 5, 7)"
"(16, 4, 22)",31,"(None, 0, None, None)"
"(16, 5)",122,"(None, None, 1, 3)"
"(16, 5, 23)",13,"(None, None, 1, 3)"
"(16, 6)",8,"(None, None, 2, 6)"
"(16, 6, 23)",12,"(None, None, 2, 6)"
"(16, 7)",10,"(None, None, 1, None)"
"(16, 8)",1,"(0, 4, 4, 3)"
"(16, 8, 4)",1,"('?', 0, 4, 3)"
"(16, 8, 4, 22)",1,"(7, 0, 4, 3)"
"(16, 9, 5)",1,"('?', 0, 1, 3)"
"(16, 10)",6,"(None, None, 7, None)"
"(16, 10, 3, 20)",1,"(3, 7, 1, 1)"
"(16, 11)",20,"(None, None, 6, 6)"
"(16, 11, 4)",17,"(None, 0, 6, None)"
"(16, 11, 4, 22)",2,"(None, 0, 6, None)"
"(16, 11, 14)",3,"(None, 6, 6, 6)"
"(16, 13)",6,"(None, None, 1, None)"
"(16, 14, 15)",1,"(5, 6, 3, 6)"
"(16, 17, 4)",8,"(None, 0, None, None)"
"(16, 17, 4, 15)",1,"(6, 0, 5, '?')"
"(16, 17, 4, 21)",6,"(None, 0, None, 0)"
"(16, 17, 21)",1,"(4, 0, '?', 0)"
"(16, 18)",12,"(None, None, 5, 6)"
"(16, 18, 4)",14,"(None, 0, 5, None)"
"(16, 18, 4, 13)",14,"(None, 0, 5, None)"
"(16, 18, 4, 14)",1,"(2, 0, 5, '?')"
"(16, 18, 4, 22)",1,"(7, 0, 5, '?')"
"(16, 18, 14)",7,"(None, None, 5, 6)"
"(16, 19)",6,"(None, None, 1, None)"
"(16, 19, 4, 7)",9,"(None, 0, None, 5)"
"(16, 20)",16,"(None, None, 1, None)"
"(16, 20, 5)",1,"(0, 0, 1, 3)"
"(16, 20, 23)",1,"(0, 0, 1, 3)"
"(16, 21)",14,"(None, None, 1, 0)"
"(16, 22)",3,"(None, '?', 1, None)"
"(16, 23)",9,"(None, None, 1, None)"
"(16, 24)",88,"(None, None, 1, None)"
"(16, 24, 2)",14,"(None, None, 1, 2)"
"(16, 24, 2, 3)",2,"(None, 4, 1, 2)"
"(16, 24, 23)",1,"('?', 5, 1, 6)"
"(16, 25)",39,"(None, 6, None, None)"
"(16, 25, 3, 14)",3,"(None, 6, None, 7)"
"(16, 25, 5, 14)",1,"(2, 6, '?', 3)"
"(16, 25, 5, 23)",1,"(2, 6, 2, 3)"
"(16, 25, 10)",3,"(None, 6, 7, None)"
"(16, 25, 10, 14)",3,"(None, 6, 7, None)"
"(16, 25, 11, 14)",1,"(6, 6, 6, 1)"
"(16, 25, 14)",173,"(None, 6, None, None)"
"(16, 25, 21)",1,"(0, 6, 1, 0)"
"(16, 25, 21, 23)",1,"(0, 6, 1, 0)"
"(16, 25, 23)",3,"(None, 6, None, None)"
"(16, 25, 24)",1,"(0, 6, 1, 2)"
"(16, 26)",1,"(0, 0, 0, 6)"
"(16, 26, 3, 4)",1,"(5, 0, '?', 1)"
"(16, 26, 4)",1,"(5, 0, 0, 5)"
"(17, 2, 21)",1,"(4, 3, '?', 1)"
