symbols,count,fixed attribute values
"(1,)",7,"(None, 3, None)"
"(1, 2)",2,"(None, 3, 0)"
"(1, 7)",2,"(3, 3, 2)"
"(1, 12)",4,"(None, 3, 1)"
"(2,)",5,"(None, None, 0)"
"(3,)",8,"(None, 1, None)"
"(3, 6)",1,"(2, 1, '?')"
"(4,)",17,"(1, None, None)"
"(6,)",14,"(2, None, None)"
"(6, 15)",9,"(2, 0, None)"
"(7,)",2,"(3, '?', None)"
"(8,)",2,"('?', None, 3)"
"(8, 1)",3,"('?', 3, 3)"
"(9,)",20,"(0, None, None)"
"(9, 3)",2,"(0, 1, None)"
"(9, 15)",5,"(0, 0, None)"
"(12,)",2,"('?', None, 1)"
"(14,)",20,"(None, 2, None)"
"(15,)",6,"(None, 0, None)"
