message,n_concepts
"(5, 5, 5, 0)",49
"(5, 12, 12, 0)",38
"(5, 12, 21, 0)",7
"(5, 17, 5, 0)",1
"(5, 21, 21, 0)",98
"(6, 6, 6, 0)",517
"(9, 9, 9, 0)",461
"(12, 9, 9, 0)",1
"(12, 12, 12, 0)",90
"(12, 13, 13, 0)",4
"(13, 6, 13, 0)",1
"(13, 13, 13, 0)",462
"(13, 21, 13, 0)",1
"(13, 21, 24, 0)",1
"(15, 15, 15, 0)",5
"(16, 16, 16, 0)",496
"(17, 17, 17, 0)",494
"(18, 18, 9, 0)",1
"(18, 18, 18, 0)",454
"(21, 7, 7, 0)",5
"(21, 8, 8, 0)",10
"(21, 9, 9, 0)",1
"(21, 13, 7, 0)",1
"(21, 13, 13, 0)",1
"(21, 15, 15, 0)",7
"(21, 15, 21, 0)",5
"(21, 21, 19, 0)",6
"(21, 21, 21, 0)",3
"(21, 24, 7, 0)",43
"(21, 24, 24, 0)",3
"(23, 12, 12, 0)",1
"(23, 23, 23, 0)",471
"(24, 8, 8, 0)",1
"(24, 13, 13, 0)",1
"(24, 16, 16, 0)",48
"(24, 17, 17, 0)",1
"(24, 21, 24, 0)",50
"(24, 24, 13, 0)",1
"(24, 24, 16, 0)",1
"(24, 24, 24, 0)",62
"(26, 26, 26, 0)",461
