fixed attribute values,symbols
"(0, 9, 6)","[{17, 18, 47}]"
"(0, 11, 14)","[{32, 47}]"
"(1, 9, 13)","[{3, 47}]"
"(1, '_', '_')",[{47}]
"(2, 6, '_')","[{1, 14}]"
"(2, 7, 5)","[{8, 1, 51}]"
"(2, 14, 6)",[{1}]
"(2, '_', '_')","[{8, 1}, {1, 18}]"
"(3, '_', '_')","[{12, 45}, {12, 45}]"
"(4, 8, 11)","[{27, 31}]"
"(5, 4, 13)","[{37, 46, 31}]"
"(5, 8, 14)","[{3, 46, 31}]"
"(5, '_', '_')","[{46, 31}]"
"(6, 7, 4)","[{51, 5}]"
"(6, 7, 10)","[{5, 30}]"
"(6, 8, 0)","[{42, 5}]"
"(6, 8, 9)","[{42, 5}]"
"(6, 8, 12)","[{42, 5}, {42, 5}]"
"(6, '_', '_')",[{5}]
"(9, 6, 11)","[{37, 38, 31}]"
"(9, 8, 13)","[{5, 38, 31}]"
"(9, 8, 14)","[{3, 38, 31}]"
"(9, '_', '_')","[{38, 31}]"
"(10, 0, 12)","[{9, 18}]"
"(10, 6, 14)","[{9, 3}]"
"(10, 9, 14)","[{32, 9}, {9, 42}, {32, 9, 3}]"
"(10, 11, 14)","[{9, 6}]"
"(10, '_', '_')",[{9}]
"(11, 3, 14)","[{35, 5, 23}]"
"(11, 5, 14)","[{35, 38}]"
"(11, 8, 4)","[{42, 23}, {42, 35}]"
"(11, 8, 9)","[{42, 35, 38}]"
"(11, 8, 15)","[{42, 35, 23}]"
"(11, 10, 11)",[{35}]
"(11, '_', 0)","[{35, 23}]"
"(11, '_', '_')","[{35, 23}]"
"(12, 7, 12)","[{16, 41, 27}, {16, 41}]"
"(12, 7, 15)","[{41, 5}]"
"(12, 8, 0)","[{9, 42}]"
"(12, 8, 13)","[{42, 47}, {41, 42, 47}]"
"(12, 8, 14)","[{32, 41, 47}, {41, 47}]"
"(12, 14, 7)","[{27, 14}]"
"(12, '_', 9)","[{41, 18, 27}, {41, 27}]"
"(12, '_', '_')","[{32, 41}, {41}]"
"(13, '_', '_')","[{18, 38}]"
"(14, 2, 7)","[{18, 47}]"
"(14, 6, 7)","[{18, 11, 47}, {18, 14, 47}]"
"(14, 9, 2)","[{1, 18}]"
"(14, 12, 2)","[{8, 18, 47}]"
"(14, '_', '_')","[{18, 47}, {41, 18, 47}, {41, 18, 47}, {41, 47}]"
"(15, 3, 12)","[{26, 39}]"
"(15, 5, 14)","[{40, 26}]"
"(15, 8, 1)","[{26, 18}, {8, 26}]"
"(15, 8, 4)","[{26, 42}]"
"(15, 8, 8)","[{26, 18, 42}]"
"(15, '_', 4)",[{26}]
"(15, '_', '_')","[{26, 18}]"
"('_', 0, 5)","[{40, 51}]"
"('_', 0, '_')","[{17, 47}, {25, 45, 1}, {8, 25}, {8, 25}]"
"('_', 1, 0)","[{18, 27, 4}]"
"('_', 1, 8)","[{40, 27, 30}]"
"('_', 1, '_')","[{8, 25, 1}, {8, 25, 18}, {25, 18}, {11, 8, 27}, {18, 27, 30}]"
"('_', 2, 3)","[{41, 51}]"
"('_', 2, 6)","[{25, 51, 38}]"
"('_', 2, '_')","[{17, 51, 47}, {27, 51, 14}, {27, 51, 39}]"
"('_', 3, 12)","[{16, 27, 14}]"
"('_', 3, '_')",[{32}]
"('_', 4, '_')","[{18, 51}]"
"('_', 6, 1)","[{17, 27, 30}]"
"('_', 6, 13)","[{25, 1, 14}]"
"('_', 6, 15)","[{18, 51, 14}, {41, 18, 51}, {18, 51, 39}]"
"('_', 7, 5)","[{40, 51}]"
"('_', 7, '_')","[{8, 25, 27}, {25, 18, 27}]"
"('_', 8, 1)","[{42, 30}]"
"('_', 8, 13)","[{8, 42}, {8, 42}]"
"('_', 8, '_')",[{42}]
"('_', 9, 0)","[{27, 37}]"
"('_', 10, 8)","[{40, 30, 6}]"
"('_', 11, '_')","[{25, 27, 39}]"
"('_', 12, '_')","[{25, 39}, {25, 39}, {37, 31}]"
"('_', 13, '_')","[{18, 27, 38}, {51, 45}]"
"('_', 15, 2)",[{27}]
"('_', 15, '_')","[{27, 18, 51}]"
"('_', '_', 0)","[{27, 4}]"
"('_', '_', 1)","[{27, 30}]"
"('_', '_', 2)","[{27, 51}]"
"('_', '_', 3)",[{51}]
"('_', '_', 6)","[{25, 51}]"
"('_', '_', 10)","[{27, 30, 14}]"
"('_', '_', 12)","[{16, 18, 27}]"
"('_', '_', '_')","[{3}, {18}, {18, 47}, {8, 25, 11}, {18, 27}, {18, 27}, {27, 39}, {27, 37, 31}, {32, 3}, {18, 51}, {27, 40, 51}]"
