symbols,count,fixed attribute values
"(1,)",386,"{(None, 0, None, None, None)}"
"(1, 3)",10,"{(None, 0, 0, None, None)}"
"(1, 3, 4)",12,"{('?', 0, 0, 0, '?'), ('?', 0, 0, 0, 0), (1, 0, 0, 0, '?'), (0, 0, 0, 0, None), (None, 0, 0, 0, None)}"
"(1, 3, 4, 6)",3,"{(0, 0, 0, 0, 3), ('?', 0, 0, 0, '?'), (1, 0, 0, 0, '?')}"
"(1, 3, 5)",5,"{(None, 0, 0, 3, None), (None, 0, 0, 3, 0), (0, 0, 0, 3, 1)}"
"(1, 3, 5, 6)",4,"{('?', 0, 0, 3, 2), (2, 0, 0, 3, 1), (2, 0, 0, 3, 2), (1, 0, 0, 3, 2)}"
"(1, 3, 6)",50,"{(3, 0, 0, '?', '?'), (0, 0, 0, 3, 0), (0, 0, 0, '?', 3), ('?', 0, 0, '?', 1), (None, 0, 0, None, None)}"
"(1, 3, 6, 7)",1,"{(2, 0, 0, 3, 2)}"
"(1, 3, 6, 14)",1,"{(0, 0, 0, 1, 1)}"
"(1, 3, 14)",3,"{('?', 0, 0, 1, 2), (1, 0, 0, 1, 0), (3, 0, 0, 1, 0)}"
"(1, 3, 14, 6)",5,"{(0, 0, 0, 1, 1), ('?', 0, 0, 1, 2), (2, 0, 0, 1, 0)}"
"(1, 4)",119,"{(None, 0, None, 0, None)}"
"(1, 4, 5)",1,"{('?', 0, 2, 0, 3)}"
"(1, 4, 7)",5,"{(0, 0, 2, 0, 1), (0, 0, 2, 0, 2), (0, 0, 2, 0, None)}"
"(1, 5)",138,"{(None, 0, 3, 3, None), ('?', 0, '?', 3, 3), (0, 0, None, 3, None), ('?', 0, 2, 3, 2), (None, 0, None, 3, None), ('?', 0, 2, 3, 1), ('?', 0, '?', 3, 1), (1, 0, 2, 3, 0), (None, 0, 2, 3, None), (1, 0, '?', 3, 2), (0, 0, 2, 3, '?'), ('?', 0, 2, 3, 3), (None, 0, 2, 3, 3)}"
"(1, 5, 6)",75,"{(None, 0, 0, 3, None), (0, 0, 0, 3, 2), (1, 0, 2, 3, 2), (0, 0, 2, 3, 3), ('?', 0, 0, 3, 0), (None, 0, None, 3, None), (3, 0, 0, 3, 1), (2, 0, 0, 3, 3), (2, 0, 0, 3, 2), (0, 0, 2, 3, 1), (3, 0, 2, 3, '?')}"
"(1, 5, 7)",3,"{(0, 0, 2, 3, '?'), (0, 0, 2, 3, 1), (0, 0, 2, 3, 3)}"
"(1, 6)",207,"{(None, 0, 0, 3, None), (None, 0, None, None, None), (2, 0, 0, 2, 0), (None, 0, None, 2, None), (1, 0, 3, 2, 1), (None, 0, '?', 2, None), (None, 0, 0, None, None)}"
"(1, 6, 7)",3,"{(1, 0, 2, '?', 2), (2, 0, 2, 2, 0), (1, 0, 2, '?', '?')}"
"(1, 7)",43,"{(0, 0, 2, '?', 0), (1, 0, 2, 1, '?'), (0, 0, 2, 1, 0), (None, 0, 2, None, None), (0, 0, 2, 2, 0), (3, 0, 2, 1, 0), (None, 0, 2, 1, None), (1, 0, 2, 1, 2), (None, 0, 2, 1, 0), (0, 0, 2, 1, 2), (0, 0, 2, 2, 2), (0, 0, 2, '?', '?')}"
"(1, 9)",32,"{(None, 0, None, 2, None), (2, 0, 1, 2, 1)}"
"(1, 9, 6)",27,"{(None, 0, None, 2, None), (0, 0, '?', 2, 0), (0, 0, '?', 2, '?'), (3, 0, '?', 2, 1)}"
"(1, 10)",70,"{(2, 0, 3, 1, 3), (3, 0, 3, 2, 2), (None, 0, 3, '?', None), (2, 0, 3, '?', 2), (0, 0, 3, 2, '?'), (0, 0, 3, '?', 3), (1, 0, 3, '?', 1), (None, 0, 3, None, None), ('?', 0, 3, '?', 2)}"
