message,n_concepts
"(2, 1, 1, 2, 0)",1
"(2, 1, 1, 24, 0)",1
"(2, 1, 7, 1, 0)",2
"(2, 1, 14, 1, 0)",1
"(2, 1, 14, 26, 0)",1
"(2, 1, 23, 1, 0)",2
"(2, 2, 1, 1, 0)",1
"(2, 2, 4, 10, 0)",3
"(2, 2, 4, 11, 0)",2
"(2, 2, 4, 13, 0)",1
"(2, 2, 4, 26, 0)",1
"(2, 2, 5, 1, 0)",1
"(2, 2, 11, 5, 0)",1
"(2, 2, 11, 10, 0)",1
"(2, 2, 13, 5, 0)",2
"(2, 2, 13, 10, 0)",1
"(2, 2, 13, 12, 0)",1
"(2, 2, 13, 16, 0)",1
"(2, 2, 13, 26, 0)",1
"(2, 2, 18, 11, 0)",1
"(2, 2, 18, 18, 0)",1
"(2, 2, 19, 11, 0)",2
"(2, 2, 21, 16, 0)",1
"(2, 2, 22, 1, 0)",1
"(2, 2, 22, 20, 0)",2
"(2, 2, 27, 27, 0)",1
"(2, 4, 2, 4, 0)",2
"(2, 4, 2, 10, 0)",3
"(2, 4, 2, 12, 0)",4
"(2, 4, 2, 13, 0)",5
"(2, 4, 4, 4, 0)",2
"(2, 4, 4, 5, 0)",1
"(2, 4, 4, 10, 0)",2
"(2, 4, 4, 11, 0)",3
"(2, 4, 4, 12, 0)",4
"(2, 4, 4, 13, 0)",5
"(2, 4, 4, 24, 0)",1
"(2, 4, 4, 26, 0)",2
"(2, 4, 5, 4, 0)",1
"(2, 4, 11, 2, 0)",1
"(2, 4, 11, 4, 0)",1
"(2, 4, 11, 5, 0)",1
"(2, 4, 11, 24, 0)",3
"(2, 4, 12, 4, 0)",1
"(2, 4, 12, 13, 0)",5
"(2, 4, 12, 21, 0)",1
"(2, 4, 13, 2, 0)",2
"(2, 4, 13, 4, 0)",2
"(2, 4, 13, 5, 0)",2
"(2, 4, 13, 6, 0)",2
"(2, 4, 13, 10, 0)",2
"(2, 4, 13, 11, 0)",3
"(2, 4, 13, 12, 0)",1
"(2, 4, 13, 21, 0)",2
"(2, 4, 13, 24, 0)",3
"(2, 4, 18, 4, 0)",1
"(2, 4, 18, 13, 0)",2
"(2, 4, 19, 11, 0)",1
"(2, 4, 21, 4, 0)",1
"(2, 4, 21, 10, 0)",1
"(2, 4, 21, 13, 0)",2
"(2, 4, 21, 18, 0)",1
"(2, 4, 21, 26, 0)",2
"(2, 4, 23, 4, 0)",2
"(2, 4, 23, 13, 0)",3
"(2, 4, 24, 13, 0)",4
"(2, 4, 26, 4, 0)",2
"(2, 4, 26, 13, 0)",3
"(2, 4, 27, 5, 0)",1
"(2, 4, 27, 6, 0)",2
"(2, 4, 27, 11, 0)",2
"(2, 5, 1, 1, 0)",2
"(2, 5, 1, 5, 0)",1
"(2, 5, 1, 6, 0)",1
"(2, 5, 1, 10, 0)",1
"(2, 5, 1, 11, 0)",1
"(2, 5, 1, 12, 0)",1
"(2, 5, 1, 14, 0)",1
"(2, 5, 1, 20, 0)",1
"(2, 5, 1, 24, 0)",3
"(2, 5, 2, 4, 0)",2
"(2, 5, 2, 5, 0)",3
"(2, 5, 2, 6, 0)",1
"(2, 5, 2, 10, 0)",2
"(2, 5, 2, 11, 0)",2
"(2, 5, 2, 12, 0)",2
"(2, 5, 2, 13, 0)",2
"(2, 5, 2, 26, 0)",1
"(2, 5, 4, 11, 0)",2
"(2, 5, 4, 12, 0)",2
"(2, 5, 4, 24, 0)",1
"(2, 5, 4, 26, 0)",2
"(2, 5, 5, 10, 0)",1
"(2, 5, 5, 11, 0)",2
"(2, 5, 5, 12, 0)",1
"(2, 5, 5, 22, 0)",1
"(2, 5, 5, 24, 0)",1
"(2, 5, 10, 1, 0)",1
"(2, 5, 10, 11, 0)",2
"(2, 5, 11, 2, 0)",1
"(2, 5, 11, 5, 0)",1
"(2, 5, 11, 6, 0)",1
"(2, 5, 11, 10, 0)",1
"(2, 5, 11, 11, 0)",1
"(2, 5, 11, 12, 0)",1
"(2, 5, 11, 24, 0)",1
"(2, 5, 12, 5, 0)",2
"(2, 5, 12, 11, 0)",1
"(2, 5, 12, 12, 0)",4
"(2, 5, 12, 17, 0)",2
"(2, 5, 12, 22, 0)",4
"(2, 5, 13, 6, 0)",1
"(2, 5, 13, 10, 0)",1
"(2, 5, 13, 11, 0)",1
"(2, 5, 13, 12, 0)",1
"(2, 5, 13, 21, 0)",1
"(2, 5, 13, 24, 0)",1
"(2, 5, 14, 1, 0)",5
"(2, 5, 14, 5, 0)",1
"(2, 5, 14, 20, 0)",2
"(2, 5, 18, 11, 0)",1
"(2, 5, 22, 1, 0)",2
"(2, 5, 22, 20, 0)",1
"(2, 5, 22, 26, 0)",1
"(2, 5, 23, 11, 0)",1
"(2, 5, 24, 1, 0)",1
"(2, 5, 24, 2, 0)",1
"(2, 5, 24, 5, 0)",2
"(2, 5, 24, 11, 0)",1
"(2, 5, 24, 12, 0)",2
"(2, 5, 24, 22, 0)",1
"(2, 5, 26, 4, 0)",1
"(2, 5, 26, 22, 0)",1
"(2, 9, 1, 1, 0)",3
"(2, 9, 1, 2, 0)",3
"(2, 9, 1, 6, 0)",3
"(2, 9, 1, 14, 0)",2
"(2, 9, 7, 9, 0)",1
"(2, 9, 9, 7, 0)",1
"(2, 9, 9, 9, 0)",1
"(2, 9, 9, 23, 0)",1
"(2, 9, 14, 5, 0)",1
"(2, 9, 14, 16, 0)",1
"(2, 9, 14, 23, 0)",1
"(2, 9, 23, 1, 0)",3
"(2, 9, 23, 7, 0)",1
"(2, 9, 23, 9, 0)",3
"(2, 9, 23, 25, 0)",1
"(2, 11, 1, 2, 0)",1
"(2, 11, 1, 24, 0)",1
"(2, 11, 2, 5, 0)",1
"(2, 11, 2, 10, 0)",3
"(2, 11, 2, 11, 0)",3
"(2, 11, 2, 13, 0)",4
"(2, 11, 2, 21, 0)",1
"(2, 11, 2, 24, 0)",1
"(2, 11, 2, 26, 0)",1
"(2, 11, 3, 4, 0)",1
"(2, 11, 4, 6, 0)",1
"(2, 11, 5, 4, 0)",1
"(2, 11, 5, 5, 0)",1
"(2, 11, 5, 12, 0)",1
"(2, 11, 5, 26, 0)",1
"(2, 11, 6, 11, 0)",2
"(2, 11, 6, 18, 0)",1
"(2, 11, 7, 11, 0)",2
"(2, 11, 11, 2, 0)",2
"(2, 11, 11, 11, 0)",4
"(2, 11, 13, 2, 0)",1
"(2, 11, 13, 24, 0)",1
"(2, 11, 14, 2, 0)",1
"(2, 11, 14, 5, 0)",2
"(2, 11, 14, 10, 0)",2
"(2, 11, 14, 20, 0)",1
"(2, 11, 14, 26, 0)",1
"(2, 11, 18, 11, 0)",1
