symbols,count,fixed attribute values
"(1,)",386,"(None, 0, None, None, None)"
"(1, 3)",10,"(None, 0, 0, None, None)"
"(1, 3, 4)",12,"(None, 0, 0, 0, None)"
"(1, 3, 4, 6)",3,"(None, 0, 0, 0, None)"
"(1, 3, 5)",5,"(None, 0, 0, 3, None)"
"(1, 3, 5, 6)",4,"(None, 0, 0, 3, None)"
"(1, 3, 6)",50,"(None, 0, 0, None, None)"
"(1, 3, 6, 7)",1,"(2, 0, 0, 3, 2)"
"(1, 3, 6, 14)",1,"(0, 0, 0, 1, 1)"
"(1, 3, 14)",3,"(None, 0, 0, 1, None)"
"(1, 3, 14, 6)",5,"(None, 0, 0, 1, None)"
"(1, 4)",119,"(None, 0, None, 0, None)"
"(1, 4, 5)",1,"('?', 0, 2, 0, 3)"
"(1, 4, 7)",5,"(0, 0, 2, 0, None)"
"(1, 5)",138,"(None, 0, None, 3, None)"
"(1, 5, 6)",75,"(None, 0, None, 3, None)"
"(1, 5, 7)",3,"(0, 0, 2, 3, None)"
"(1, 6)",207,"(None, 0, None, None, None)"
"(1, 6, 7)",3,"(None, 0, 2, None, None)"
"(1, 7)",43,"(None, 0, 2, None, None)"
"(1, 9)",32,"(None, 0, None, 2, None)"
"(1, 9, 6)",27,"(None, 0, None, 2, None)"
"(1, 10)",70,"(None, 0, 3, None, None)"
"(1, 10, 5)",12,"(None, 0, 3, None, None)"
"(1, 10, 6)",24,"(None, 0, 3, None, None)"
"(1, 10, 6, 9)",1,"(0, 0, 3, 2, 3)"
"(1, 11, 4)",2,"(3, 0, 0, 0, 1)"
"(1, 12)",18,"(None, 0, 1, None, None)"
"(1, 12, 4)",27,"(None, 0, 1, 0, None)"
"(1, 12, 5)",1,"(0, 0, 1, 3, 0)"
"(1, 12, 6)",1,"(0, 0, 1, '?', 3)"
"(1, 12, 14)",1,"(0, 0, 1, 1, '?')"
"(1, 13)",3,"(2, 0, 1, '?', None)"
"(1, 14)",46,"(None, 0, None, 1, None)"
"(1, 14, 6)",23,"(None, 0, 0, 1, None)"
"(2,)",290,"(None, 1, None, None, None)"
"(2, 3)",106,"(None, 1, 0, None, None)"
"(2, 3, 4)",3,"(None, None, 0, None, None)"
"(2, 3, 5)",1,"(0, 1, 0, 3, 0)"
"(2, 3, 6)",7,"(None, 1, 0, '?', None)"
"(2, 3, 14)",18,"(None, 1, 0, 1, None)"
"(2, 4)",149,"(None, 1, None, None, None)"
"(2, 4, 7)",18,"(None, 1, 2, None, None)"
"(2, 4, 13, 14)",1,"(2, 1, '?', 1, 3)"
"(2, 4, 14)",18,"(None, 1, None, 1, None)"
"(2, 4, 14, 7)",2,"(2, 1, 2, 1, None)"
"(2, 5)",22,"(None, None, None, None, None)"
"(2, 5, 7)",3,"(0, 1, 2, 3, None)"
"(2, 7)",80,"(None, 1, 2, None, None)"
"(2, 10)",5,"(None, 1, 3, None, None)"
"(2, 10, 4)",10,"(None, 1, 3, 1, None)"
"(2, 10, 4, 14)",2,"(None, 1, 3, 1, None)"
"(2, 11)",1,"(3, 1, 0, '?', 3)"
"(2, 11, 12)",1,"(3, '?', '?', '?', 2)"
"(2, 12)",77,"(None, None, 1, None, None)"
"(2, 12, 4)",21,"(None, 1, 1, 0, None)"
"(2, 12, 5)",1,"(3, 1, 1, 3, 1)"
"(2, 12, 14)",3,"(None, None, 1, 1, None)"
"(2, 14)",26,"(None, 1, None, 1, None)"
"(3,)",106,"(None, None, 0, None, None)"
"(3, 4)",65,"(None, None, 0, None, None)"
"(3, 4, 14)",19,"(None, None, 0, 1, None)"
"(3, 4, 14, 6)",1,"(3, 1, 0, 1, '?')"
"(3, 4, 14, 15)",3,"(None, 2, 0, 1, None)"
"(3, 4, 15)",70,"(None, 2, 0, None, None)"
"(3, 5)",74,"(None, None, 0, 3, None)"
"(3, 5, 15)",13,"(None, 2, 0, 3, None)"
