fixed attribute values,symbols
"(0, 2, 4)","[{12, 13}]"
"(0, 3, 4)","[{13, 6}]"
"(0, 3, 5)","[{13, 21}]"
"(0, 5, 0)","[{24, 13}, {24, 13}]"
"(0, 7, 7)","[{24, 21, 13}]"
"(0, '_', 7)","[{13, 21, 7}]"
"(0, '_', '_')",[{13}]
"(1, '_', '_')",[{16}]
"(2, '_', '_')",[{26}]
"(3, 1, 5)","[{9, 21}]"
"(3, 2, '_')","[{9, 12}]"
"(3, 7, 7)","[{9, 18}]"
"(3, '_', '_')",[{9}]
"(4, '_', '_')",[{6}]
"(5, 2, 3)","[{12, 23}]"
"(5, '_', '_')",[{23}]
"(6, '_', '_')",[{17}]
"(7, '_', '_')",[{18}]
"('_', 0, 1)","[{24, 8}]"
"('_', 0, 2)","[{24, 16}]"
"('_', 0, '_')","[{24, 16}]"
"('_', 1, '_')","[{21, 5}]"
"('_', 3, 1)","[{21, 7}, {24, 21, 7}]"
"('_', 3, 4)","[{24, 21}]"
"('_', 4, '_')","[{12, 5}]"
"('_', 5, '_')",[{24}]
"('_', 6, 6)","[{17, 5}]"
"('_', 6, '_')",[{5}]
"('_', 7, '_')","[{24, 17}, {24, 21}]"
"('_', '_', 0)","[{21, 12, 5}, {21, 15}]"
"('_', '_', 1)","[{8, 21}]"
"('_', '_', 2)","[{21, 13}, {19, 21}]"
"('_', '_', 3)",[{21}]
"('_', '_', 5)","[{21, 15}]"
"('_', '_', 6)",[{15}]
"('_', '_', '_')",[{12}]
