message,n_concepts
"(1, 1, 1, 0)",1
"(1, 1, 8, 0)",65
"(1, 1, 14, 0)",19
"(1, 1, 18, 0)",213
"(1, 18, 18, 0)",1
"(3, 3, 3, 0)",235
"(4, 27, 18, 0)",1
"(4, 27, 27, 0)",21
"(5, 5, 5, 0)",226
"(5, 5, 41, 0)",1
"(5, 23, 35, 0)",1
"(5, 42, 5, 0)",3
"(5, 42, 42, 0)",1
"(9, 9, 3, 0)",3
"(9, 9, 6, 0)",2
"(9, 9, 9, 0)",240
"(9, 9, 32, 0)",5
"(9, 9, 42, 0)",2
"(9, 32, 3, 0)",3
"(12, 12, 45, 0)",81
"(12, 45, 45, 0)",221
"(16, 27, 14, 0)",6
"(16, 27, 18, 0)",13
"(16, 27, 41, 0)",1
"(16, 41, 41, 0)",3
"(17, 47, 47, 0)",41
"(18, 9, 9, 0)",1
"(18, 17, 47, 0)",1
"(18, 18, 18, 0)",228
"(18, 47, 47, 0)",235
"(23, 23, 35, 0)",1
"(23, 35, 35, 0)",245
"(23, 35, 42, 0)",1
"(23, 42, 42, 0)",1
"(25, 1, 8, 0)",1
"(25, 1, 14, 0)",1
"(25, 1, 45, 0)",1
"(25, 8, 8, 0)",2
"(25, 8, 18, 0)",1
"(25, 11, 8, 0)",14
"(25, 25, 8, 0)",3
"(25, 25, 18, 0)",1
"(25, 25, 39, 0)",2
"(25, 27, 8, 0)",2
"(25, 27, 18, 0)",4
"(25, 27, 39, 0)",5
"(25, 38, 51, 0)",1
"(25, 39, 39, 0)",1
"(25, 51, 51, 0)",13
"(26, 18, 18, 0)",8
"(26, 26, 8, 0)",2
"(26, 26, 18, 0)",223
"(26, 26, 26, 0)",2
"(26, 26, 39, 0)",2
"(26, 26, 40, 0)",1
"(26, 26, 42, 0)",1
"(26, 42, 18, 0)",2
"(27, 11, 8, 0)",1
"(27, 18, 18, 0)",17
"(27, 18, 41, 0)",13
"(27, 27, 14, 0)",1
"(27, 27, 18, 0)",26
"(27, 27, 27, 0)",2
"(27, 27, 39, 0)",30
"(27, 41, 41, 0)",5
"(30, 5, 5, 0)",1
"(30, 6, 40, 0)",13
"(30, 27, 14, 0)",13
"(30, 27, 17, 0)",1
"(30, 27, 18, 0)",1
"(30, 27, 27, 0)",14
"(30, 27, 40, 0)",8
"(31, 3, 38, 0)",1
"(31, 27, 27, 0)",1
"(31, 37, 27, 0)",231
"(31, 37, 31, 0)",1
"(31, 37, 38, 0)",3
"(31, 37, 46, 0)",1
"(31, 38, 5, 0)",1
"(31, 38, 38, 0)",232
"(31, 46, 3, 0)",1
"(31, 46, 46, 0)",228
"(32, 3, 3, 0)",18
"(32, 32, 32, 0)",1
"(32, 41, 41, 0)",45
"(32, 47, 41, 0)",3
"(32, 47, 47, 0)",2
"(35, 35, 35, 0)",2
"(37, 27, 27, 0)",1
"(38, 18, 18, 0)",233
"(38, 27, 18, 0)",2
"(38, 38, 35, 0)",1
"(41, 41, 41, 0)",157
"(41, 47, 41, 0)",1
"(41, 51, 51, 0)",3
"(42, 5, 5, 0)",4
"(42, 8, 8, 0)",1
"(42, 9, 9, 0)",1
"(42, 30, 42, 0)",1
"(42, 38, 35, 0)",1
"(42, 42, 5, 0)",2
"(42, 42, 8, 0)",1
"(42, 42, 35, 0)",1
"(42, 42, 42, 0)",29
"(42, 42, 47, 0)",1
"(42, 47, 41, 0)",1
"(47, 8, 18, 0)",11
"(47, 11, 18, 0)",2
"(47, 14, 18, 0)",1
"(47, 18, 18, 0)",63
"(47, 18, 41, 0)",14
"(47, 41, 18, 0)",89
"(47, 41, 41, 0)",195
"(47, 47, 3, 0)",1
"(47, 47, 18, 0)",2
"(47, 47, 47, 0)",232
"(51, 1, 8, 0)",11
"(51, 5, 5, 0)",1
"(51, 14, 18, 0)",1
"(51, 17, 47, 0)",3
"(51, 18, 18, 0)",11
"(51, 18, 41, 0)",1
"(51, 27, 14, 0)",2
"(51, 27, 18, 0)",6
"(51, 27, 27, 0)",28
"(51, 27, 39, 0)",3
"(51, 27, 40, 0)",14
"(51, 39, 18, 0)",1
"(51, 40, 40, 0)",1
"(51, 51, 18, 0)",1
"(51, 51, 40, 0)",12
"(51, 51, 45, 0)",1
"(51, 51, 51, 0)",14
