message,n_concepts
"(2, 2, 3, 3, 0)",2
"(2, 2, 3, 16, 0)",1
"(2, 2, 14, 3, 0)",2
"(2, 2, 14, 16, 0)",6
"(2, 2, 16, 3, 0)",1
"(2, 2, 16, 16, 0)",4
"(2, 2, 20, 20, 0)",22
"(2, 2, 21, 21, 0)",11
"(2, 3, 3, 3, 0)",6
"(2, 5, 5, 5, 0)",3
"(2, 6, 23, 23, 0)",1
"(2, 7, 3, 3, 0)",41
"(2, 7, 3, 14, 0)",1
"(2, 7, 3, 16, 0)",4
"(2, 7, 3, 19, 0)",3
"(2, 7, 7, 3, 0)",12
"(2, 7, 7, 7, 0)",5
"(2, 7, 7, 13, 0)",1
"(2, 7, 7, 19, 0)",2
"(2, 7, 7, 23, 0)",1
"(2, 7, 16, 3, 0)",1
"(2, 7, 16, 16, 0)",2
"(2, 7, 16, 23, 0)",1
"(2, 7, 19, 3, 0)",1
"(2, 7, 19, 19, 0)",9
"(2, 7, 19, 20, 0)",1
"(2, 7, 20, 20, 0)",2
"(2, 7, 21, 3, 0)",1
"(2, 10, 10, 10, 0)",83
"(2, 10, 10, 16, 0)",2
"(2, 11, 3, 3, 0)",1
"(2, 11, 4, 7, 0)",1
"(2, 11, 4, 11, 0)",1
"(2, 11, 11, 4, 0)",4
"(2, 11, 11, 9, 0)",2
"(2, 11, 11, 11, 0)",26
"(2, 11, 11, 14, 0)",2
"(2, 11, 11, 16, 0)",9
"(2, 11, 11, 21, 0)",1
"(2, 11, 14, 11, 0)",2
"(2, 11, 14, 14, 0)",1
"(2, 11, 15, 11, 0)",1
"(2, 11, 16, 11, 0)",3
"(2, 11, 16, 16, 0)",17
"(2, 11, 20, 20, 0)",1
"(2, 11, 21, 11, 0)",2
"(2, 11, 21, 21, 0)",3
"(2, 13, 13, 13, 0)",1
"(2, 14, 3, 16, 0)",1
"(2, 14, 5, 5, 0)",1
"(2, 14, 11, 16, 0)",1
"(2, 14, 14, 10, 0)",1
"(2, 14, 14, 14, 0)",30
"(2, 14, 14, 15, 0)",3
"(2, 14, 14, 16, 0)",27
"(2, 14, 15, 14, 0)",1
"(2, 14, 16, 14, 0)",5
"(2, 14, 16, 16, 0)",69
"(2, 14, 16, 26, 0)",1
"(2, 14, 18, 16, 0)",1
"(2, 14, 25, 14, 0)",1
"(2, 14, 26, 26, 0)",1
"(2, 15, 21, 21, 0)",1
"(2, 16, 3, 16, 0)",4
"(2, 16, 10, 10, 0)",1
"(2, 16, 11, 16, 0)",3
"(2, 16, 14, 14, 0)",1
"(2, 16, 15, 15, 0)",1
"(2, 16, 16, 3, 0)",1
"(2, 16, 16, 14, 0)",1
"(2, 16, 16, 16, 0)",163
"(2, 16, 22, 16, 0)",2
"(2, 16, 23, 16, 0)",1
"(2, 18, 16, 16, 0)",2
"(2, 18, 18, 16, 0)",1
"(2, 18, 18, 18, 0)",15
"(2, 18, 18, 19, 0)",1
"(2, 20, 20, 20, 0)",39
"(2, 21, 14, 16, 0)",2
"(2, 21, 16, 16, 0)",2
"(2, 21, 18, 18, 0)",2
"(2, 21, 18, 19, 0)",2
"(2, 21, 19, 18, 0)",1
"(2, 21, 19, 19, 0)",3
"(2, 21, 21, 11, 0)",1
"(2, 21, 21, 14, 0)",1
"(2, 21, 21, 17, 0)",1
"(2, 21, 21, 18, 0)",1
"(2, 21, 21, 19, 0)",8
"(2, 21, 21, 21, 0)",86
"(2, 21, 21, 22, 0)",7
"(2, 21, 21, 23, 0)",1
"(2, 21, 22, 16, 0)",2
"(2, 21, 22, 21, 0)",2
"(2, 21, 23, 7, 0)",1
"(2, 21, 23, 23, 0)",1
"(2, 22, 2, 21, 0)",3
"(2, 22, 14, 16, 0)",1
"(2, 22, 16, 16, 0)",4
"(2, 22, 16, 22, 0)",1
"(2, 22, 21, 21, 0)",13
"(2, 22, 21, 22, 0)",4
"(2, 22, 22, 2, 0)",3
"(2, 22, 22, 16, 0)",3
"(2, 22, 22, 21, 0)",12
"(2, 22, 22, 22, 0)",14
"(2, 23, 16, 16, 0)",1
"(2, 23, 20, 20, 0)",1
"(2, 23, 23, 8, 0)",1
"(2, 23, 23, 16, 0)",1
"(2, 23, 23, 23, 0)",3
"(2, 24, 24, 24, 0)",2
"(2, 26, 2, 20, 0)",1
"(2, 26, 14, 14, 0)",1
"(2, 26, 14, 26, 0)",2
"(2, 26, 15, 26, 0)",1
"(2, 26, 16, 26, 0)",1
"(2, 26, 19, 19, 0)",1
"(2, 26, 20, 20, 0)",2
"(2, 26, 26, 21, 0)",1
"(2, 26, 26, 26, 0)",11
"(4, 2, 3, 3, 0)",66
"(4, 2, 3, 9, 0)",1
"(4, 2, 7, 3, 0)",10
"(4, 2, 7, 7, 0)",1
"(4, 2, 7, 19, 0)",1
"(4, 2, 11, 3, 0)",3
"(4, 2, 11, 11, 0)",3
"(4, 2, 18, 18, 0)",1
"(4, 2, 19, 19, 0)",1
"(4, 2, 20, 20, 0)",1
"(4, 2, 22, 3, 0)",2
"(4, 2, 23, 23, 0)",1
"(4, 3, 3, 3, 0)",3
"(4, 3, 3, 16, 0)",1
"(4, 3, 16, 16, 0)",1
"(4, 4, 16, 16, 0)",3
"(4, 5, 5, 5, 0)",8
"(4, 5, 20, 8, 0)",1
"(4, 6, 23, 8, 0)",1
"(4, 6, 23, 23, 0)",5
"(4, 7, 3, 3, 0)",9
"(4, 7, 7, 3, 0)",1
"(4, 7, 7, 7, 0)",8
"(4, 7, 7, 19, 0)",1
"(4, 7, 13, 16, 0)",2
"(4, 7, 14, 16, 0)",1
"(4, 7, 16, 1, 0)",1
"(4, 7, 16, 3, 0)",2
"(4, 7, 16, 16, 0)",49
"(4, 7, 16, 19, 0)",8
"(4, 7, 19, 14, 0)",1
"(4, 7, 19, 16, 0)",1
"(4, 7, 19, 19, 0)",12
"(4, 7, 23, 23, 0)",1
"(4, 8, 8, 8, 0)",25
"(4, 8, 8, 23, 0)",1
"(4, 8, 16, 8, 0)",16
"(4, 8, 16, 16, 0)",17
"(4, 8, 23, 8, 0)",1
"(4, 11, 11, 11, 0)",31
"(4, 11, 11, 13, 0)",1
"(4, 11, 11, 16, 0)",12
"(4, 11, 11, 19, 0)",2
"(4, 11, 16, 16, 0)",5
"(4, 11, 16, 22, 0)",1
"(4, 11, 19, 19, 0)",1
"(4, 11, 22, 16, 0)",1
"(4, 12, 16, 16, 0)",1
"(4, 15, 3, 16, 0)",1
"(4, 15, 4, 15, 0)",1
"(4, 15, 15, 14, 0)",1
"(4, 15, 15, 15, 0)",9
"(4, 15, 20, 20, 0)",1
"(4, 16, 16, 8, 0)",1
"(4, 16, 16, 16, 0)",10
"(4, 17, 16, 15, 0)",1
"(4, 17, 16, 16, 0)",8
"(4, 17, 16, 21, 0)",1
"(4, 17, 21, 16, 0)",5
"(4, 17, 21, 21, 0)",6
"(4, 17, 21, 22, 0)",1
"(4, 17, 21, 23, 0)",2
"(4, 18, 3, 3, 0)",2
"(4, 18, 7, 3, 0)",1
"(4, 18, 13, 3, 0)",1
"(4, 18, 13, 13, 0)",1
"(4, 18, 13, 16, 0)",13
"(4, 18, 14, 16, 0)",1
"(4, 18, 16, 13, 0)",1
"(4, 18, 16, 16, 0)",11
"(4, 18, 18, 3, 0)",1
"(4, 18, 18, 16, 0)",3
"(4, 18, 18, 18, 0)",14
"(4, 18, 19, 19, 0)",1
"(4, 18, 22, 16, 0)",1
"(4, 19, 19, 19, 0)",6
"(4, 20, 20, 20, 0)",2
"(4, 21, 21, 21, 0)",2
"(4, 22, 13, 16, 0)",2
"(4, 22, 16, 8, 0)",1
"(4, 22, 16, 16, 0)",31
"(4, 23, 23, 23, 0)",2
"(4, 26, 3, 3, 0)",1
"(4, 26, 3, 16, 0)",1
"(4, 26, 16, 26, 0)",1
"(4, 26, 19, 26, 0)",1
"(4, 26, 26, 26, 0)",7
"(5, 5, 3, 23, 0)",1
"(5, 5, 5, 5, 0)",315
"(5, 5, 5, 8, 0)",6
"(5, 5, 5, 11, 0)",2
"(5, 5, 5, 18, 0)",2
"(5, 5, 5, 23, 0)",7
"(5, 5, 5, 26, 0)",2
"(5, 5, 6, 23, 0)",1
"(5, 5, 8, 8, 0)",7
"(5, 5, 11, 11, 0)",1
"(5, 5, 14, 5, 0)",1
"(5, 5, 15, 15, 0)",1
"(5, 5, 18, 5, 0)",1
"(5, 5, 18, 18, 0)",3
"(5, 5, 23, 5, 0)",3
"(5, 5, 23, 6, 0)",1
"(5, 5, 23, 8, 0)",3
"(5, 5, 23, 23, 0)",8
"(5, 5, 26, 5, 0)",2
"(5, 6, 23, 5, 0)",2
"(5, 6, 23, 23, 0)",7
"(5, 7, 3, 3, 0)",15
"(5, 7, 3, 23, 0)",1
"(5, 7, 5, 5, 0)",1
"(5, 7, 7, 3, 0)",9
"(5, 7, 7, 7, 0)",20
"(5, 7, 7, 15, 0)",3
"(5, 7, 7, 19, 0)",6
"(5, 7, 7, 20, 0)",1
"(5, 7, 7, 23, 0)",9
"(5, 7, 15, 14, 0)",1
"(5, 7, 15, 15, 0)",2
"(5, 7, 19, 7, 0)",1
"(5, 7, 19, 19, 0)",4
"(5, 7, 23, 7, 0)",5
"(5, 7, 23, 23, 0)",1
"(5, 8, 8, 8, 0)",11
"(5, 8, 8, 23, 0)",1
"(5, 8, 23, 8, 0)",1
"(5, 10, 10, 10, 0)",1
"(5, 11, 5, 11, 0)",1
"(5, 11, 11, 11, 0)",3
"(5, 14, 5, 5, 0)",1
"(5, 15, 15, 15, 0)",11
"(5, 18, 18, 7, 0)",1
"(5, 18, 18, 18, 0)",1
"(5, 21, 14, 7, 0)",1
"(5, 21, 14, 14, 0)",1
"(5, 23, 5, 5, 0)",1
"(5, 23, 8, 8, 0)",2
"(5, 23, 23, 23, 0)",2
"(5, 25, 14, 14, 0)",1
"(5, 26, 5, 5, 0)",4
"(5, 26, 5, 26, 0)",1
"(6, 5, 5, 5, 0)",11
"(6, 5, 6, 23, 0)",1
"(6, 5, 23, 6, 0)",1
"(6, 5, 23, 23, 0)",1
"(6, 6, 6, 23, 0)",1
"(6, 6, 23, 13, 0)",1
"(6, 6, 23, 23, 0)",5
"(6, 7, 3, 3, 0)",14
"(6, 7, 3, 23, 0)",2
"(6, 7, 7, 3, 0)",1
"(6, 7, 13, 3, 0)",1
"(6, 7, 23, 3, 0)",1
"(6, 7, 23, 23, 0)",18
"(6, 13, 13, 13, 0)",1
"(6, 13, 23, 13, 0)",2
"(6, 16, 16, 16, 0)",8
"(6, 17, 21, 21, 0)",1
"(6, 17, 21, 23, 0)",2
"(6, 21, 23, 23, 0)",1
"(6, 23, 3, 16, 0)",1
"(6, 23, 3, 23, 0)",1
"(6, 23, 5, 5, 0)",2
"(6, 23, 6, 23, 0)",16
"(6, 23, 7, 3, 0)",1
"(6, 23, 7, 23, 0)",2
"(6, 23, 8, 8, 0)",3
"(6, 23, 8, 23, 0)",6
"(6, 23, 13, 13, 0)",1
"(6, 23, 13, 23, 0)",1
"(6, 23, 16, 16, 0)",7
"(6, 23, 16, 23, 0)",1
"(6, 23, 20, 20, 0)",1
"(6, 23, 20, 23, 0)",2
"(6, 23, 23, 3, 0)",3
"(6, 23, 23, 6, 0)",5
"(6, 23, 23, 8, 0)",45
"(6, 23, 23, 16, 0)",4
"(6, 23, 23, 23, 0)",340
"(6, 23, 23, 24, 0)",27
"(6, 23, 24, 23, 0)",17
"(6, 23, 24, 24, 0)",29
"(6, 24, 24, 24, 0)",5
"(7, 3, 3, 3, 0)",1
"(7, 7, 3, 3, 0)",2
"(7, 7, 7, 3, 0)",1
