fixed attribute values,symbols
"(0, 0, 0, 0, 3)","[{1, 3, 4}, {1, 3, 4, 6}]"
"(0, 0, 0, 0, '_')","[{1, 3, 4}]"
"(0, 0, 0, 1, 1)","[{1, 3, 6, 14}, {1, 3, 14, 6}, {3, 14, 6}, {1, 3, 14, 6}, {1, 14, 6}]"
"(0, 0, 0, 2, '_')","[{3, 6}]"
"(0, 0, 0, 3, 0)","[{1, 3, 6}]"
"(0, 0, 0, 3, 1)","[{1, 3, 5}]"
"(0, 0, 0, 3, 2)","[{1, 5, 6}]"
"(0, 0, 0, '_', 3)","[{1, 3, 6}]"
"(0, 0, 0, '_', '_')","[{1, 3}]"
"(0, 0, 1, 0, 1)","[{1, 12, 4}]"
"(0, 0, 1, 0, 3)","[{1, 12}, {1, 12}]"
"(0, 0, 1, 0, '_')","[{1, 12, 4}]"
"(0, 0, 1, 1, 1)","[{1, 14}, {1, 14}]"
"(0, 0, 1, 1, 3)","[{1, 14}]"
"(0, 0, 1, 1, '_')","[{1, 12, 14}]"
"(0, 0, 1, 3, 0)","[{1, 12, 5}]"
"(0, 0, 1, '_', 0)","[{1, 12}]"
"(0, 0, 1, '_', 2)","[{1, 12}]"
"(0, 0, 1, '_', 3)","[{1, 12, 6}]"
"(0, 0, 1, '_', '_')","[{1, 12}]"
"(0, 0, 2, 0, 1)","[{1, 4, 7}]"
"(0, 0, 2, 0, 2)","[{1, 4, 7}, {1, 4, 7}]"
"(0, 0, 2, 1, 0)","[{1, 7}]"
"(0, 0, 2, 1, 2)","[{1, 7}, {1, 7}]"
"(0, 0, 2, 2, 0)","[{1, 7}]"
"(0, 0, 2, 2, 2)","[{1, 7}, {1, 7}]"
"(0, 0, 2, 3, 1)","[{1, 5, 6}, {1, 5, 7}]"
"(0, 0, 2, 3, 3)","[{1, 5, 6}, {1, 5, 7}]"
"(0, 0, 2, 3, '_')","[{1, 5}, {1, 5, 7}]"
"(0, 0, 2, '_', 0)","[{1, 7}]"
"(0, 0, 2, '_', 2)","[{1, 7}]"
"(0, 0, 2, '_', '_')","[{1, 7}, {1, 7}]"
